domain,rows,cols,shape_ok,origin_x,origin_y,nodata_frac,filled_cells_10m,cells_10m_1996,cells_10m_2014,mixed_source_cells,partial_edge_cells,min_m,mean_m,max_m
10,50,200,True,451447.0,3903816.0,0.3073,5464,1114,4350,0,141,-2.340416669845581,-0.17322051682003592,10.373555183410645
11,50,200,True,451447.0,3904320.0,0.2947,6487,1303,5184,0,205,-1.4954273104667664,-0.39423468242861126,7.065755605697632
12,50,200,True,451447.0,3904824.0,0.3308,6417,1148,5269,0,234,-1.4047363996505737,-0.3500046484390823,7.872758388519287
13,50,200,True,451513.0,3905325.0,0.3415,6466,1414,5052,9,134,-1.3969495594501495,-0.11946637307795749,11.306486129760742
14,50,200,True,451668.0,3905828.0,0.8342,1608,1311,297,14,21,-1.0591887533664703,1.8938046973992073,7.060547113418579
15,50,200,True,451867.0,3906334.0,0.8237,1724,1404,320,5,34,-1.1265252232551575,1.8795685103727293,8.357998847961426
16,50,200,True,451893.0,3906837.0,0.6859,2829,1575,1254,10,81,-1.4949129223823547,0.7631383453190882,7.952500104904175
17,50,200,True,452000.0,3907340.0,0.6023,2965,1588,1377,0,94,-2.597005307674408,0.5795199152951235,8.355066537857056
18,50,200,True,452116.0,3907845.0,0.5531,2083,1107,976,0,105,-1.7100000381469727,0.7342819066225468,9.538800239562988
19,50,200,True,452312.0,3908349.0,0.4874,3206,1343,1863,6,119,-2.2184066772460938,0.4837443271498856,10.131507873535156
1,50,200,True,450439.0,3899279.0,0.1819,1608,1508,100,0,39,-1.0616666376590729,2.1266960877623737,7.656156778335571
20,50,200,True,452312.0,3908850.0,0.4742,3802,1624,2178,10,73,-2.0745110511779785,0.6112252619947967,8.775057792663574
21,50,200,True,452312.0,3909353.0,0.4124,3167,1746,1421,3,68,-2.4296554923057556,0.9151776172044169,11.96833324432373
22,50,200,True,452312.0,3909855.0,0.3389,3281,2006,1275,0,88,-2.6137343645095825,1.0043981687951251,11.503999710083008
23,50,200,True,452397.0,3910360.0,0.3332,3040,1990,1050,2,54,-2.3976128697395325,1.3251451994377637,11.928333282470703
24,50,200,True,452517.0,3910863.0,0.3132,3197,1962,1235,0,65,-1.1713638603687286,1.2038382097056166,11.737500190734863
25,50,200,True,452632.0,3911367.0,0.2951,3236,1883,1353,0,66,-1.2425388991832733,1.0570463317075878,11.821110725402832
26,50,200,True,452771.0,3911868.0,0.2689,3565,1887,1678,0,65,-1.3215441405773163,1.0458839045748,11.676470756530762
27,50,200,True,452970.0,3912375.0,0.2107,4004,1844,2160,0,52,-1.5291318595409393,1.0354719495534828,11.484999656677246
28,50,200,True,453000.0,3912877.0,0.1406,4092,1374,2718,0,24,-1.2438569962978363,0.8940121322505054,11.83381724357605
29,50,200,True,453145.0,3913380.0,0.2194,3158,1442,1716,2,74,-1.5868198573589325,1.0155657706958574,11.289391040802002
2,50,200,True,450558.0,3899785.0,0.1856,2952,817,2135,8,21,-1.6632273495197296,2.062593119391467,6.100925326347351
30,50,200,True,453175.0,3913881.0,0.2811,3318,1352,1966,1,98,-1.6558735370635986,0.740184530930034,11.478636741638184
31,50,200,True,453290.0,3914383.0,0.3277,4647,1509,3138,0,53,-1.4935222268104553,0.5194651700468066,11.830833435058594
32,50,200,True,453620.0,3914885.0,0.282,5424,1607,3817,2,63,-1.6125263273715973,0.31682559470469945,6.438916802406311
33,50,200,True,453813.0,3915387.0,0.2207,6146,1878,4268,3,97,-1.6304078102111816,0.23951978271769103,6.012658715248108
34,50,200,True,453813.0,3915889.0,0.3237,5443,1925,3518,3,142,-1.854993462562561,0.3121721363352344,5.92058801651001
35,50,200,True,454000.0,3916391.0,0.3162,5552,2212,3340,9,135,-1.570426195859909,0.33304370240763825,9.470000267028809
36,50,200,True,454000.0,3916894.0,0.3486,4848,2290,2558,2,84,-1.4885059595108032,0.5436087443329588,6.8471338748931885
37,50,200,True,454100.0,3917397.0,0.3067,4012,1855,2157,5,135,-1.4316651821136475,0.7572864189196077,6.91631555557251
38,50,200,True,454173.0,3917898.0,0.1664,5108,1741,3367,0,107,-1.4582739770412445,0.5528668588631446,8.314814567565918
39,50,200,True,454173.0,3918399.0,0.1463,6181,1895,4286,0,88,-1.360078513622284,0.43083818177851596,8.655357360839844
3,50,200,True,450660.0,3900290.0,0.1739,4655,750,3905,10,86,-1.7281957566738129,1.9696785215255062,8.279999732971191
40,50,200,True,454173.0,3918906.0,0.1065,6508,1776,4732,0,83,-1.4161000847816467,0.40007497320260704,8.29158902168274
41,50,200,True,454173.0,3919406.0,0.0722,7545,1914,5631,0,52,-1.387499988079071,0.22806156098092492,8.213799953460693
42,50,200,True,454173.0,3919908.0,0.0617,7364,1794,5570,6,13,-1.1017135083675385,0.2673661766117426,9.02470588684082
43,50,200,True,454173.0,3920414.0,0.0614,7182,1539,5643,10,26,-1.1275264620780945,0.22979651430551104,7.50787615776062
44,50,200,True,454300.0,3920917.0,0.1232,6674,1537,5137,7,51,-1.1963081061840057,0.13814929355221117,8.239999771118164
45,50,200,True,454300.0,3921418.0,0.2742,5451,1767,3684,4,93,-1.4554291367530823,0.18002804612858478,10.847930908203125
46,50,200,True,454302.0,3921920.0,0.2848,5443,1654,3789,0,84,-2.601059079170227,0.2210671630670062,9.602941513061523
47,50,200,True,454302.0,3922420.0,0.3986,4684,1361,3323,0,34,-1.4500000476837158,0.21636785871512623,6.067500114440918
48,50,200,True,454441.0,3922921.0,0.3886,5377,1332,4045,0,38,-2.622730791568756,0.04316796985437128,6.716318130493164
49,50,200,True,454508.0,3923424.0,0.4921,4328,1135,3193,0,23,-1.4199999570846558,0.22401697392782408,11.847368240356445
4,50,200,True,450788.0,3900793.0,0.1614,4511,851,3660,5,117,-1.6084771156311035,2.1205767036675147,6.591866552829742
50,50,200,True,454508.0,3923929.0,0.6586,2856,1206,1650,0,35,-1.2713469862937927,0.6825465105008743,11.497618675231934
51,50,200,True,454508.0,3924434.0,0.7073,2293,1368,925,0,35,-1.1960817575454712,1.029904933226481,10.454999923706055
52,50,200,True,454566.0,3924936.0,0.6716,2806,1543,1263,0,50,-1.346399575471878,0.709531869223913,7.32285737991333
53,50,200,True,454628.0,3925439.0,0.7305,2005,1411,594,0,37,-1.223172515630722,1.1816799218646035,6.098375082015991
54,50,200,True,454628.0,3925940.0,0.4801,4294,1454,2840,7,113,-1.4494423866271973,0.13486072275756533,8.489999771118164
55,50,200,True,454779.0,3926443.0,0.622,2498,1522,976,10,112,-1.4497545659542084,0.9295712153966831,9.76574420928955
56,50,200,True,454800.0,3926947.0,0.6228,3064,1554,1510,5,65,-1.3954317569732666,0.7817680142302817,11.541818618774414
57,50,200,True,454900.0,3927450.0,0.6781,2484,1828,656,0,67,-1.600000023841858,1.3029429096147487,8.032051086425781
58,50,200,True,454900.0,3927955.0,0.6197,2574,1933,641,0,72,-1.2899999618530273,1.2008214026847575,10.37219524383545
59,50,200,True,454900.0,3928458.0,0.6082,2662,1944,718,3,55,-0.9961130023002625,1.3044538968359458,6.869999885559082
5,50,200,True,450912.0,3901296.0,0.1668,4369,843,3526,12,86,-1.6807443499565125,2.7240240849980535,9.109591722488403
60,50,200,True,455136.0,3928960.0,0.4756,4050,2567,1483,42,71,-0.989252582192421,1.1196786991954597,7.4083333015441895
61,50,200,True,455274.0,3929462.0,0.3851,5332,2996,2336,22,67,-1.0556729435920715,1.3042046314591556,8.562004089355469
62,50,200,True,455314.0,3929963.0,0.2786,5854,2493,3361,5,35,-1.0858161449432373,1.0219965281222136,8.479999542236328
63,50,200,True,455365.0,3930464.0,0.2948,5523,2445,3078,0,40,-1.1282730996608734,1.0516329908720257,11.540769577026367
64,50,200,True,455491.0,3930967.0,0.2636,5753,2622,3131,0,77,-1.440000057220459,1.2312567789091202,7.285078525543213
65,50,200,True,455637.0,3931468.0,0.2502,5749,2396,3353,0,43,-1.1565115451812744,1.2232698398206927,7.942138195037842
66,50,200,True,455738.0,3931971.0,0.3066,4949,2216,2733,12,49,-1.4700000286102295,1.0939786365356567,7.094042778015137
67,50,200,True,455838.0,3932472.0,0.3349,4493,1983,2510,4,57,-1.4960812628269196,0.7076512469466859,7.176875114440918
68,50,200,True,456000.0,3932974.0,0.4271,3234,1893,1341,5,32,-1.1654321253299713,1.2131148882738716,9.0
69,50,200,True,456000.0,3933477.0,0.4242,3235,2209,1026,0,92,-1.1264868676662445,1.459173649479348,11.88700008392334
6,50,200,True,451000.0,3901798.0,0.1167,4577,1506,3071,13,80,-1.9975000023841858,1.9538468779411338,10.894999980926514
70,50,200,True,456151.0,3933981.0,0.2941,5329,2482,2847,9,28,-1.147356778383255,0.7265340576795494,11.934444427490234
71,50,200,True,456212.0,3934483.0,0.3524,3735,1774,1961,11,25,-1.1493134498596191,0.7870135723041366,11.704999923706055
72,50,200,True,456392.0,3934984.0,0.4332,2510,1300,1210,5,36,-1.2215825617313385,1.1567140976379577,11.869999885559082
