domain,rows,cols,shape_ok,origin_x,origin_y,nodata_frac,filled_cells_10m,cells_10m_1996,cells_10m_2014,mixed_source_cells,partial_edge_cells,min_m,mean_m,max_m
73,50,200,True,456392.0,3935485.0,0.3517,3482,1221,2261,0,38,-1.1039575040340424,1.0799690303834928,11.899999618530273
74,50,200,True,456392.0,3935987.0,0.4523,2585,1423,1162,3,73,-1.1481477916240692,1.3050894342599006,11.465341091156006
75,50,200,True,456392.0,3936488.0,0.4659,2526,1504,1022,0,44,-1.30401811003685,1.2704389450162001,11.294236183166504
76,50,200,True,456392.0,3936989.0,0.3827,3874,1825,2049,0,61,-1.501031070947647,0.9178062543214529,11.899999618530273
77,50,200,True,456392.0,3937489.0,0.2134,5912,1825,4087,0,57,-1.4395606815814972,0.3824884599132091,10.520000457763672
78,50,200,True,456392.0,3937990.0,0.404,3874,1495,2379,3,66,-1.3504005670547485,0.7106531356706287,11.220909118652344
79,50,200,True,456332.0,3938491.0,0.457,3393,1430,1963,0,23,-1.3794356882572174,0.8834369878815,11.484222412109375
7,50,200,True,451000.0,3902300.0,0.0747,5289,1744,3545,7,79,-2.5740432143211365,2.1705908737276953,11.78636360168457
80,50,200,True,456286.0,3938992.0,0.5093,2312,1183,1129,0,40,-1.3828156888484955,1.004396107231212,9.356666564941406
81,50,200,True,456248.0,3939493.0,0.486,3055,1295,1760,0,62,-1.3954125046730042,1.1377311994250867,11.579999923706055
82,50,200,True,456140.0,3939993.0,0.4866,3320,1341,1979,0,38,-1.9800000190734863,0.5941930026998345,11.561111450195312
83,50,200,True,456140.0,3940494.0,0.4147,4168,1495,2673,0,78,-1.347556859254837,0.3140459225857847,11.649999618530273
84,50,200,True,456140.0,3940995.0,0.3614,4664,1295,3369,0,57,-2.5642589330673218,0.1134035687587991,6.526956558227539
85,50,200,True,455951.0,3941496.0,0.1443,6880,1405,5475,3,41,-2.5730496048927307,-0.1329082310847921,6.190000057220459
86,50,200,True,455830.0,3941998.0,0.0129,8651,1267,7384,0,18,-1.1326531767845154,-0.20781014103486495,5.549523830413818
87,50,200,True,455800.0,3942500.0,0.031,8552,1299,7253,0,26,-0.8276403844356537,-0.12780548187762644,7.95649790763855
88,50,200,True,455800.0,3943002.0,0.0698,8216,1799,6417,0,50,-1.0999999940395355,0.21711727108272577,8.902674674987793
89,50,200,True,455714.0,3943505.0,0.0578,7418,1882,5536,5,56,-0.8881061971187592,0.399805452764678,8.858194351196289
8,50,200,True,451150.0,3902805.0,0.1208,4845,1618,3227,0,76,-0.6649999916553497,1.8095977545960868,11.574999809265137
90,50,200,True,455600.0,3944007.0,0.0427,6855,1570,5285,5,48,-0.8690311312675476,0.41329041058303256,9.408235549926758
9,50,200,True,451283.0,3903312.0,0.1628,5555,1284,4271,1,100,-1.3645804822444916,1.040683463897883,11.75
