domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,GIS 1 mean,GIS 1 mean,backward,1996_2020,0.2239,0.2925,3382,2010_2020,-3.7888,0.7244,-4.0127,False,False,False,False,False,False,False,2015,2000,21,2015,2000,21,1996,1996,25,2015,2001,20,2015,2000,21,2015,2001,20,2016,2000,21
2,GIS 2 mean,GIS 2 mean,backward,1996_2020,1.3874,0.2697,4117,2010_2020,-0.8862,0.6602,-2.2736,False,False,False,False,False,False,False,2016,1996,25,2016,1996,25,2016,1996,25,2016,2001,20,2016,2000,21,2016,2001,20,2016,2000,21
3,GIS 3 mean,GIS 3 mean,backward,1996_2020,1.8882,0.2197,3720,2010_2020,1.7549,0.6678,-0.1333,True,True,True,True,True,True,True,2010,1997,24,2010,2000,21,2014,2001,20,2014,2011,10,2014,2011,10,2014,2011,10,2014,2014,7
4,GIS 4 mean,GIS 4 mean,backward,1996_2020,1.1739,0.2381,4945,2010_2020,1.2956,0.7357,0.1217,True,True,True,True,True,True,True,2012,1999,22,2012,1999,22,2012,1999,22,2013,2013,8,2013,1999,22,2013,2013,8,2013,1999,22
5,GIS 5 mean,GIS 5 mean,backward,1996_2020,0.2501,0.2668,4964,2010_2020,2.2716,0.9532,2.0215,False,False,False,False,False,False,False,2004,1998,23,2004,1998,23,2004,1996,25,2005,2005,16,2005,2005,16,2006,2006,15,2006,2006,15
6,GIS 6 mean,GIS 6 mean,backward,1996_2020,-1.6513,0.1975,2177,2010_2020,-2.1006,0.7053,-0.4493,False,False,False,True,True,True,True,2005,2005,16,2005,2005,16,2015,2005,16,2016,2010,11,2016,2010,11,2016,2011,10,2016,2011,10
7,GIS 7 mean,GIS 7 mean,backward,1996_2020,-1.8233,0.1913,1518,2010_2020,-0.8969,0.7876,0.9264,False,False,False,False,False,True,True,2002,2002,19,2002,2002,19,2007,2003,18,2008,2008,13,2007,2004,17,2010,2010,11,2012,2012,9
8,GIS 8 mean,GIS 8 mean,backward,1996_2020,-1.0725,0.2382,3078,2010_2020,1.0012,1.0501,2.0737,False,False,False,False,False,False,False,2003,2003,18,2003,2003,18,2003,2003,18,2006,2006,15,2004,2004,17,2007,2007,14,2016,2008,13
9,GIS 9 mean,GIS 9 mean,backward,1996_2020,-0.8649,0.2151,3374,2010_2020,2.1369,0.8514,3.0018,False,False,False,False,False,False,False,2000,2000,21,2001,2001,20,2000,2000,21,2004,2004,17,2003,2003,18,2006,2006,15,2004,2004,17
10,GIS 10 mean,GIS 10 mean,backward,1996_2020,-0.4695,0.2298,3761,2010_2020,3.1544,0.8224,3.6239,False,False,False,False,False,False,False,2000,2000,21,2000,2000,21,1996,1996,25,2004,2004,17,2003,2003,18,2004,2004,17,2004,2004,17
