window,smooth,step,run_name,tag,gis1,gis90,target_gis1,target_gis90,model_gis1,model_gis90,coastsat_gis1,coastsat_gis90,timestamp,git_commit
1984_2004,mean3,2,HAT_1984_2004_edgeBE_road_bdm_nogroin,2026-09-16-dune-edgesolve/mean3/step2,-1.6,6.2,0.32266666666666666,-0.9396666666666667,0.3220001198666068,-0.9371228791575958,-42.6,13.0,2026-09-16 21:41:49,fd58bb1029cf
1984_2004,raw,3,HAT_1984_2004_edgeBE_road_bdm_nogroin,2026-09-16-dune-edgesolve/raw/step3,31.8,9.5,4.048,-0.497,4.0474489311674,-0.4957154827929116,-42.6,13.0,2026-09-16 21:46:48,fd58bb1029cf
1996_2010,mean3,3,HAT_1996_2010_edgeBE_road_bdm_nogroin,2026-09-18-dune-edgesolve/mean3/step3,-16.0,-3.3,-2.613,-2.0386666666666664,-2.6077740794550794,-2.040453321066447,32.2,10.0,2026-09-18 17:26:54,7e492c345232
1996_2010,raw,4,HAT_1996_2010_edgeBE_road_bdm_nogroin,2026-09-18-dune-edgesolve/raw/step4,0.3,1.9,-0.013,-1.124,-0.0088740534939851,-1.1286580678053204,32.2,10.0,2026-09-18 17:31:30,7e492c345232
2004_2024,mean3,3,HAT_2004_2024_edgeBE_road_bdm_nourish_nogroin,2026-09-18-dune-edgesolve/mean3/step3,-0.4,23.6,-1.2633333333333334,0.6246666666666666,-1.2682002355572877,0.6223897264922925,50.3,46.7,2026-09-18 17:29:04,7e492c345232
2004_2024,raw,2,HAT_2004_2024_edgeBE_road_bdm_nourish_nogroin,2026-09-18-dune-edgesolve/raw/step2,-2.3,24.2,-1.526,0.706,-1.5282099817045491,0.7047257125007491,50.3,46.7,2026-09-18 17:21:59,7e492c345232
2010_2024,mean3,3,HAT_2010_2024_edgeBE_road_bdm_nourish_nogroin,2026-09-18-dune-edgesolve/mean3/step3,20.1,19.2,1.3176666666666665,1.18,1.3227695276201692,1.1862852873537122,72.6,31.3,2026-09-18 17:28:04,7e492c345232
2010_2024,raw,3,HAT_2010_2024_edgeBE_road_bdm_nourish_nogroin,2026-09-18-dune-edgesolve/raw/step3,18.2,18.7,1.042,1.131,1.0441011308772172,1.1244954195638326,72.6,31.3,2026-09-18 17:27:59,7e492c345232
