Domain_ID,1996
1,6245.114171934919
2,6124.171263412677
3,6057.396261966356
4,5959.7844221786245
5,5820.729580123652
6,5564.436910597037
7,5466.744329010741
8,5413.790371566184
9,5349.233543662936
10,5278.058306749223
11,5194.202943793579
12,5116.983653387625
13,5034.488963732368
14,4958.847217227752
15,4880.71489287283
16,4799.318462259555
17,4699.907018550927
18,4608.340491222194
19,4527.804413914366
20,4441.711935497238
21,4330.4081741927075
22,4197.5212036587645
23,4075.2378647326022
24,3956.8927145076095
25,3861.725410003145
26,3773.8877599654015
27,3689.196234859992
28,3593.6981729335967
29,3481.619292396598
30,3379.5875484104736
31,3265.8646946576655
32,3142.8773368684106
33,2997.3850811952843
34,2841.0680884093626
35,2667.431889131979
36,2580.7693222320286
37,2485.7583947148405
38,2414.4856276091423
39,2368.584273469588
40,2338.827661750058
41,2320.8783206486605
42,2296.3529939317723
43,2276.6695253477783
44,2252.6038643622187
45,2227.7679762242706
46,2202.7003493967113
47,2163.6535341986573
48,2133.2798265935735
49,2113.219249917066
50,2071.9386402229893
51,2023.7101930195815
52,1978.7004762608906
53,1935.8406178525768
54,1889.0624300662778
55,1813.5521188628393
56,1751.430590456631
57,1680.6961297818577
58,1586.1345766010693
59,1497.021791150584
60,1406.1345132058489
61,1310.728069440462
62,1190.460073009471
63,1073.975252375228
64,995.4408990118652
65,905.4441135934437
66,808.4046607295752
67,691.1878922162343
68,580.3229310624649
69,478.8288402513833
70,381.0136739224197
71,290.76488259456823
72,222.88617200935255
73,178.3810379331701
74,127.45959391964129
75,84.4616345835152
76,28.071208451979828
77,0.0
78,3.9262029173203246
79,64.87356119784522
80,119.91355755103291
81,155.3836012768445
82,244.24341101802406
83,310.9503494723119
84,383.739545175142
85,474.951393327897
86,547.06939936399
87,620.8002688666804
88,690.9007672097302
89,761.2514132672457
90,844.2873415032634
