parameter,setting,effect_1996_2010,effect_2010_2024,mean_effect,best_value,chosen_for_grid,grid_values
wave_height,hs,11.046019994875376,20.036379011040715,15.541199502958046,1.5,True,"1, 1.25, 1.5, 2, 2.5"
wave_period,wave_period_s,11.085697933444324,18.161195607024517,14.62344677023442,8.0,True,"6, 7, 8, 10, 12"
high_angle,wave_angle_high_fraction,3.497641102169579,18.446004523289105,10.971822812729341,0.5,False,
asymmetry,wave_asymmetry,0.5515818684389769,18.6762080119311,9.613894940185038,0.6,False,
