group,period,period_start,scenario,hs,wave_period_s,wave_asymmetry,wave_angle_high_fraction,source_sink_preset,groin,offset_mode,island_offset_version,barrier3d_route_overwash_fix,status,mean_bias_interior_m_yr,rmse_interior_m_yr,variance_explained,pattern_variance_explained,r_alongshore,model_sd_m_yr,sd_ratio,roads_drowned,run_name,run_dir,log
full_management_asymmetry,1996-2010,1996,full_management,1.0,8.0,0.4,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.04837368207785391,1.1990695130416091,-0.042718624805135,-0.04102156674415758,0.41890243946375016,1.0382711309326396,0.8841989261610362,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p4ahf0p45,full_management_asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p4ahf0p45,logs/full_management_asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.4_highangle0.45.log
full_management_asymmetry,1996-2010,1996,full_management,1.0,8.0,0.5,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.051101933005999654,1.1622536957960903,0.020328936141504106,0.022222818791719168,0.3951773946792216,0.8937911319281527,0.7611587527751473,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p5ahf0p45,full_management_asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p5ahf0p45,logs/full_management_asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.5_highangle0.45.log
full_management_asymmetry,1996-2010,1996,full_management,1.0,8.0,0.6,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.045988228231563705,1.1114234035961348,0.10414549040037391,0.10567930110702617,0.395798078863689,0.7298889854197873,0.6215785433090443,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p6ahf0p45,full_management_asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p6ahf0p45,logs/full_management_asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.6_highangle0.45.log
full_management_asymmetry,1996-2010,1996,full_management,1.0,8.0,0.7,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.07631680821552682,1.1007667962393919,0.12124248747830868,0.12546643784371236,0.36137355937316107,0.5084018483162932,0.4329585548003807,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1ahf0p45,full_management_asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1ahf0p45,logs/full_management_asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.7_highangle0.45.log
full_management_asymmetry,1996-2010,1996,full_management,1.0,8.0,0.9,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.05345026118790052,1.0753939568353263,0.16128657972468718,0.1633585240073433,0.40460223135366574,0.45331133877907304,0.3860430931995952,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p9ahf0p45,full_management_asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p9ahf0p45,logs/full_management_asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.9_highangle0.45.log
full_management_high_angle,1996-2010,1996,full_management,1.0,8.0,0.8,0.1,zeroBE,False,metres,duneline/v1,False,scored,-0.7469765740184028,2.0217829857128686,-1.9644728949018764,-1.5598109419650186,0.5623949925255685,2.2687727219974207,1.9321026509632557,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8,full_management_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8,logs/full_management_high_angle/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.1.log
full_management_high_angle,1996-2010,1996,full_management,1.0,8.0,0.8,0.2,zeroBE,False,metres,duneline/v1,False,scored,-0.5768549367586527,1.6683478933389069,-1.018606389229678,-0.7772762094844714,0.5277958443312849,1.8263576174004332,1.5553388666801522,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p2,full_management_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p2,logs/full_management_high_angle/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.2.log
full_management_high_angle,1996-2010,1996,full_management,1.0,8.0,0.8,0.3,zeroBE,False,metres,duneline/v1,False,scored,-0.38604687249716163,1.3214700390592435,-0.26646458869313316,-0.15838131613758444,0.4852858583880956,1.3068086978849618,1.1128873884125645,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p3,full_management_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p3,logs/full_management_high_angle/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.3.log
full_management_high_angle,1996-2010,1996,full_management,1.0,8.0,0.8,0.4,zeroBE,False,metres,duneline/v1,False,scored,-0.17975403082264207,1.1109509321464013,0.10490699265305448,0.1283404130905882,0.40328042579254103,0.6910097057293144,0.5884686779491637,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p4,full_management_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p4,logs/full_management_high_angle/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.4.log
full_management_high_angle,1996-2010,1996,full_management,1.0,8.0,0.8,0.5,zeroBE,False,metres,duneline/v1,False,scored,0.021883029396560495,1.1135128407995263,0.10077397379511122,0.10112126460936244,0.3274155426743584,0.29290893022011705,0.2494432849451999,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p5,full_management_high_angle/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p5,logs/full_management_high_angle/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.5.log
