period,target,domains,mean_m_yr,sd_m_yr,flat_line_rmse_m_yr
1996-2010,"CoastSat LRR, LOESS 10 domains",GIS 2-89,-0.41771597158159,1.1742506128576125,1.1742506128576125
2010-2024,"CoastSat LRR, LOESS 10 domains",GIS 2-89,1.0585372842514003,1.4641930258089155,1.4641930258089155
