t,v,s,f,q
2024-01-01 00:00:00+00:00,0.178,0.066,"0,0,0,0",v
2024-01-02 00:00:00+00:00,0.335,0.068,"0,0,0,0",v
2024-01-03 00:00:00+00:00,0.162,0.046,"0,0,0,0",v
2024-01-04 00:00:00+00:00,0.342,0.062,"0,0,0,0",v
2024-01-05 00:00:00+00:00,0.227,0.061,"0,0,0,0",v
2024-01-06 00:00:00+00:00,0.079,0.062,"0,0,0,0",v
2024-01-07 00:00:00+00:00,0.183,0.039,"0,0,0,0",v
2024-01-08 00:00:00+00:00,0.266,0.063,"0,0,0,0",v
2024-01-09 00:00:00+00:00,0.13,0.037,"0,0,0,0",v
2024-01-10 00:00:00+00:00,0.569,0.04,"0,0,1,0",v
2024-01-11 00:00:00+00:00,0.308,0.042,"0,0,0,0",v
2024-01-12 00:00:00+00:00,0.229,0.06,"0,0,0,0",v
2024-01-13 00:00:00+00:00,0.357,0.063,"0,0,0,0",v
2024-01-14 00:00:00+00:00,0.297,0.056,"0,0,0,0",v
2024-01-15 00:00:00+00:00,0.219,0.053,"0,0,0,0",v
2024-01-16 00:00:00+00:00,0.367,0.056,"0,0,0,0",v
2024-01-17 00:00:00+00:00,0.405,0.07,"0,0,0,0",v
2024-01-18 00:00:00+00:00,0.248,0.06,"0,0,0,0",v
2024-01-19 00:00:00+00:00,0.325,0.067,"0,0,0,0",v
2024-01-20 00:00:00+00:00,0.307,0.059,"0,0,0,0",v
2024-01-21 00:00:00+00:00,0.362,0.071,"1,0,0,0",v
2024-01-22 00:00:00+00:00,0.046,0.062,"1,0,0,0",v
2024-01-23 00:00:00+00:00,-0.06,0.059,"0,0,0,0",v
2024-01-24 00:00:00+00:00,-0.089,0.046,"0,0,0,0",v
2024-01-25 00:00:00+00:00,-0.063,0.053,"0,0,0,0",v
2024-01-26 00:00:00+00:00,-0.005,0.073,"0,0,0,0",v
2024-01-27 00:00:00+00:00,0.042,0.035,"0,1,0,0",v
2024-01-28 00:00:00+00:00,0.181,0.046,"0,0,0,0",v
2024-01-29 00:00:00+00:00,0.316,0.057,"0,0,0,0",v
2024-01-30 00:00:00+00:00,0.237,0.048,"0,0,0,0",v
2024-01-31 00:00:00+00:00,0.388,0.081,"0,0,0,0",v
2024-02-01 00:00:00+00:00,0.448,0.08,"0,0,0,0",v
2024-02-02 00:00:00+00:00,0.282,0.048,"0,0,0,0",v
2024-02-03 00:00:00+00:00,0.331,0.074,"0,0,0,0",v
2024-02-04 00:00:00+00:00,0.275,0.058,"0,0,0,0",v
2024-02-05 00:00:00+00:00,0.302,0.045,"0,0,0,0",v
2024-02-06 00:00:00+00:00,0.537,0.105,"0,0,0,0",v
2024-02-07 00:00:00+00:00,0.571,0.091,"0,0,0,0",v
2024-02-08 00:00:00+00:00,0.428,0.046,"0,0,0,0",v
2024-02-09 00:00:00+00:00,0.303,0.061,"0,0,0,0",v
2024-02-10 00:00:00+00:00,0.248,0.057,"0,0,0,0",v
2024-02-11 00:00:00+00:00,0.241,0.067,"0,0,0,0",v
2024-02-12 00:00:00+00:00,0.301,0.052,"0,0,0,0",v
2024-02-13 00:00:00+00:00,0.855,0.135,"0,0,1,0",v
2024-02-14 00:00:00+00:00,0.374,0.039,"0,0,0,0",v
2024-02-15 00:00:00+00:00,0.265,0.041,"0,0,0,0",v
2024-02-16 00:00:00+00:00,0.251,0.029,"0,0,0,0",v
2024-02-17 00:00:00+00:00,0.377,0.064,"0,0,0,0",v
2024-02-18 00:00:00+00:00,0.219,0.05,"0,0,0,0",v
2024-02-19 00:00:00+00:00,0.229,0.062,"0,0,0,0",v
2024-02-20 00:00:00+00:00,0.21,0.049,"0,0,0,0",v
2024-02-21 00:00:00+00:00,0.29,0.083,"0,0,0,0",v
2024-02-22 00:00:00+00:00,0.244,0.059,"0,0,0,0",v
2024-02-23 00:00:00+00:00,0.202,0.047,"0,0,0,0",v
2024-02-24 00:00:00+00:00,0.229,0.04,"0,0,0,0",v
2024-02-25 00:00:00+00:00,0.279,0.065,"0,0,0,0",v
2024-02-26 00:00:00+00:00,0.19,0.04,"0,0,0,0",v
2024-02-27 00:00:00+00:00,0.11,0.042,"0,0,0,0",v
2024-02-28 00:00:00+00:00,0.072,0.046,"0,0,0,0",v
2024-02-29 00:00:00+00:00,0.314,0.051,"0,0,0,0",v
2024-03-01 00:00:00+00:00,-0.001,0.032,"0,0,1,0",v
2024-03-02 00:00:00+00:00,0.043,0.032,"0,0,1,0",v
2024-03-03 00:00:00+00:00,0.074,0.037,"0,0,1,0",v
2024-03-04 00:00:00+00:00,0.074,0.045,"0,0,1,0",v
2024-03-05 00:00:00+00:00,0.095,0.042,"0,0,1,0",v
2024-03-06 00:00:00+00:00,0.177,0.047,"0,0,1,0",v
2024-03-07 00:00:00+00:00,0.241,0.049,"1,0,0,0",v
2024-03-08 00:00:00+00:00,0.256,0.055,"0,0,1,0",v
2024-03-09 00:00:00+00:00,0.296,0.056,"0,0,1,0",v
2024-03-10 00:00:00+00:00,0.461,0.022,"0,0,1,0",v
2024-03-11 00:00:00+00:00,0.701,0.042,"0,0,1,0",v
2024-03-12 00:00:00+00:00,0.293,0.05,"0,0,1,0",v
2024-03-13 00:00:00+00:00,0.179,0.038,"0,0,1,0",v
2024-03-14 00:00:00+00:00,0.18,0.053,"0,1,1,0",v
2024-03-15 00:00:00+00:00,0.154,0.052,"0,0,1,0",v
2024-03-16 00:00:00+00:00,0.229,0.054,"0,0,1,0",v
2024-03-17 00:00:00+00:00,0.169,0.047,"0,0,1,0",v
2024-03-18 00:00:00+00:00,0.318,0.045,"0,0,1,0",v
2024-03-19 00:00:00+00:00,0.625,0.054,"0,0,1,0",v
2024-03-20 00:00:00+00:00,0.284,0.058,"0,0,1,0",v
2024-03-21 00:00:00+00:00,0.224,0.047,"0,0,1,0",v
2024-03-22 00:00:00+00:00,0.128,0.04,"0,0,1,0",v
2024-03-23 00:00:00+00:00,0.296,0.039,"0,0,1,0",v
2024-03-24 00:00:00+00:00,0.475,0.049,"0,0,1,0",v
2024-03-25 00:00:00+00:00,0.402,0.046,"0,0,1,0",v
2024-03-26 00:00:00+00:00,0.398,0.028,"0,0,1,0",v
2024-03-27 00:00:00+00:00,0.357,0.022,"0,0,1,0",v
2024-03-28 00:00:00+00:00,0.607,0.045,"0,0,1,0",v
2024-03-29 00:00:00+00:00,0.63,0.031,"0,0,1,0",v
2024-03-30 00:00:00+00:00,0.332,0.031,"0,0,1,0",v
2024-03-31 00:00:00+00:00,0.258,0.04,"0,1,1,0",v
2024-04-01 00:00:00+00:00,0.193,0.045,"0,1,0,0",v
2024-04-02 00:00:00+00:00,0.221,0.054,"0,0,0,0",v
2024-04-03 00:00:00+00:00,0.195,0.052,"0,0,0,0",v
2024-04-04 00:00:00+00:00,0.418,0.06,"0,0,0,0",v
2024-04-05 00:00:00+00:00,0.349,0.061,"0,0,0,0",v
2024-04-06 00:00:00+00:00,0.407,0.057,"0,0,0,0",v
2024-04-07 00:00:00+00:00,0.377,0.062,"0,0,0,0",v
