Domain_ID,1996
1,6258.000000000001
2,6120.400000000001
3,6053.400000000001
4,5956.0
5,5818.2
6,5560.6
7,5462.8
8,5409.6
9,5346.6
10,5277.400000000001
11,5190.400000000001
12,5113.0
13,5031.8
14,4954.8
15,4876.8
16,4791.0
17,4694.6
18,4606.2
19,4523.8
20,4437.6
21,4326.6
22,4193.8
23,4071.4000000000005
24,3953.0
25,3857.8
26,3770.0
27,3685.2
28,3589.6000000000004
29,3478.0
30,3377.6000000000004
31,3259.8
32,3138.8
33,2993.4000000000005
34,2854.0
35,2727.6000000000004
36,2602.8
37,2489.0
38,2410.4000000000005
39,2365.6000000000004
40,2334.8
41,2316.8
42,2292.4000000000005
43,2272.8
44,2248.6000000000004
45,2223.6000000000004
46,2194.0
47,2160.8
48,2129.3999999999996
49,2109.0
50,2069.0
51,2019.6000000000001
52,1974.8
53,1931.9999999999998
54,1884.9999999999998
55,1809.3999999999999
56,1747.2
57,1676.8
58,1581.9999999999998
59,1492.9999999999998
60,1401.9999999999998
61,1303.9999999999998
62,1181.3999999999999
63,1073.6000000000001
64,985.2
65,899.9999999999998
66,802.2
67,683.6000000000001
68,576.3999999999999
69,474.79999999999995
70,376.9999999999998
71,285.9999999999998
72,218.79999999999995
73,174.39999999999986
74,123.60000000000014
75,80.39999999999986
76,47.399999999999864
77,16.0
78,0.0
79,42.399999999999864
80,110.60000000000014
81,149.39999999999986
82,239.60000000000014
83,306.79999999999995
84,379.79999999999995
85,470.9999999999998
86,542.8
87,616.8
88,686.8
89,757.3999999999999
90,840.3999999999999
