window_domains,window_km,loess_frac,n_domains,bias_m,rms_residual_m,residual_min_m,residual_max_m,sd_total_m,sd_observed_m,pct_sign_agreement,r_inflated_by_smoothing
0,,,90,-2.945,17.031,-51.272,56.658,38.712,42.095,87.778,0.916
3,1.5,0.033,90,-3.146,15.736,-41.952,56.658,36.696,40.073,86.667,0.922
5,2.5,0.055,90,-3.055,14.651,-30.616,56.658,34.923,38.604,86.667,0.928
10,5.0,0.11,90,-2.263,12.266,-26.483,56.658,29.522,34.146,88.889,0.938
