domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
1,0,,79.613,136.271,56.658
2,0,,70.758,65.32,-5.438
3,0,,68.983,54.37,-14.613
4,0,,53.742,53.081,-0.661
5,0,,22.977,31.265,8.288
6,0,,-38.868,-35.966,2.902
7,0,,-36.787,-44.79,-8.003
8,0,,-9.06,-26.873,-17.813
9,0,,3.84,-17.243,-21.083
10,0,,20.0,-6.483,-26.483
11,0,,22.163,-1.213,-23.376
12,0,,17.275,-4.311,-21.586
13,0,,15.792,5.409,-10.383
14,0,,29.594,25.728,-3.866
15,0,,35.065,41.746,6.681
16,0,,28.935,55.183,26.248
17,0,,36.612,59.527,22.915
18,0,,46.979,58.113,11.134
19,0,,51.337,65.022,13.685
20,0,,33.522,29.382,-4.14
21,0,,-1.205,4.125,5.33
22,0,,-23.595,-17.111,6.484
23,0,,-52.169,-35.26,16.909
24,0,,-63.636,-33.172,30.464
25,0,,-69.354,-45.525,23.829
26,0,,-43.309,-25.726,17.583
27,0,,0.19,17.196,17.006
28,0,,53.264,60.233,6.969
29,0,,81.792,89.933,8.141
30,0,,88.847,76.43,-12.417
31,0,,72.655,52.974,-19.681
32,0,,41.449,41.092,-0.357
33,0,,37.897,9.031,-28.866
34,0,,50.84,-0.432,-51.272
35,0,,16.796,-14.448,-31.244
36,0,,0.166,-18.432,-18.598
37,0,,-3.377,-6.953,-3.576
38,0,,3.606,6.024,2.418
39,0,,5.735,6.665,0.93
40,0,,9.355,8.48,-0.875
41,0,,17.108,1.615,-15.493
42,0,,10.993,10.177,-0.816
43,0,,5.321,24.999,19.678
44,0,,1.707,20.004,18.297
45,0,,-14.106,-4.498,9.608
46,0,,-30.62,-32.288,-1.668
47,0,,-28.789,-35.269,-6.48
48,0,,-11.224,-5.364,5.86
49,0,,-8.194,-0.456,7.738
50,0,,-16.558,-26.302,-9.744
51,0,,-18.564,-32.152,-13.588
52,0,,-25.088,-38.86,-13.772
53,0,,-27.628,-35.423,-7.795
54,0,,-23.88,-22.345,1.535
55,0,,-12.569,-17.344,-4.775
56,0,,-5.75,-11.801,-6.051
57,0,,-0.12,-4.026,-3.906
58,0,,8.791,13.552,4.761
59,0,,6.917,19.775,12.858
60,0,,-15.723,2.174,17.897
61,0,,-36.364,-15.171,21.193
62,0,,-43.275,-20.308,22.967
63,0,,-22.856,-9.953,12.903
64,0,,-4.498,-10.457,-5.959
65,0,,13.376,-2.099,-15.475
66,0,,59.972,38.557,-21.415
67,0,,77.59,63.384,-14.206
68,0,,63.363,60.881,-2.482
69,0,,42.816,51.949,9.133
70,0,,23.581,28.513,4.932
71,0,,19.247,13.515,-5.732
72,0,,28.512,20.101,-8.411
73,0,,29.577,23.37,-6.207
74,0,,10.914,12.095,1.181
75,0,,-26.24,-29.34,-3.1
76,0,,-54.725,-86.882,-32.157
77,0,,-48.54,-85.862,-37.322
78,0,,-54.204,-89.125,-34.921
79,0,,-45.363,-52.155,-6.792
80,0,,-70.451,-84.121,-13.67
81,0,,-52.717,-80.1,-27.383
82,0,,-41.697,-54.949,-13.252
83,0,,-59.525,-57.967,1.558
84,0,,-44.436,-54.543,-10.107
85,0,,-29.078,-30.701,-1.623
86,0,,-15.222,-30.58,-15.358
87,0,,0.889,-14.948,-15.837
88,0,,28.114,9.743,-18.371
89,0,,33.103,28.639,-4.464
90,0,,33.439,34.384,0.945
1,3,1.5,79.613,136.271,56.658
2,3,1.5,70.758,65.32,-5.438
3,3,1.5,68.983,54.37,-14.613
4,3,1.5,53.742,53.081,-0.661
5,3,1.5,22.977,31.265,8.288
6,3,1.5,-38.868,-35.966,2.902
7,3,1.5,-36.787,-44.79,-8.003
8,3,1.5,-9.06,-26.873,-17.814
9,3,1.5,3.84,-17.243,-21.082
10,3,1.5,20.0,-6.483,-26.483
11,3,1.5,20.238,-3.43,-23.668
12,3,1.5,18.254,-1.744,-19.998
13,3,1.5,18.743,7.468,-11.275
14,3,1.5,27.827,24.173,-3.655
15,3,1.5,32.882,41.372,8.489
16,3,1.5,31.555,53.535,21.98
17,3,1.5,37.026,57.837,20.812
18,3,1.5,45.988,59.542,13.554
19,3,1.5,45.655,55.495,9.841
20,3,1.5,27.166,30.118,2.952
21,3,1.5,1.717,4.734,3.017
22,3,1.5,-22.106,-14.896,7.209
23,3,1.5,-46.708,-30.342,16.366
24,3,1.5,-62.182,-36.363,25.82
25,3,1.5,-60.996,-38.307,22.689
26,3,1.5,-36.796,-17.868,18.928
27,3,1.5,2.188,16.93,14.742
28,3,1.5,41.746,51.825,10.079
29,3,1.5,74.285,77.214,2.929
30,3,1.5,84.193,74.335,-9.857
31,3,1.5,70.5,56.613,-13.886
32,3,1.5,49.374,37.824,-11.55
33,3,1.5,40.675,15.221,-25.454
34,3,1.5,41.329,-0.623,-41.952
35,3,1.5,24.148,-12.103,-36.251
36,3,1.5,4.58,-15.753,-20.333
37,3,1.5,0.175,-6.718,-6.893
38,3,1.5,3.324,3.984,0.66
39,3,1.5,5.931,6.76,0.829
40,3,1.5,10.445,6.698,-3.747
41,3,1.5,13.642,5.055,-8.586
42,3,1.5,10.738,11.345,0.607
43,3,1.5,5.699,20.272,14.573
44,3,1.5,-0.965,17.17,18.135
45,3,1.5,-14.434,-3.695,10.739
46,3,1.5,-26.867,-27.305,-0.438
47,3,1.5,-25.219,-29.75,-4.531
48,3,1.5,-14.722,-15.237,-0.515
49,3,1.5,-10.992,-8.008,2.984
50,3,1.5,-15.198,-20.008,-4.809
51,3,1.5,-19.688,-31.797,-12.109
52,3,1.5,-24.083,-36.558,-12.475
53,3,1.5,-26.067,-33.438,-7.372
54,3,1.5,-21.63,-24.013,-2.383
55,3,1.5,-13.114,-16.859,-3.745
56,3,1.5,-6.252,-11.298,-5.046
57,3,1.5,0.632,-1.932,-2.564
58,3,1.5,6.344,10.697,4.353
59,3,1.5,2.967,14.818,11.851
60,3,1.5,-14.117,3.075,17.192
61,3,1.5,-32.263,-11.881,20.382
62,3,1.5,-35.099,-16.183,18.917
63,3,1.5,-21.997,-12.547,9.449
64,3,1.5,-4.359,-8.871,-4.512
65,3,1.5,20.677,5.556,-15.12
66,3,1.5,53.709,35.846,-17.863
67,3,1.5,70.602,57.541,-13.061
68,3,1.5,61.261,59.622,-1.639
69,3,1.5,42.428,48.208,5.78
70,3,1.5,26.936,30.317,3.381
71,3,1.5,22.495,18.546,-3.949
72,3,1.5,26.705,19.722,-6.983
73,3,1.5,25.036,20.601,-4.435
74,3,1.5,3.884,0.464,-3.419
75,3,1.5,-24.361,-37.041,-12.68
76,3,1.5,-44.254,-66.498,-22.244
77,3,1.5,-50.836,-83.464,-32.628
78,3,1.5,-50.289,-80.867,-30.578
79,3,1.5,-50.127,-66.917,-16.791
80,3,1.5,-55.673,-71.531,-15.857
81,3,1.5,-51.445,-73.171,-21.726
82,3,1.5,-47.933,-61.142,-13.209
83,3,1.5,-54.018,-56.975,-2.956
84,3,1.5,-44.828,-49.533,-4.705
85,3,1.5,-29.251,-35.404,-6.153
86,3,1.5,-15.078,-27.85,-12.772
87,3,1.5,1.503,-14.916,-16.419
88,3,1.5,20.483,4.929,-15.554
89,3,1.5,30.835,22.879,-7.955
90,3,1.5,33.892,34.024,0.133
1,5,2.5,79.613,136.271,56.658
2,5,2.5,70.758,65.32,-5.438
3,5,2.5,68.983,54.37,-14.613
4,5,2.5,53.742,53.081,-0.661
5,5,2.5,22.977,31.265,8.288
6,5,2.5,-38.868,-35.966,2.902
7,5,2.5,-36.787,-44.79,-8.003
8,5,2.5,-9.06,-26.873,-17.814
9,5,2.5,3.84,-17.243,-21.082
10,5,2.5,20.0,-6.483,-26.483
11,5,2.5,18.577,-4.1,-22.677
12,5,2.5,18.896,0.662,-18.234
13,5,2.5,21.253,9.892,-11.36
14,5,2.5,26.667,24.502,-2.165
15,5,2.5,30.938,40.112,9.174
16,5,2.5,33.691,51.203,17.511
17,5,2.5,38.058,57.018,18.959
18,5,2.5,43.186,57.166,13.98
19,5,2.5,40.09,46.783,6.692
20,5,2.5,24.194,28.507,4.313
21,5,2.5,1.521,5.591,4.07
22,5,2.5,-22.87,-14.007,8.863
23,5,2.5,-44.37,-27.563,16.807
24,5,2.5,-57.297,-34.772,22.525
25,5,2.5,-50.941,-28.815,22.126
26,5,2.5,-29.877,-10.973,18.904
27,5,2.5,1.587,16.819,15.232
28,5,2.5,37.072,45.364,8.293
29,5,2.5,66.272,64.403,-1.869
30,5,2.5,77.615,68.767,-8.848
31,5,2.5,68.472,55.424,-13.049
32,5,2.5,52.527,35.149,-17.378
33,5,2.5,40.43,16.197,-24.233
34,5,2.5,30.326,0.015,-30.311
35,5,2.5,18.645,-9.969,-28.614
36,5,2.5,6.787,-11.866,-18.653
37,5,2.5,2.047,-6.009,-8.056
38,5,2.5,3.003,1.727,-1.276
39,5,2.5,6.486,6.143,-0.343
40,5,2.5,10.064,6.184,-3.88
41,5,2.5,11.722,7.678,-4.044
42,5,2.5,10.152,12.327,2.175
43,5,2.5,5.172,16.653,11.481
44,5,2.5,-3.137,11.286,14.423
45,5,2.5,-13.981,-5.017,8.964
46,5,2.5,-22.269,-20.44,1.828
47,5,2.5,-22.302,-23.679,-1.378
48,5,2.5,-16.774,-17.245,-0.471
49,5,2.5,-13.362,-14.759,-1.396
50,5,2.5,-15.218,-20.715,-5.497
51,5,2.5,-19.723,-30.319,-10.595
52,5,2.5,-23.401,-34.3,-10.899
53,5,2.5,-24.255,-31.548,-7.293
54,5,2.5,-20.591,-24.782,-4.191
55,5,2.5,-13.756,-17.317,-3.561
56,5,2.5,-6.259,-10.277,-4.017
57,5,2.5,0.386,-0.915,-1.301
58,5,2.5,3.727,8.159,4.432
59,5,2.5,-1.752,9.429,11.18
60,5,2.5,-14.985,1.528,16.513
61,5,2.5,-27.821,-9.059,18.762
62,5,2.5,-29.775,-13.864,15.91
63,5,2.5,-20.594,-12.708,7.886
