tolerance_years,historical_domains,hits,misses,hit_domains,miss_domains,control_domains,false_positives,false_positive_domains,recall,false_positive_rate
2,10,1,9,85,84 86 87 9 10 11 12 13 14,45,0,,0.1,0.0
5,10,3,7,85 86 11,84 87 9 10 12 13 14,45,0,,0.3,0.0
