domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
1,5,14.678,3.237,10.985,18.772,1.042,0.23,0.0
2,5,18.465,2.955,15.791,21.752,1.311,0.21,0.0
3,5,22.541,3.611,17.91,26.519,1.6,0.256,0.0
4,5,19.414,6.971,8.626,26.564,1.378,0.495,0.0
5,5,5.255,10.003,-3.638,21.072,0.373,0.71,40.0
6,5,-30.336,21.966,-50.322,3.787,-2.154,1.559,80.0
7,5,-38.824,21.873,-63.168,-15.114,-2.756,1.553,100.0
8,5,-39.748,4.227,-45.106,-36.595,-2.822,0.3,100.0
9,5,-11.782,3.849,-16.291,-6.602,-0.836,0.273,100.0
10,5,-6.676,5.864,-15.022,0.266,-0.474,0.416,80.0
11,5,12.964,7.565,2.422,22.908,0.92,0.537,0.0
12,5,22.712,6.42,17.325,33.436,1.612,0.456,0.0
13,5,19.164,7.634,9.018,28.411,1.36,0.542,0.0
14,5,18.292,3.233,15.166,23.512,1.299,0.23,0.0
15,5,19.575,9.806,6.737,31.045,1.39,0.696,0.0
16,5,-0.967,1.792,-3.691,1.216,-0.069,0.127,80.0
17,5,22.114,8.96,6.849,29.327,1.57,0.636,0.0
18,5,21.31,5.037,12.972,25.262,1.513,0.358,0.0
19,5,32.978,1.765,30.512,34.846,2.341,0.125,0.0
20,5,28.954,7.0,19.145,36.724,2.055,0.497,0.0
21,5,7.266,10.977,-10.903,16.591,0.516,0.779,20.0
22,5,-24.416,6.264,-30.411,-16.006,-1.733,0.445,100.0
23,5,-44.744,12.105,-57.787,-32.194,-3.176,0.859,100.0
24,5,-39.341,8.655,-50.993,-28.914,-2.793,0.614,100.0
25,5,-42.823,5.379,-48.151,-35.614,-3.04,0.382,100.0
26,5,-12.782,12.621,-26.425,0.0,-0.907,0.896,60.0
27,5,1.974,6.644,-4.465,12.9,0.14,0.472,60.0
28,5,33.251,10.825,22.147,45.727,2.361,0.768,0.0
29,5,37.63,7.502,28.01,46.118,2.671,0.533,0.0
30,5,21.435,5.259,15.976,28.823,1.522,0.373,0.0
31,5,25.337,6.507,15.481,29.93,1.799,0.462,0.0
32,5,37.19,6.431,27.565,43.163,2.64,0.457,0.0
33,5,30.413,8.247,18.082,41.31,2.159,0.586,0.0
34,5,13.318,6.629,5.652,20.256,0.945,0.471,0.0
35,5,8.16,5.025,-0.653,11.716,0.579,0.357,20.0
36,5,7.752,4.791,2.764,14.804,0.55,0.34,0.0
37,5,2.159,3.354,0.0,8.007,0.153,0.238,0.0
38,5,6.786,3.88,1.116,10.681,0.482,0.275,0.0
39,5,-0.776,2.709,-3.136,3.605,-0.055,0.192,60.0
40,5,-10.006,5.555,-18.795,-4.902,-0.71,0.394,100.0
41,5,1.732,10.217,-14.151,9.638,0.123,0.725,40.0
42,5,5.069,3.422,-0.589,7.404,0.36,0.243,20.0
43,5,-7.594,6.555,-15.483,0.546,-0.539,0.465,80.0
44,5,-1.61,5.002,-7.903,4.956,-0.114,0.355,40.0
45,5,-3.009,4.818,-11.437,0.474,-0.214,0.342,80.0
46,5,-13.226,1.447,-15.724,-12.095,-0.939,0.103,100.0
47,5,-17.317,2.053,-19.682,-14.34,-1.229,0.146,100.0
48,5,1.244,7.302,-8.88,8.367,0.088,0.518,40.0
49,5,4.213,4.73,0.222,11.279,0.299,0.336,0.0
50,5,2.478,5.355,-4.207,8.279,0.176,0.38,40.0
51,5,3.229,2.838,0.078,5.771,0.229,0.201,0.0
52,5,-13.293,4.094,-17.376,-6.394,-0.944,0.291,100.0
53,5,-16.81,1.306,-18.219,-14.983,-1.193,0.093,100.0
54,5,-21.004,4.355,-27.639,-16.22,-1.491,0.309,100.0
55,5,-22.596,10.068,-35.159,-10.215,-1.604,0.715,100.0
56,5,-3.384,6.86,-10.475,6.13,-0.24,0.487,80.0
57,5,7.735,7.251,0.595,18.487,0.549,0.515,0.0
58,5,0.729,1.629,0.0,3.643,0.052,0.116,0.0
59,5,4.421,3.945,0.0,8.609,0.314,0.28,0.0
60,5,-3.571,2.938,-7.035,0.0,-0.254,0.209,80.0
61,5,-15.65,6.721,-21.11,-3.961,-1.111,0.477,100.0
62,5,-21.765,2.534,-24.172,-17.897,-1.545,0.18,100.0
63,5,-16.37,4.505,-22.074,-10.819,-1.162,0.32,100.0
64,5,-5.223,5.048,-9.961,2.535,-0.371,0.358,80.0
65,5,6.68,3.897,2.429,12.372,0.474,0.277,0.0
66,5,21.382,12.748,0.0,30.873,1.518,0.905,0.0
67,5,30.379,6.121,23.789,37.077,2.157,0.435,0.0
68,5,24.403,8.698,16.292,37.191,1.732,0.617,0.0
69,5,13.63,3.626,10.114,18.913,0.968,0.257,0.0
70,5,16.41,4.478,8.803,20.197,1.165,0.318,0.0
71,5,6.378,2.351,2.56,8.865,0.453,0.167,0.0
72,5,20.983,5.666,13.836,28.817,1.49,0.402,0.0
73,5,29.56,6.645,20.483,38.715,2.098,0.472,0.0
74,5,10.116,13.613,-0.199,32.2,0.718,0.966,20.0
75,5,-16.704,10.707,-28.917,-2.929,-1.186,0.76,100.0
