domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,GIS 1 mean,GIS 1 mean,forward,1996_2024,2.8433,0.3644,4644,1996_2010,3.23,0.6463,0.3867,False,False,True,True,True,True,True,2007,2024,29,2011,2024,29,2007,2024,29,2005,2024,29,2007,2024,29,2005,2024,29,2004,2024,29
2,GIS 2 mean,GIS 2 mean,forward,1996_2024,2.5271,0.2091,5698,1996_2010,2.7875,0.6985,0.2604,False,False,True,True,True,True,True,2007,2024,29,2007,2024,29,2007,2023,28,2007,2023,28,2007,2023,28,2004,2021,26,2003,2024,29
3,GIS 3 mean,GIS 3 mean,forward,1996_2024,2.4637,0.1503,5132,1996_2010,2.0697,0.5751,-0.394,False,False,True,True,True,True,True,2003,2024,29,2003,2023,28,2003,2021,26,2003,2021,26,2003,2021,26,2002,2006,11,2002,2022,27
4,GIS 4 mean,GIS 4 mean,forward,1996_2024,1.9194,0.164,6771,1996_2010,1.8395,0.6037,-0.0799,True,True,True,True,True,True,True,2010,2023,28,2010,2023,28,2008,2022,27,2008,2021,26,2008,2021,26,2005,2005,10,2000,2022,27
5,GIS 5 mean,GIS 5 mean,forward,1996_2024,0.8206,0.1853,6742,1996_2010,0.0996,0.6312,-0.721,False,False,False,False,False,True,True,2008,2022,27,2008,2022,27,2008,2022,27,2003,2021,26,2003,2021,26,2003,2018,23,2002,2021,26
6,GIS 6 mean,GIS 6 mean,forward,1996_2024,-1.3881,0.1486,2993,1996_2010,-1.3455,0.462,0.0426,True,True,True,True,True,True,True,2006,2022,27,2005,2021,26,2005,2005,10,2005,2005,10,2005,2005,10,2004,2004,9,2000,2003,8
7,GIS 7 mean,GIS 7 mean,forward,1996_2024,-1.3138,0.1629,2085,1996_2010,-2.0537,0.3972,-0.7399,False,False,False,False,False,True,False,2022,2022,27,2004,2022,27,2004,2022,27,2001,2022,27,2001,2021,26,2001,2007,12,2000,2022,27
8,GIS 8 mean,GIS 8 mean,forward,1996_2024,-0.3236,0.2101,4221,1996_2010,-1.0957,0.3594,-0.7721,False,False,False,False,False,True,False,2002,2022,27,2002,2022,27,2003,2024,29,2002,2022,27,2002,2022,27,2002,2018,23,2001,2022,27
9,GIS 9 mean,GIS 9 mean,forward,1996_2024,0.1371,0.1876,4639,1996_2010,-1.2736,0.3758,-1.4107,False,False,False,False,False,False,False,2022,2022,27,2022,2022,27,2024,2024,29,2022,2022,27,2022,2022,27,2021,2021,26,2022,2022,27
10,GIS 10 mean,GIS 10 mean,forward,1996_2024,0.7143,0.1879,5147,1996_2010,-1.3624,0.4092,-2.0767,False,False,False,False,False,False,False,2022,2022,27,2022,2022,27,2023,2023,28,2022,2022,27,2022,2022,27,2021,2021,26,2022,2022,27
11,GIS 11 mean,GIS 11 mean,forward,1996_2024,0.7915,0.191,4841,1996_2010,-1.9503,0.4065,-2.7418,False,False,False,False,False,False,False,2023,2023,28,2023,2023,28,2023,2023,28,2022,2022,27,2022,2022,27,2021,2021,26,2022,2022,27
12,GIS 12 mean,GIS 12 mean,forward,1996_2024,0.617,0.1871,4976,1996_2010,-2.3871,0.4193,-3.0041,False,False,False,False,False,False,False,2023,2023,28,2023,2023,28,2023,2023,28,2022,2022,27,2022,2022,27,2021,2021,26,2022,2022,27
13,GIS 13 mean,GIS 13 mean,forward,1996_2024,0.564,0.1733,5413,1996_2010,-1.9851,0.4389,-2.5491,False,False,False,False,False,False,False,2024,2024,29,2023,2023,28,2024,2024,29,2022,2022,27,2022,2022,27,2021,2021,26,2023,2023,28
14,GIS 14 mean,GIS 14 mean,forward,1996_2024,1.0569,0.1852,5028,1996_2010,-1.0931,0.489,-2.15,False,False,False,False,False,False,False,2024,2024,29,2024,2024,29,2024,2024,29,2023,2023,28,2023,2023,28,2021,2021,26,2023,2023,28
15,GIS 15 mean,GIS 15 mean,forward,1996_2024,1.2523,0.1715,5089,1996_2010,0.0883,0.4681,-1.164,False,False,False,False,False,False,False,2024,2024,29,2024,2024,29,2024,2024,29,2023,2023,28,2023,2023,28,2020,2020,25,2024,2024,29
16,GIS 16 mean,GIS 16 mean,forward,1996_2024,1.0334,0.1644,5217,1996_2010,1.2594,0.425,0.226,False,True,False,True,True,True,True,2011,2024,29,2008,2024,29,2011,2024,29,2005,2023,28,2005,2023,28,2004,2021,26,2000,2024,29
17,GIS 17 mean,GIS 17 mean,forward,1996_2024,1.3076,0.1663,5114,1996_2010,1.2786,0.5178,-0.029,True,True,True,True,True,True,True,2003,2024,29,2003,2024,29,2003,2023,28,2003,2022,27,2003,2022,27,2002,2021,26,2002,2023,28
18,GIS 18 mean,GIS 18 mean,forward,1996_2024,1.6778,0.1539,5156,1996_2010,1.7032,0.4255,0.0254,True,True,True,True,True,True,True,2007,2024,29,2007,2023,28,2000,2023,28,2000,2022,27,2000,2022,27,2000,2006,11,2000,2023,28
19,GIS 19 mean,GIS 19 mean,forward,1996_2024,1.8334,0.1415,5119,1996_2010,1.602,0.3968,-0.2314,False,True,True,True,True,True,True,2002,2023,28,2002,2023,28,2001,2022,27,2001,2022,27,2001,2021,26,2001,2001,6,2001,2022,27
20,GIS 20 mean,GIS 20 mean,forward,1996_2024,1.1972,0.1498,5152,1996_2010,-0.2128,0.463,-1.41,False,False,False,False,False,False,False,2001,2023,28,2001,2023,28,2001,2023,28,2000,2021,26,2000,2021,26,2000,2017,22,2000,2022,27
21,GIS 21 mean,GIS 21 mean,forward,1996_2024,-0.043,0.1482,6096,1996_2010,-0.8119,0.4663,-0.7689,False,False,False,False,False,True,False,2004,2022,27,2004,2022,27,2024,2024,29,2004,2021,26,2004,2021,26,2004,2015,20,2004,2022,27
22,GIS 22 mean,GIS 22 mean,forward,1996_2024,-0.8427,0.1426,5563,1996_2010,-0.56,0.4118,0.2827,False,False,False,True,True,True,True,2000,2022,27,2000,2022,27,2000,2022,27,2000,2021,26,2000,2021,26,2000,2005,10,2000,2022,27
23,GIS 23 mean,GIS 23 mean,forward,1996_2024,-1.8632,0.165,5752,1996_2010,-1.6697,0.3954,0.1935,False,True,True,True,True,True,True,2013,2023,28,2010,2023,28,2010,2022,27,2007,2022,27,2007,2022,27,2001,2021,26,2001,2022,27
24,GIS 24 mean,GIS 24 mean,forward,1996_2024,-2.2727,0.1928,5760,1996_2010,-2.7488,0.4801,-0.4761,False,False,False,True,True,True,True,2024,2024,29,2023,2023,28,2009,2023,28,2009,2023,28,2009,2023,28,2007,2022,27,2008,2023,28
25,GIS 25 mean,GIS 25 mean,forward,1996_2024,-2.4769,0.1884,5847,1996_2010,-3.1889,0.4773,-0.712,False,False,False,False,False,True,False,2023,2023,28,2023,2023,28,2009,2023,28,2009,2022,27,2009,2023,28,2006,2022,27,2008,2023,28
26,GIS 26 mean,GIS 26 mean,forward,1996_2024,-1.5468,0.176,5715,1996_2010,-1.9313,0.509,-0.3845,False,False,False,True,True,True,True,2009,2023,28,2005,2023,28,2005,2023,28,2005,2022,27,2005,2022,27,2005,2021,26,2001,2023,28
27,GIS 27 mean,GIS 27 mean,forward,1996_2024,0.0068,0.1592,5875,1996_2010,2.1131,0.4443,2.1063,False,False,False,False,False,False,False,2017,2022,27,2017,2017,22,2024,2024,29,2016,2016,21,2016,2016,21,2015,2015,20,2001,2016,21
28,GIS 28 mean,GIS 28 mean,forward,1996_2024,1.9023,0.1667,5758,1996_2010,3.092,0.4432,1.1897,False,False,False,False,False,False,False,2014,2022,27,2014,2022,27,2014,2021,26,2014,2014,19,2014,2014,19,2008,2012,17,2013,2022,27
29,GIS 29 mean,GIS 29 mean,forward,1996_2024,2.9211,0.1693,5935,1996_2010,3.1581,0.4766,0.237,False,True,True,True,True,True,True,2011,2022,27,2010,2022,27,2010,2021,26,2010,2021,26,2010,2022,27,2008,2017,22,2000,2022,27
30,GIS 30 mean,GIS 30 mean,forward,1996_2024,3.1731,0.1504,5751,1996_2010,1.576,0.4556,-1.5971,False,False,False,False,False,False,False,2004,2022,27,2004,2021,26,2000,2018,23,2003,2021,26,2003,2021,26,2000,2016,21,2000,2021,26
