year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
2004,12,Buxton-Avon,30.0,30.0,30.0,no,0.0,50,20.0,40.0,20.0,40.0,35.0,20.0,1.24,1.198,0.207,1.6,118,0.0,10.37,9,0,"[3,8]",,89.0,59.0
2004,13,Buxton-Avon,50.0,50.0,50.0,no,0.0,50,30.0,50.0,30.0,60.0,55.0,20.0,1.198,1.122,0.189,1.558,121,0.0,12.03,10,0,"[4,10]",,87.0,37.0
2004,14,Buxton-Avon,65.0,65.0,65.0,no,0.0,50,50.0,80.0,50.0,80.0,72.5,20.0,1.166,1.14,0.184,1.526,121,0.0,12.76,11,0,"[2,9]",,93.0,28.0
2004,15,Buxton-Avon,50.0,50.0,50.0,no,0.0,50,39.0,60.0,30.0,70.0,55.0,20.0,1.521,1.52,0.242,1.881,122,0.0,11.82,10,0,"[6,13]",,71.0,21.0
2004,16,Buxton-Avon,60.0,60.0,60.0,no,0.0,50,40.0,80.0,30.0,90.0,65.0,20.0,0.889,0.955,0.232,1.249,118,0.0,11.36,10,0,"[6,13]",,63.0,3.0
2004,17,Buxton-Avon,90.0,90.0,90.0,no,0.0,50,80.0,100.0,70.0,100.0,95.0,20.0,0.774,0.781,0.153,1.134,118,0.0,10.71,9,0,"[7,12]",,128.0,38.0
2004,18,Buxton-Avon,120.0,120.0,120.0,no,0.0,50,110.0,130.0,100.0,130.0,125.0,20.0,0.82,0.793,0.153,1.18,116,0.0,8.66,7,0,"[6,12]",,148.0,28.0
2004,19,Buxton-Avon,130.0,130.0,130.0,no,0.0,50,110.0,140.0,90.0,140.0,135.0,20.0,0.82,0.791,0.177,1.18,122,0.0,7.6,7,0,"[9,14]",,139.0,9.0
2004,20,Buxton-Avon,80.0,80.0,80.0,no,0.0,50,79.0,90.0,70.0,100.0,87.5,20.0,0.955,0.887,0.214,1.315,120,0.0,10.98,10,0,"[5,13]",,100.0,20.0
2004,21,Avon,125.0,125.0,125.0,no,0.0,50,100.0,150.0,90.0,160.0,132.5,20.0,0.788,0.784,0.173,1.148,116,0.0,14.19,12,0,"[2,10]",SCATTER_SETBACK(50m),168.0,43.0
2004,22,Avon,190.0,190.0,190.0,no,0.0,50,170.0,210.0,170.0,220.0,195.0,20.0,0.58,0.572,0.148,0.94,115,0.0,10.68,9,0,"[1,9]",,230.0,40.0
2004,23,Avon,190.0,190.0,190.0,no,0.0,50,180.0,220.0,180.0,220.0,195.0,20.0,0.651,0.633,0.128,1.011,123,0.0,9.82,8,0,"[2,10]",,236.0,46.0
2004,24,Avon,170.0,170.0,170.0,no,0.0,50,160.0,180.0,160.0,180.0,180.0,20.0,0.618,0.596,0.122,0.978,124,0.0,11.99,10,0,"[2,10]",,224.0,54.0
2004,25,Avon,160.0,160.0,160.0,no,0.0,50,150.0,161.0,150.0,180.0,165.0,20.0,0.64,0.614,0.13,1.0,121,0.0,9.82,8,0,"[2,10]",,221.0,61.0
2004,26,Avon,205.0,205.0,205.0,no,0.0,50,170.0,220.0,170.0,230.0,212.5,20.0,0.563,0.543,0.119,0.923,114,0.0,13.04,11,0,"[2,10]",SCATTER_SETBACK(50m),269.0,64.0
2004,27,Avon,260.0,260.0,260.0,no,0.0,50,210.0,280.0,200.0,290.0,270.0,20.0,0.654,0.622,0.12,1.014,114,0.0,14.92,13,0,"[7,14]",SCATTER_SETBACK(70m),310.0,50.0
2004,28,Avon,270.0,270.0,270.0,no,0.0,50,260.0,280.0,260.0,290.0,280.0,25.0,0.51,0.507,0.135,0.87,125,0.0,13.56,12,0,"[8,14]",,320.0,50.0
2004,29,Avon,260.0,260.0,260.0,no,0.0,50,260.0,270.0,250.0,270.0,270.0,20.0,0.361,0.378,0.144,0.721,124,0.0,11.53,10,0,"[9,15]",,341.0,81.0
2004,30,Avon,270.0,270.0,270.0,no,0.0,50,270.0,280.0,260.0,290.0,280.0,20.0,0.368,0.359,0.121,0.728,122,0.0,13.89,12,0,"[10,14]",,332.0,62.0
2004,31,Avon,230.0,230.0,230.0,no,0.0,50,220.0,250.0,220.0,270.0,240.0,30.0,0.41,0.385,0.16,0.77,126,0.0,16.76,15,0,"[11,20]",,312.0,82.0
2004,32,Avon-Tri-Village / Wimble Shoals,210.0,210.0,210.0,no,0.0,50,200.0,230.0,190.0,240.0,220.0,20.0,0.396,0.357,0.124,0.756,124,0.0,14.15,12,0,"[12,19]",,306.0,96.0
2004,33,Avon-Tri-Village / Wimble Shoals,250.0,250.0,250.0,no,0.0,50,230.0,290.0,220.0,320.0,260.0,20.0,0.383,0.378,0.124,0.743,119,0.0,13.72,12,0,"[10,21]",SCATTER_SETBACK(60m),367.0,117.0
2004,34,Avon-Tri-Village / Wimble Shoals,320.0,320.0,320.0,no,0.0,50,310.0,331.0,300.0,350.0,325.0,20.0,0.333,0.308,0.125,0.693,121,0.0,14.63,13,0,"[12,19]",,395.0,75.0
