domain_id,Road_Setback_m
18,663.0
19,225.0
20,124.0
21,84.0
22,108.0
23,139.0
24,158.0
25,186.0
26,176.0
27,220.0
28,210.0
29,148.0
30,110.0
31,106.0
32,76.0
33,45.0
34,60.0
35,86.0
36,97.0
37,141.0
38,185.0
39,140.0
40,141.0
41,173.0
42,202.0
43,176.0
44,181.0
45,162.0
46,117.0
47,113.0
48,133.0
49,107.0
50,88.0
51,85.0
52,45.0
53,93.0
54,185.0
55,261.0
56,420.0
57,619.0
58,604.0
59,599.0
60,579.0
61,560.0
62,583.0
63,660.0
64,640.0
65,546.0
66,473.0
67,436.0
68,561.0
69,587.0
70,438.0
71,337.0
72,343.0
73,345.0
74,338.0
75,356.0
76,345.0
77,344.0
78,284.0
79,274.0
80,234.0
81,194.0
82,203.0
83,203.0
84,194.0
85,216.0
86,211.0
87,205.0
88,200.0
89,192.0
90,186.0
91,199.0
92,190.0
93,181.0
94,165.0
95,188.0
96,208.0
97,236.0
98,248.0
99,301.0
100,343.0
101,335.0
102,348.0
103,307.0
104,270.0
105,221.0
106,218.0
107,230.0
108,233.0
109,233.0
110,260.0
111,228.0
112,227.0
113,216.0
114,244.0
115,224.0
116,167.0
117,98.0
118,131.0
119,156.0
120,132.0
121,127.0
122,101.0
123,96.0
124,70.0
125,56.0
126,49.0
127,42.0
128,43.0
129,73.0
