scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses,topo_product,topo_version
2004 initial,initial,75,540.0,FITS,False,0.0,0.0,0.0,0.0,0.0,54,56,57,103,68,73,76,82,700.0,TRUE_END,18.0,0,1,,,,,2004-start,v1
2004 initial,initial,76,505.0,FITS,False,0.0,0.0,2.0,0.0,0.0,50,52,53,140,52,62,65,74,600.0,TRUE_END,4.0,0,1,,,,,2004-start,v1
2004 initial,initial,77,500.0,FITS,False,3.0,0.0,6.0,4.0,18.0,50,52,53,143,35,52,61,79,560.0,MIXED,50.0,0,1,,,,,2004-start,v1
2004 initial,initial,78,490.0,FITS,False,1.0,0.0,2.0,0.0,10.0,49,51,52,130,35,52,61,67,570.0,MIXED,46.0,0,1,,,,,2004-start,v1
2004 initial,initial,79,500.0,FITS,False,0.0,0.0,0.0,0.0,8.0,50,52,53,101,18,61,63,66,590.0,TRUE_END,20.0,0,1,,,,,2004-start,v1
2004 initial,initial,80,490.0,FITS,False,0.0,0.0,0.0,0.0,0.0,49,51,52,90,62,63,64,72,600.0,TRUE_END,2.0,0,1,,,,,2004-start,v1
2004 initial,initial,81,365.0,FITS,False,0.0,0.0,0.0,0.0,0.0,36,38,39,100,61,63,64,84,600.0,HOLED,56.0,2,2,,,,,2004-start,v1
2004 initial,initial,82,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,104,39,44,48,61,420.0,TRUE_END,16.0,0,1,,,,,2004-start,v1
2004 initial,initial,83,70.0,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,106,41,47,48,51,440.0,TRUE_END,6.0,0,1,,,,,2004-start,v1
2004 initial,initial,84,30.0,FITS,False,0.0,0.0,2.0,0.0,0.0,3,5,6,147,5,18,21,48,340.0,HOLED,96.0,15,4,,,,,2004-start,v1
2004 initial,initial,85,70.0,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,176,20,23,33,50,300.0,HOLED,80.0,4,1,,,,,2004-start,v1
2004 initial,initial,86,50.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,185,12,13,22,40,190.0,HOLED,58.0,1,2,,,,,2004-start,v1
2004 initial,initial,87,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,181,12,13,19,24,140.0,HOLED,78.0,3,3,,,,,2004-start,v1
2004 initial,initial,88,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,174,20,28,32,49,250.0,HOLED,66.0,1,2,,,,,2004-start,v1
2004 initial,initial,89,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,177,47,55,58,69,540.0,MIXED,40.0,0,1,,,,,2004-start,v1
2004 initial,initial,90,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,181,26,37,49,81,350.0,HOLED,90.0,23,2,,,,,2004-start,v1
1989 relocation (GIS 84-87) - zero-retreat bound,relocation,84,69.9,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,149,19,22,25,52,190.0,HOLED,96.0,15,4,1.29,False,272.6,False,1984-start,v2
1989 relocation (GIS 84-87) - zero-retreat bound,relocation,85,108.7,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,178,23,27,37,53,360.0,HOLED,80.0,4,1,1.06,False,361.4,False,1984-start,v2
1989 relocation (GIS 84-87) - zero-retreat bound,relocation,86,93.7,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,189,16,17,28,44,140.0,HOLED,58.0,1,2,1.08,False,286.2,False,1984-start,v2
1989 relocation (GIS 84-87) - zero-retreat bound,relocation,87,77.5,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,185,15,17,22,26,180.0,HOLED,78.0,3,3,1.21,False,204.6,False,1984-start,v2
1999 relocation (GIS 9-14) - zero-retreat bound,relocation,9,58.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,163,11,14,18,73,1540.0,HOLED,100.0,98,2,1.5,False,204.6,False,1984-start,v2
1999 relocation (GIS 9-14) - zero-retreat bound,relocation,10,76.9,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,155,14,16,18,23,140.0,HOLED,100.0,7,3,1.4,False,180.2,False,1984-start,v2
1999 relocation (GIS 9-14) - zero-retreat bound,relocation,11,107.1,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,165,15,16,18,24,130.0,HOLED,72.0,4,26,1.22,False,178.4,False,1984-start,v2
1999 relocation (GIS 9-14) - zero-retreat bound,relocation,12,108.4,FITS,False,0.0,0.0,0.0,0.0,0.0,10,12,13,172,15,16,19,23,140.0,TRUE_END,14.0,0,1,1.39,False,185.6,False,1984-start,v2
1999 relocation (GIS 9-14) - zero-retreat bound,relocation,13,90.9,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,170,15,17,18,20,140.0,TRUE_END,4.0,0,1,1.41,False,182.0,False,1984-start,v2
1999 relocation (GIS 9-14) - zero-retreat bound,relocation,14,84.7,FITS,False,0.0,0.0,0.0,0.0,0.0,8,10,11,35,13,13,16,25,100.0,TRUE_END,14.0,0,1,1.56,False,169.0,False,1984-start,v2
