year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,9,Buxton-Avon,40.0,10.0,47.0,30.0,-37.0,-7.0,1570.0,0.0044585987261146496,1.905,1.332,SCATTER_ELEV(1.59)
1984,10,Buxton-Avon,-10.0,-40.0,39.0,30.0,-79.0,-49.0,1295.0,0.03783783783783784,3.685,1.384,"NEGATIVE(-10->floored 0),SCATTER_ELEV(0.90)"
1984,11,Buxton-Avon,-60.0,-70.0,52.0,10.0,-122.0,-112.0,1235.0,0.09068825910931175,1.753,1.565,"NEGATIVE(-60->floored 0),SCATTER_ELEV(0.82)"
1984,12,Buxton-Avon,-40.0,-60.0,54.0,20.0,-114.0,-94.0,1205.0,0.07800829875518672,2.148,1.374,NEGATIVE(-40->floored 0)
1984,13,Buxton-Avon,0.0,-20.0,77.0,20.0,-97.0,-77.0,1160.0,0.06637931034482758,2.325,1.299,SCATTER_ELEV(0.67)
1984,14,Buxton-Avon,40.0,20.0,89.0,20.0,-69.0,-49.0,215.0,0.22790697674418606,1.616,1.319,
1984,15,Buxton-Avon,50.0,50.0,65.0,0.0,-15.0,-15.0,190.0,0.07894736842105263,1.565,1.577,
1984,16,Buxton-Avon,60.0,60.0,46.0,0.0,14.0,14.0,530.0,0.026415094339622643,0.883,1.011,
1984,17,Buxton-Avon,90.0,90.0,141.0,0.0,-51.0,-51.0,630.0,0.08095238095238096,0.756,0.879,
1984,18,Buxton-Avon,120.0,120.0,156.0,0.0,-36.0,-36.0,755.0,0.04768211920529802,0.82,0.903,
1984,19,Buxton-Avon,130.0,130.0,138.0,0.0,-8.0,-8.0,825.0,0.009696969696969697,0.818,0.94,
1984,20,Buxton-Avon,80.0,70.0,96.0,10.0,-26.0,-16.0,915.0,0.017486338797814208,0.965,0.98,
1984,21,Avon,120.0,120.0,163.0,0.0,-43.0,-43.0,1050.0,0.040952380952380955,0.813,0.893,SCATTER_SETBACK(50m)
1984,22,Avon,190.0,180.0,225.0,10.0,-45.0,-35.0,1190.0,0.029411764705882353,0.582,0.664,
1984,23,Avon,190.0,180.0,244.0,10.0,-64.0,-54.0,1190.0,0.0453781512605042,0.651,0.741,
1984,24,Avon,170.0,170.0,225.0,0.0,-55.0,-55.0,1200.0,0.04583333333333333,0.615,0.681,
1984,25,Avon,160.0,160.0,234.0,0.0,-74.0,-74.0,1270.0,0.05826771653543307,0.64,0.687,
1984,26,Avon,205.0,190.0,271.0,15.0,-81.0,-66.0,1345.0,0.04907063197026022,0.563,0.61,SCATTER_SETBACK(50m)
1984,27,Avon,260.0,230.0,298.0,30.0,-68.0,-38.0,1540.0,0.024675324675324677,0.652,0.697,SCATTER_SETBACK(70m)
1984,28,Avon,270.0,270.0,284.0,0.0,-14.0,-14.0,1600.0,0.00875,0.51,0.551,
1984,29,Avon,260.0,260.0,281.0,0.0,-21.0,-21.0,1380.0,0.015217391304347827,0.361,0.399,
1984,30,Avon,270.0,250.0,259.0,20.0,-9.0,11.0,1290.0,0.008527131782945736,0.368,0.424,
1984,31,Avon,230.0,230.0,239.0,0.0,-9.0,-9.0,1135.0,0.007929515418502203,0.41,0.464,
1984,32,Avon-Tri-Village / Wimble Shoals,210.0,210.0,251.0,0.0,-41.0,-41.0,1260.0,0.03253968253968254,0.396,0.447,
1984,33,Avon-Tri-Village / Wimble Shoals,250.0,205.0,307.0,45.0,-102.0,-57.0,1365.0,0.041758241758241756,0.383,0.425,SCATTER_SETBACK(60m)
1984,34,Avon-Tri-Village / Wimble Shoals,320.0,340.0,339.0,-20.0,1.0,-19.0,1155.0,0.01645021645021645,0.333,0.41,
1984,35,Avon-Tri-Village / Wimble Shoals,320.0,340.0,354.0,-20.0,-14.0,-34.0,1175.0,0.02893617021276596,0.331,0.403,
1984,36,Avon-Tri-Village / Wimble Shoals,330.0,340.0,344.0,-10.0,-4.0,-14.0,1090.0,0.012844036697247707,0.339,0.407,
1984,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,342.0,0.0,-22.0,-22.0,1250.0,0.0176,0.481,0.504,
1984,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,290.0,0.0,-10.0,-10.0,1555.0,0.006430868167202572,0.589,0.625,
1984,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,242.0,0.0,-12.0,-12.0,1600.0,0.0075,0.716,0.776,
1984,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,234.0,0.0,-24.0,-24.0,1665.0,0.014414414414414415,0.849,0.904,
1984,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,217.0,0.0,-27.0,-27.0,1720.0,0.015697674418604653,0.785,0.818,
1984,42,Avon-Tri-Village / Wimble Shoals,180.0,180.0,189.0,0.0,-9.0,-9.0,1750.0,0.005142857142857143,0.708,0.686,
1984,43,Avon-Tri-Village / Wimble Shoals,170.0,175.0,186.0,-5.0,-11.0,-16.0,1775.0,0.009014084507042254,0.55,0.569,
1984,44,Avon-Tri-Village / Wimble Shoals,160.0,170.0,191.0,-10.0,-21.0,-31.0,1670.0,0.018562874251497007,0.538,0.583,
1984,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,192.0,0.0,-42.0,-42.0,1315.0,0.03193916349809886,0.706,0.764,
1984,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,184.0,0.0,-44.0,-44.0,1305.0,0.03371647509578544,0.864,0.905,
1984,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,184.0,0.0,-44.0,-44.0,1105.0,0.039819004524886875,0.85,0.873,
1984,48,Avon-Tri-Village / Wimble Shoals,120.0,130.0,191.0,-10.0,-61.0,-71.0,1120.0,0.06339285714285714,0.885,0.937,SCATTER_SETBACK(51m)
1984,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,188.0,0.0,-58.0,-58.0,900.0,0.06444444444444444,0.877,0.942,
1984,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,197.0,0.0,-87.0,-87.0,470.0,0.1851063829787234,0.806,0.835,
1984,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,212.0,0.0,-92.0,-92.0,450.0,0.20444444444444446,0.802,0.817,
1984,52,Avon-Tri-Village / Wimble Shoals,95.0,90.0,200.0,5.0,-110.0,-105.0,470.0,0.22340425531914893,0.557,0.575,
1984,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,194.0,0.0,-54.0,-54.0,430.0,0.12558139534883722,0.622,0.588,
1984,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,204.0,0.0,-54.0,-54.0,950.0,0.056842105263157895,0.789,0.813,
1984,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,203.0,0.0,-43.0,-43.0,615.0,0.06991869918699187,0.773,0.801,
1984,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,194.0,0.0,-14.0,-14.0,670.0,0.020895522388059702,0.569,0.649,
1984,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,240.0,0.0,-40.0,-40.0,520.0,0.07692307692307693,0.551,0.58,
1984,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,282.0,0.0,-42.0,-42.0,650.0,0.06461538461538462,0.54,0.577,
1984,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,295.0,0.0,-25.0,-25.0,670.0,0.03731343283582089,0.532,0.555,
1984,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,349.0,0.0,-39.0,-39.0,950.0,0.04105263157894737,0.435,0.448,
1984,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,352.0,0.0,-22.0,-22.0,1110.0,0.01981981981981982,0.6,0.578,
1984,62,Avon-Tri-Village / Wimble Shoals,330.0,325.0,347.0,5.0,-22.0,-17.0,1330.0,0.012781954887218045,0.544,0.549,
1984,63,Avon-Tri-Village / Wimble Shoals,330.0,330.0,344.0,0.0,-14.0,-14.0,1280.0,0.0109375,0.597,0.626,SCATTER_SETBACK(50m)
1984,64,Avon-Tri-Village / Wimble Shoals,370.0,300.0,345.0,70.0,-45.0,25.0,1340.0,0.018656716417910446,0.653,0.691,
1984,65,Avon-Tri-Village / Wimble Shoals,370.0,370.0,361.0,0.0,9.0,9.0,1370.0,0.006569343065693431,0.582,0.639,
1984,66,Avon-Tri-Village / Wimble Shoals,380.0,335.0,364.0,45.0,-29.0,16.0,1240.0,0.012903225806451613,0.47,0.537,
1984,67,Avon-Tri-Village / Wimble Shoals,420.0,360.0,454.0,60.0,-94.0,-34.0,1210.0,0.02809917355371901,0.519,0.545,SCATTER_SETBACK(70m)
1984,68,Tri-Village,555.0,545.0,607.0,10.0,-62.0,-52.0,980.0,0.053061224489795916,0.586,0.643,SCATTER_SETBACK(101m)
1984,69,Tri-Village,560.0,560.0,569.0,0.0,-9.0,-9.0,1000.0,0.009,0.854,0.856,
1984,70,Tri-Village,480.0,480.0,448.0,0.0,32.0,32.0,1330.0,0.02406015037593985,0.549,0.564,SCATTER_SETBACK(91m)
1984,71,Tri-Village,410.0,400.0,483.0,10.0,-83.0,-73.0,1200.0,0.060833333333333336,0.258,0.303,SCATTER_SETBACK(51m)
1984,72,Tri-Village,490.0,500.0,582.0,-10.0,-82.0,-92.0,980.0,0.09387755102040816,0.377,0.468,SCATTER_SETBACK(50m)
1984,73,Tri-Village,550.0,550.0,643.0,0.0,-93.0,-93.0,1210.0,0.0768595041322314,0.514,0.589,SCATTER_SETBACK(41m)
1984,74,Tri-Village,600.0,595.0,616.0,5.0,-21.0,-16.0,895.0,0.017877094972067038,0.476,0.484,
1984,75,Tri-Village,540.0,540.0,540.0,0.0,0.0,0.0,990.0,0.0,0.625,0.669,SCATTER_SETBACK(60m)
1984,76,Tri-Village,505.0,505.0,533.0,0.0,-28.0,-28.0,1000.0,0.028,0.542,0.634,
1984,77,Tri-Village,500.0,500.0,575.0,0.0,-75.0,-75.0,1420.0,0.0528169014084507,0.393,0.48,
1984,78,Tri-Village,490.0,510.0,588.0,-20.0,-78.0,-98.0,1010.0,0.09702970297029703,0.497,0.555,
1984,79,Tri-Village,500.0,515.0,580.0,-15.0,-65.0,-80.0,985.0,0.08121827411167512,0.667,0.67,
1984,80,Tri-Village,490.0,490.0,617.0,0.0,-127.0,-127.0,830.0,0.1530120481927711,0.59,0.623,SCATTER_SETBACK(71m)
1984,81,Tri-Village,365.0,350.0,409.0,15.0,-59.0,-44.0,910.0,0.04835164835164835,0.652,0.721,SCATTER_SETBACK(151m)
1984,82,Tri-Village,120.0,115.0,241.0,5.0,-126.0,-121.0,930.0,0.13010752688172042,0.747,0.782,SCATTER_SETBACK(111m)
1984,83,Tri-Village,70.0,60.0,176.0,10.0,-116.0,-106.0,1050.0,0.10095238095238095,0.594,0.629,SCATTER_SETBACK(80m)
1984,84,Pea Island / N. Rodanthe,-10.0,-30.0,95.0,20.0,-125.0,-105.0,1000.0,0.105,0.85,0.88,"NEGATIVE(-10->floored 0),SCATTER_SETBACK(50m),SCATTER_ELEV(0.85)"
1984,85,Pea Island / N. Rodanthe,-30.0,-80.0,40.0,50.0,-120.0,-70.0,1565.0,0.04472843450479233,1.944,0.807,"NEGATIVE(-30->floored 0),SCATTER_SETBACK(50m),SCATTER_ELEV(0.95)"
