domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
1,9,73.64,16.968,52.759,104.138,2.864,0.66,0.0,5.0,37.0,0
2,11,54.86,5.159,48.398,63.999,2.133,0.201,0.0,5.0,38.0,0
3,10,60.525,4.49,53.971,68.163,2.354,0.175,0.0,5.0,37.5,0
4,13,74.565,2.647,71.064,81.326,2.899,0.103,0.0,5.0,36.0,0
5,13,47.169,17.073,15.85,73.188,1.834,0.664,0.0,5.0,38.0,0
6,6,-35.831,27.842,-59.017,13.652,-1.393,1.083,83.333,6.0,36.0,0
7,4,-32.513,14.017,-50.527,-18.449,-1.264,0.545,100.0,6.0,37.0,0
8,8,-1.326,7.117,-13.243,5.346,-0.052,0.277,37.5,6.0,37.0,0
9,9,0.835,1.278,-1.457,2.745,0.032,0.05,22.222,6.0,37.0,0
10,10,9.677,4.226,5.052,16.669,0.376,0.164,0.0,5.5,37.0,0
11,10,3.698,3.542,-2.203,10.056,0.144,0.138,10.0,4.0,34.5,0
12,10,7.959,2.911,2.911,10.771,0.309,0.113,0.0,6.0,35.0,0
13,11,11.293,2.906,7.637,16.407,0.439,0.113,0.0,6.0,35.0,0
14,10,24.077,7.882,13.694,35.856,0.936,0.307,0.0,5.0,35.0,0
15,10,32.214,2.814,27.378,36.489,1.253,0.109,0.0,5.0,36.0,0
16,10,39.811,1.407,38.268,42.666,1.548,0.055,0.0,5.0,39.0,0
17,10,42.128,5.569,35.738,51.197,1.638,0.217,0.0,4.0,37.0,0
18,10,50.047,2.603,46.536,54.231,1.946,0.101,0.0,4.5,36.0,0
19,10,51.254,1.824,48.289,54.325,1.993,0.071,0.0,6.0,36.0,0
20,10,33.581,9.387,21.357,48.147,1.306,0.365,0.0,6.0,36.0,0
21,11,0.612,8.441,-10.529,15.41,0.024,0.328,54.545,8.0,39.0,0
22,10,-22.713,6.708,-31.195,-10.295,-0.883,0.261,100.0,7.0,39.0,0
23,10,-42.313,5.868,-47.705,-31.351,-1.645,0.228,100.0,7.0,39.0,0
24,10,-40.543,3.406,-45.758,-34.23,-1.577,0.132,100.0,8.0,39.0,0
25,10,-40.903,1.402,-43.328,-38.755,-1.591,0.055,100.0,8.0,39.0,0
26,10,-22.495,10.509,-38.438,-9.173,-0.875,0.409,100.0,7.0,38.0,0
27,10,14.103,11.713,-3.871,37.68,0.548,0.455,10.0,6.0,38.0,0
28,10,68.098,19.095,42.28,91.811,2.648,0.743,0.0,8.0,39.0,0
29,10,91.837,1.81,88.376,94.39,3.571,0.07,0.0,7.0,39.0,0
30,10,82.504,3.352,79.943,90.08,3.208,0.13,0.0,7.0,39.0,0
31,11,69.351,7.159,56.712,78.315,2.697,0.278,0.0,8.0,39.0,0
32,10,37.606,9.626,22.069,52.24,1.462,0.374,0.0,8.0,40.0,0
33,11,24.862,3.959,18.776,31.022,0.967,0.154,0.0,8.0,39.0,0
34,10,34.455,2.905,31.227,38.78,1.34,0.113,0.0,7.0,40.0,0
35,11,11.5,9.142,1.392,29.279,0.447,0.356,0.0,7.0,40.0,0
36,10,2.777,1.205,1.263,4.807,0.108,0.047,0.0,6.5,40.0,0
37,11,-0.359,1.378,-3.04,2.163,-0.014,0.054,81.818,7.0,40.0,0
38,10,-2.391,4.231,-6.605,6.377,-0.093,0.165,70.0,7.0,40.0,0
39,10,5.203,4.874,-3.156,11.202,0.202,0.19,20.0,6.0,40.0,0
40,10,3.856,5.914,-7.436,10.953,0.15,0.23,30.0,7.0,38.0,0
41,10,6.355,3.937,-0.783,10.944,0.247,0.153,10.0,6.0,36.5,0
42,10,17.237,3.82,12.892,23.833,0.67,0.149,0.0,7.0,36.0,0
43,10,13.664,2.097,9.266,16.813,0.531,0.082,0.0,8.0,35.0,0
44,10,11.715,2.89,7.743,17.818,0.456,0.112,0.0,8.0,36.0,0
45,10,-8.358,7.142,-18.383,5.113,-0.325,0.278,90.0,8.0,36.0,0
46,10,-19.997,4.214,-27.212,-14.646,-0.778,0.164,100.0,5.0,39.0,0
47,10,-26.588,2.602,-31.691,-22.718,-1.034,0.101,100.0,4.0,41.0,0
48,10,-14.723,7.28,-25.851,-7.403,-0.572,0.283,100.0,4.5,40.0,0
49,10,-5.856,2.966,-10.131,-1.125,-0.228,0.115,100.0,5.0,40.0,0
50,10,0.748,4.736,-7.59,6.937,0.029,0.184,40.0,5.0,40.0,0
51,10,-12.424,1.479,-14.545,-8.87,-0.483,0.057,100.0,5.0,40.0,0
52,10,-21.644,2.953,-24.221,-15.993,-0.842,0.115,100.0,5.0,39.5,0
53,10,-29.176,2.42,-32.455,-25.455,-1.135,0.094,100.0,5.0,41.0,0
54,10,-15.769,4.407,-23.532,-9.807,-0.613,0.171,100.0,5.0,41.0,0
55,10,-1.909,6.809,-11.147,9.085,-0.074,0.265,60.0,5.0,40.0,0
56,11,8.609,7.91,-7.461,15.768,0.335,0.308,18.182,5.0,40.0,0
