domain_number,lrr_interval_yr,dune_interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,n_dune_transects,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m
81,14.0,14.086,10,-0.16,-2.238,-2.251,5,2.138,0.152,-4.376,-4.389
82,14.0,14.086,10,-1.723,-24.116,-24.265,5,-1.134,-0.081,-22.982,-23.131
83,14.0,14.086,10,-1.257,-17.592,-17.701,5,-35.456,-2.517,17.864,17.755
84,14.0,14.086,11,-0.415,-5.811,-5.847,5,-22.138,-1.572,16.327,16.291
85,14.0,14.086,12,-0.12,-1.682,-1.692,5,4.355,0.309,-6.037,-6.047
86,14.0,14.086,12,0.145,2.033,2.045,5,9.193,0.653,-7.16,-7.148
87,14.0,14.086,11,0.793,11.109,11.177,5,4.241,0.301,6.868,6.936
88,14.0,14.086,10,2.023,28.329,28.503,5,15.005,1.065,13.324,13.498
89,14.0,14.086,9,1.766,24.724,24.876,5,18.938,1.344,5.786,5.938
90,14.0,14.086,10,1.912,26.769,26.934,5,15.932,1.131,10.837,11.002
