LineID,domain_id,northing_m,crs,method,polygons
464,91,3944062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
465,91,3944162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
466,91,3944262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
467,91,3944362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
468,91,3944462.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
469,92,3944562.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
470,92,3944662.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
471,92,3944762.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
472,92,3944862.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
473,92,3944962.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
474,93,3945062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
475,93,3945162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
476,93,3945262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
477,93,3945362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
478,93,3945462.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
479,94,3945562.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
480,94,3945662.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
481,94,3945762.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
482,94,3945862.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
483,94,3945962.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
484,95,3946062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
485,95,3946162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
486,95,3946262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
487,95,3946362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
488,95,3946462.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
489,96,3946562.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
490,96,3946662.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
491,96,3946762.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
492,96,3946862.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
493,96,3946962.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
494,97,3947062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
495,97,3947162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
496,97,3947262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
497,97,3947362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
498,97,3947462.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
499,98,3947562.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
500,98,3947662.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
501,98,3947762.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
502,98,3947862.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
503,98,3947962.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
504,99,3948062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
505,99,3948162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
506,99,3948262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
507,99,3948362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
508,99,3948462.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
509,100,3948562.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
510,100,3948662.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
511,100,3948762.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
512,100,3948862.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
513,100,3948962.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
514,101,3949062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
515,101,3949162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
516,101,3949262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
517,101,3949362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
518,101,3949462.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
519,102,3949562.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
520,102,3949662.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
521,102,3949762.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
522,102,3949862.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
523,102,3949962.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
524,103,3950062.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
525,103,3950162.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
526,103,3950262.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
527,103,3950362.327,EPSG:3725,polygon_join,domains_pea_hatteras_120.geojson
