dune_vintage,gis,beach_width_m,min_m,max_m,n_transects
2009,56,44.59,35.07,56.14,11
2009,57,51.67,47.72,58.46,10
2009,58,47.48,38.47,55.33,10
2009,59,43.72,38.86,54.31,10
2009,60,49.38,38.56,54.84,10
2009,61,40.18,31.94,44.57,10
2009,62,39.25,30.34,50.19,10
2009,63,28.26,21.84,34.07,10
2009,64,32.30,27.83,38.02,10
2009,65,34.70,30.32,38.31,10
2009,66,47.81,32.80,62.09,11
2009,67,66.18,58.10,79.30,10
2009,68,81.46,76.83,87.57,10
2009,69,61.49,56.91,71.84,10
2009,70,50.31,38.82,58.32,10
2009,71,39.36,35.87,42.16,10
2009,72,44.99,40.42,48.68,10
2009,73,57.31,50.55,64.55,10
2009,74,55.82,47.86,64.95,10
2009,75,49.06,43.37,57.35,10
2009,76,29.61,23.12,37.79,10
2009,77,33.19,26.70,39.33,10
2009,78,40.46,28.94,50.78,10
2009,79,41.33,22.51,57.68,10
2009,80,31.26,24.99,39.07,10
2009,81,48.98,32.37,68.14,10
2009,82,65.59,55.20,72.89,10
2009,83,25.77,14.87,42.72,10
2009,84,31.86,28.74,45.23,11
2009,85,46.80,39.18,55.20,12
2009,86,52.58,39.09,62.71,12
2009,87,56.75,47.01,66.60,11
2009,88,46.88,35.35,56.14,10
2009,89,36.25,35.38,37.34,9
2009,90,39.33,34.83,46.39,10
2023,1,118.55,96.78,153.90,9
2023,2,90.43,80.16,99.03,11
2023,3,78.11,72.42,80.89,10
2023,4,72.43,67.47,78.77,13
2023,5,61.28,50.59,72.56,13
2023,6,39.78,34.61,51.02,6
2023,7,59.05,39.99,75.15,4
2023,8,67.72,62.55,72.33,8
2023,9,57.04,53.23,66.12,9
2023,10,66.09,59.40,73.78,10
2023,11,58.03,50.78,67.38,10
2023,12,65.28,60.17,72.73,10
2023,13,66.63,61.14,70.68,11
2023,14,70.83,65.00,75.72,10
2023,15,68.48,60.81,78.91,10
2023,16,71.29,66.60,73.98,10
2023,17,64.75,59.44,70.99,10
2023,18,65.92,61.00,78.62,10
2023,19,62.48,59.15,66.66,10
2023,20,62.90,59.78,67.53,10
2023,21,46.51,41.40,57.17,11
2023,22,48.79,44.14,52.77,10
