Profile,XMHW,YMHW,MHW Lat,MHW Lon,MHW CI,MHW Lidar Error,MHW X Error,MHW Error,XCrest,YCrest,Crest Lat,Crest Lon,XHeel,YHeel,Heel Lat,Heel Lon,XToe,YToe,Toe Lat,Toe Lon,Foreshore Slope,Dune Volume,Beach Volume,Profile Volume,Orientation,Dune Height,Dune Width,Dune Aspect Ratio,Dune Face Slope,Beach Width,Beach Slope
1,128.6423718958094,0.329,-75.6226157088752,35.957965969481215,0.001051458452143225,-0.006544729109738325,0.018440590174208182,0.019595775309222727,71.999967366949,4.4024,-75.62329325499319,35.957728056159425,48.00002426294348,3.4669,-75.62353750126276,35.95764228947596,97.8477076118426,1.9598,-75.62303020261791,35.95782042452259,0.0436315273982555,78.28601518766322,21.543452776183074,306.13506234396993,334.2291196563175,2.4426,49.84768334889912,0.04900127419971554,0.09449955689966176,30.794664283966796,0.052957226127289654
2,129.63582733009434,0.334,-75.62309568825025,35.9587791849366,0.001334111978534995,-0.004792701112505093,0.5737629631525465,0.5737845307467914,64.00003071603184,5.0656,-75.62381421728976,35.95852687970466,49.99999651250301,4.0419,-75.6239566961756,35.958476848476685,99.8344853294648,1.6263,-75.62344952720301,35.95865493751191,0.03195134075003395,103.5301650764556,15.230264177160961,332.67626693690096,334.3375005861286,3.4393,49.83448881696179,0.06901445327616948,0.09597746183391721,29.801342000629546,0.04336381898414845
3,126.65560112426543,0.3689,-75.62355073067009,35.95959505115312,0.007032375727420501,-0.006666875689656595,-1.913751223955174,1.9137757571695173,69.9999446260047,6.3577,-75.62419688793887,35.959343954666,60.999970649923,5.5422,-75.62428690540857,35.9593089733232,81.95361610958354,3.232,-75.62407732722887,35.95939041586291,0.044445837931043966,39.90412809686126,50.403753236756415,402.33448269542333,336.62911208047836,3.1257,20.953645459660535,0.149172133604032,0.26148451580703735,44.701985014681895,0.0640486099008723
4,122.68221107061379,0.3358,-75.62414803820938,35.96036188867423,0.0021542810900353287,-0.003496362431892725,-2.5874904438732784,2.5874937029126865,38.000097905821335,4.1269,-75.62499503483753,35.96003274325752,14.000033640700272,3.0503,-75.62523508386596,35.95993945772424,40.00007633011061,3.869,-75.62497503074876,35.96004051650505,0.023309082879284834,19.855904532682132,191.17440377940258,319.9929590448435,336.72898645628027,0.2578999999999998,26.000042689410336,0.009919214482868558,0.128951391108956,82.68213474050319,0.0427323267727533
5,125.66224631424465,0.3273,-75.62458160034262,35.961195416604696,0.002782236714226044,-0.0041361117252400065,-0.842354203775983,0.8423689529418852,72.00000336052682,4.3875,-75.62513169829585,35.960988900626084,8.000015515610313,3.2062,-75.62577584202639,35.96074707467216,99.83443058586491,1.8838,-75.62485155079668,35.96109407315118,0.02757407816826671,160.80640485298207,17.477585036989865,346.38595995491914,336.1075504728426,2.5037000000000003,91.8344150702546,0.027263199728387612,0.08994975825192641,25.827815728379747,0.0602644844755381
6,128.64235617715153,0.3403,-75.62502637131996,35.96202118124116,0.0022820879550269238,-0.003974860129181922,-2.465645252038968,2.4656495120638673,74.00004031818332,4.4912,-75.62557633965382,35.96181471372497,56.99999113907077,2.9426,-75.62574744263384,35.96175047824007,96.85432006275377,2.1694,-75.62534631461715,35.96190106990842,0.026499067527879484,54.04886325098835,26.406299220473045,290.56075395785274,336.2097088627665,2.3218,39.854328923683,0.058257159578474195,0.10159147546759141,31.788036114397755,0.05754051597958094
7,126.65555628827094,0.3185,-75.62551114414052,35.962831929856875,0.002197762464033553,-0.003407316588719085,-2.0863243575596613,2.0863282974912933,66.99999928664553,4.6839,-75.62611157530814,35.96260651833608,58.000009947869955,3.6,-75.62620215935814,35.962572510729856,101.82114050423311,1.6815,-75.62576110200988,35.96273809196276,0.0227154439247939,80.52617355453384,14.236748245782962,317.1012704079447,336.3117760658532,3.0024000000000006,43.82113055636316,0.06851489137502477,0.08622348076528687,24.83441578403783,0.05488351374369998
8,126.6556455985649,0.328,-75.62588594376473,35.96368396709364,0.002794274467289676,-0.006344618959041991,-0.5518921594181165,0.5519357007720426,63.99998784536046,4.6413,-75.62660656050616,35.96341343387086,55.00004349178476,3.6757,-75.62669714521563,35.96337942680872,99.83447491090708,1.6833,-75.62624588537227,35.963548838308654,0.0422974597269466,75.12554939371597,16.326204004247586,299.71279167735366,336.4152444220688,2.958,44.83443141912232,0.06597607924025964,0.08254617945526546,26.821170687657826,0.05053097852375482
9,123.67551286008973,0.3149,-75.62640403274344,35.964477685237185,0.003703190105963788,-0.004649302075163643,-0.9972270964458687,0.9972448102209431,67.99997175330128,3.8182,-75.62703717849826,35.96422495121249,44.99999292888777,2.7712,-75.62726606430827,35.96413358595276,69.00003067137112,3.688,-75.62702722625019,35.96422892370412,0.03099534716775762,9.377406716836106,107.36360982683198,273.37580359378467,337.77399344733345,0.13019999999999987,24.00003774248335,0.00542499146863957,0.13019232931924843,54.675482188718604,0.06169310017893147
10,126.65560135693488,0.3179,-75.62685312775294,35.96530249113024,0.002934526943048383,-0.006233317545005901,-0.7934670556000185,0.7934969653493069,69.00003067137112,5.4413,-75.62751586934944,35.96503794264199,58.000047168631475,4.0077,-75.62762533706336,35.964994245450924,110.76161735984392,1.4829,-75.62710027229144,35.96520383819649,0.04155545030003934,131.77296491660525,8.112459635490382,352.59669373815643,337.87324991624615,3.9584,52.76157019121245,0.07502430245450277,0.0947856706098912,15.893983997090956,0.07329817371234472
