domain,cs_lrr_1984_2004,cs_std_1984_2004,cs_lrr_smooth_1984_2004,cs_lrr_2004_2024,cs_std_2004_2024,cs_lrr_smooth_2004_2024
1,-1.037,2.866,-4.576801022794813,1.099,3.128,2.1206230628804086
2,-4.798,0.258,-4.21451223690156,2.744,0.065,2.0158851870505643
3,-4.769,0.208,-3.874296149669603,2.864,0.135,1.9190303987899142
4,-3.98,0.433,-3.558025594201911,2.36,0.354,1.8349126175338504
5,-2.372,0.822,-3.2624560710530717,1.18,0.383,1.7645927040364593
6,-1.385,0.672,-2.9790807530839394,-1.285,1.291,1.7030629367372279
7,-2.188,0.115,-2.6965938983494775,-0.707,0.625,1.632320908779817
8,-1.729,0.103,-2.408370667567679,0.293,0.398,1.4794977717929845
9,-2.135,0.315,-2.220833410337594,1.046,0.137,1.4225209200254856
10,-2.737,0.106,-2.0404199121761843,1.759,0.226,1.4530927532506748
11,-2.961,0.084,-1.8351296418162093,2.21,0.088,1.5994079356789568
12,-2.348,0.188,-1.5751753408344744,1.964,0.162,1.76082660126076
13,-1.719,0.15,-1.2853835748663225,1.803,0.137,1.8774492743581084
14,-0.754,0.42,-0.9851656432476702,2.397,0.199,1.9536090016696328
15,0.107,0.222,-0.6646399490236399,2.224,0.388,1.981705134526421
16,0.826,0.219,-0.343067666762873,1.459,0.117,1.9345312726730428
17,0.441,0.31,-0.08439926902942153,1.943,0.113,1.7880125695398958
18,-0.068,0.071,0.0647610071564468,2.086,0.077,1.54084137561666
19,-0.026,0.06,0.1005243420180485,2.122,0.096,1.1995550499130085
20,0.357,0.366,0.05477670513273356,1.971,0.234,0.7946130099190106
21,0.789,0.294,-0.02344655923703801,0.687,0.649,0.38999570252188487
22,-0.336,0.379,-0.09006036441908925,-0.68,0.176,0.045988184599685344
23,-0.91,0.03,-0.11192237496963445,-1.63,0.342,-0.21781506543546447
24,-0.462,0.142,-0.07115672769595333,-1.633,0.181,-0.3995427466533213
25,-0.084,0.129,0.04634416748448568,-1.769,0.154,-0.41186788034012545
26,-0.215,0.092,0.26449498776167035,-1.088,0.377,-0.1804132783775787
27,-0.392,0.092,0.56443203210807,-0.599,0.289,0.13452922348050447
28,0.597,0.436,0.8236558621746374,1.739,0.71,0.4623618676343344
29,2.076,0.623,0.9443986381759266,3.17,0.438,0.839962118953996
30,2.675,0.222,0.9303418260689277,3.858,0.182,1.218612491017863
31,2.392,0.03,0.8058441797273933,2.711,0.423,1.5516672131556346
32,2.435,0.263,0.6161361602518787,1.618,0.329,1.7977876385149574
33,0.91,0.479,0.36949108870623537,1.457,0.407,1.8743660479990927
34,-0.904,0.491,0.03368485898762947,2.575,0.128,1.7323928018949544
35,-1.996,0.183,-0.3881308856814992,1.811,0.245,1.4988305997777893
36,-1.819,0.315,-0.7992309239536637,1.506,0.311,1.2749728690807325
37,-1.172,0.042,-1.1145401919752511,0.932,0.141,1.0726202213437077
38,-1.45,0.238,-1.2891296912866999,0.319,0.234,0.8744227689127898
39,-1.359,0.174,-1.3111426638690562,0.366,0.057,0.6593709126383787
40,-1.188,0.146,-1.1990631024956715,0.459,0.073,0.4344557084675658
41,-1.784,0.109,-1.0195517254677835,0.382,0.21,0.2237374341174097
42,-1.38,0.279,-0.8462659234446654,0.187,0.037,0.03849792951321769
43,-0.494,0.149,-0.724703821927408,0.087,0.201,-0.11820776401720977
44,-0.11,0.123,-0.6640813792422676,-0.256,0.101,-0.2607869607764784
45,0.183,0.088,-0.6579493783231538,-0.748,0.195,-0.4023899354512842
46,0.42,0.238,-0.6972133260670333,-0.967,0.127,-0.5424672741174337
47,-0.3,0.275,-0.7832624807418741,-0.783,0.152,-0.6770982551664255
48,-1.234,0.194,-0.9200355831301897,-0.451,0.05,-0.7955550967058382
49,-1.845,0.055,-1.0926631308187438,-0.94,0.22,-0.8876013764663806
50,-1.612,0.078,-1.2598188081474442,-0.981,0.197,-0.9441300947686143
51,-1.657,0.065,-1.3695600461899256,-0.865,0.179,-0.9616771392860012
52,-1.806,0.084,-1.3866060036771475,-1.41,0.084,-0.9386550267780576
53,-1.546,0.074,-1.3042846091171947,-1.146,0.058,-0.8713922840851783
