domain,cs_lrr_1984_2004,cs_std_1984_2004,cs_lrr_smooth_1984_2004,cs_lrr_2004_2024,cs_std_2004_2024,cs_lrr_smooth_2004_2024
54,-1.357,0.064,-1.1332581468179665,-1.276,0.061,-0.7615557412033036
55,-1.087,0.227,-0.8936365289348583,-0.834,0.096,-0.6376971489045842
56,-0.69,0.158,-0.6029478825513175,-0.503,0.199,-0.5286859415474581
57,-0.381,0.061,-0.29000851170945263,0.066,0.046,-0.4459366017662192
58,-0.094,0.119,-0.022837861744703303,0.392,0.133,-0.37909064333311926
59,0.473,0.191,0.1420908278853316,0.412,0.178,-0.28056729270200315
60,1.016,0.201,0.19649591473992267,-0.579,0.256,-0.13872414779911274
61,1.528,0.098,0.14792199912919046,-1.443,0.312,0.011284108003650282
62,1.131,0.199,0.0275585686843403,-1.721,0.335,0.18335336064133326
63,0.069,0.455,-0.10081698579513385,-0.066,0.5,0.3708800107921912
64,-0.951,0.195,-0.21178681030375227,0.734,0.098,0.5271699026400286
65,-1.42,0.144,-0.31051511961220063,1.641,0.543,0.684654298295741
66,-2.019,0.195,-0.38814435424554916,3.462,0.379,0.8816212939516569
67,-1.128,0.507,-0.4271705650838201,3.085,0.614,1.0712171781705713
68,-0.061,0.244,-0.4084023876519042,1.31,0.385,1.1989585787475123
69,0.548,0.176,-0.3032968589688501,0.78,0.085,1.2278861609110376
70,0.476,0.064,-0.13344117761488153,0.932,0.108,1.1149368159656015
71,0.05,0.17,0.008885672732334995,1.221,0.252,0.8473433182979939
72,-0.344,0.045,0.04307956212386376,1.763,0.154,0.49518198095858545
73,-0.24,0.251,-0.10900145828084484,1.297,0.509,0.13717189174899833
74,1.028,0.391,-0.5884541652346643,-0.276,0.515,-0.19130889828430037
75,2.213,0.189,-1.1607009050656798,-1.356,0.053,-0.5039768377102316
76,-0.067,1.553,-1.6524652893295724,-1.589,0.083,-0.8105521324487631
77,-4.923,1.017,-2.0971357725426336,-1.425,0.226,-1.0920999241631077
78,-5.949,0.139,-2.541385561057225,-2.091,0.308,-1.3042849149224325
79,-4.752,0.399,-3.096611773969087,-1.43,0.088,-1.413059145399822
80,-3.311,0.593,-3.705023608250329,-1.426,0.319,-1.405261576184996
81,-4.26,1.119,-4.048692511782652,-0.724,0.111,-1.2881772952381336
82,-5.781,0.276,-4.110057258517019,-1.656,0.408,-1.0818132510682517
83,-4.371,0.208,-3.956871932887393,-2.079,0.229,-0.8036793100232128
84,-4.495,0.108,-3.6528404037920357,-1.047,0.418,-0.426920616633987
85,-3.273,0.401,-3.311721738491627,-0.29,0.148,-0.08795098559773262
86,-2.946,0.052,-2.9486287839663143,0.243,0.25,0.24755525140814527
87,-2.936,0.121,-2.5691572053129277,0.971,0.252,0.5921502052651549
88,-2.245,0.309,-2.175606483544802,1.989,0.259,0.9486428143892095
89,-1.305,0.215,-1.7679132705520968,1.718,0.194,1.3152696862537352
90,1.64,1.038,-1.3456977547035347,0.717,1.338,1.6871991825110395
