gis,year,setback_free_m,setback_prescribed_m,managed_free,managed_prescribed
9,1996,40.0,40.0,True,True
9,1997,40.0,40.0,True,True
9,1998,40.0,40.0,True,True
9,1999,40.0,60.0,True,True
9,2000,40.0,60.0,True,True
9,2001,40.0,60.0,True,True
9,2002,40.0,60.0,True,True
9,2003,30.0,50.0,True,True
9,2004,30.0,50.0,True,True
9,2005,30.0,50.0,True,True
9,2006,30.0,50.0,True,True
9,2007,30.0,50.0,True,True
9,2008,30.0,50.0,True,True
9,2009,30.0,50.0,True,True
9,2010,30.0,50.0,True,True
10,1996,20.0,20.0,True,True
10,1997,20.0,20.0,True,True
10,1998,20.0,20.0,True,True
10,1999,20.0,70.0,True,True
10,2000,20.0,70.0,True,True
10,2001,20.0,70.0,True,True
10,2002,10.0,60.0,True,True
10,2003,10.0,60.0,True,True
10,2004,10.0,60.0,True,True
10,2005,10.0,60.0,True,True
10,2006,10.0,60.0,True,True
10,2007,10.0,60.0,True,True
10,2008,10.0,60.0,True,True
10,2009,10.0,60.0,True,True
10,2010,10.0,60.0,True,True
11,1996,10.0,10.0,True,True
11,1997,10.0,10.0,True,True
11,1998,10.0,10.0,True,True
11,1999,10.0,90.0,True,True
11,2000,0.0,80.0,True,True
11,2001,0.0,80.0,True,True
11,2002,0.0,80.0,True,True
11,2003,0.0,80.0,True,True
11,2004,0.0,80.0,True,True
11,2005,0.0,80.0,True,True
11,2006,0.0,80.0,True,True
11,2007,0.0,80.0,True,True
11,2008,0.0,80.0,True,True
11,2009,0.0,80.0,True,True
11,2010,0.0,80.0,True,True
12,1996,20.0,20.0,True,True
12,1997,20.0,20.0,True,True
12,1998,20.0,20.0,True,True
12,1999,20.0,90.0,True,True
12,2000,20.0,90.0,True,True
12,2001,20.0,90.0,True,True
12,2002,20.0,90.0,True,True
12,2003,20.0,90.0,True,True
12,2004,20.0,90.0,True,True
12,2005,20.0,90.0,True,True
12,2006,20.0,90.0,True,True
12,2007,20.0,90.0,True,True
12,2008,20.0,90.0,True,True
12,2009,20.0,90.0,True,True
12,2010,20.0,90.0,True,True
13,1996,20.0,20.0,True,True
13,1997,20.0,20.0,True,True
13,1998,20.0,20.0,True,True
13,1999,20.0,70.0,True,True
13,2000,20.0,70.0,True,True
13,2001,20.0,70.0,True,True
13,2002,20.0,70.0,True,True
13,2003,20.0,70.0,True,True
13,2004,20.0,70.0,True,True
13,2005,20.0,70.0,True,True
13,2006,20.0,70.0,True,True
13,2007,20.0,70.0,True,True
13,2008,20.0,70.0,True,True
13,2009,20.0,70.0,True,True
13,2010,20.0,70.0,True,True
14,1996,60.0,60.0,True,True
14,1997,60.0,60.0,True,True
14,1998,60.0,60.0,True,True
14,1999,60.0,80.0,True,True
14,2000,60.0,80.0,True,True
14,2001,60.0,80.0,True,True
14,2002,60.0,80.0,True,True
14,2003,60.0,80.0,True,True
14,2004,60.0,80.0,True,True
14,2005,60.0,80.0,True,True
14,2006,60.0,80.0,True,True
14,2007,60.0,80.0,True,True
14,2008,60.0,80.0,True,True
14,2009,60.0,80.0,True,True
14,2010,60.0,80.0,True,True
15,1996,60.0,60.0,True,True
15,1997,60.0,60.0,True,True
15,1998,60.0,60.0,True,True
15,1999,60.0,60.0,True,True
15,2000,60.0,60.0,True,True
15,2001,60.0,60.0,True,True
15,2002,60.0,60.0,True,True
15,2003,60.0,60.0,True,True
15,2004,60.0,60.0,True,True
15,2005,60.0,60.0,True,True
15,2006,60.0,60.0,True,True
15,2007,60.0,60.0,True,True
15,2008,60.0,60.0,True,True
15,2009,60.0,60.0,True,True
15,2010,60.0,60.0,True,True
16,1996,40.0,40.0,True,True
16,1997,40.0,40.0,True,True
16,1998,40.0,40.0,True,True
16,1999,40.0,40.0,True,True
16,2000,40.0,40.0,True,True
16,2001,40.0,40.0,True,True
16,2002,40.0,40.0,True,True
16,2003,40.0,40.0,True,True
16,2004,40.0,40.0,True,True
16,2005,40.0,40.0,True,True
16,2006,40.0,40.0,True,True
16,2007,40.0,40.0,True,True
16,2008,40.0,40.0,True,True
16,2009,40.0,40.0,True,True
16,2010,40.0,40.0,True,True
17,1996,90.0,90.0,True,True
17,1997,80.0,80.0,True,True
17,1998,80.0,80.0,True,True
17,1999,80.0,80.0,True,True
17,2000,80.0,80.0,True,True
17,2001,80.0,80.0,True,True
17,2002,80.0,80.0,True,True
17,2003,80.0,80.0,True,True
17,2004,80.0,80.0,True,True
17,2005,80.0,80.0,True,True
17,2006,80.0,80.0,True,True
17,2007,80.0,80.0,True,True
17,2008,80.0,80.0,True,True
17,2009,80.0,80.0,True,True
17,2010,80.0,80.0,True,True
18,1996,120.0,120.0,True,True
18,1997,120.0,120.0,True,True
18,1998,120.0,120.0,True,True
18,1999,120.0,120.0,True,True
18,2000,120.0,120.0,True,True
18,2001,120.0,120.0,True,True
18,2002,120.0,120.0,True,True
18,2003,120.0,120.0,True,True
18,2004,120.0,120.0,True,True
18,2005,120.0,120.0,True,True
18,2006,120.0,120.0,True,True
18,2007,120.0,120.0,True,True
18,2008,120.0,120.0,True,True
18,2009,120.0,120.0,True,True
18,2010,120.0,120.0,True,True
19,1996,130.0,130.0,True,True
19,1997,130.0,130.0,True,True
19,1998,130.0,130.0,True,True
19,1999,130.0,130.0,True,True
19,2000,130.0,130.0,True,True
19,2001,130.0,130.0,True,True
19,2002,130.0,130.0,True,True
19,2003,130.0,130.0,True,True
19,2004,130.0,130.0,True,True
19,2005,130.0,130.0,True,True
19,2006,130.0,130.0,True,True
19,2007,130.0,130.0,True,True
19,2008,130.0,130.0,True,True
19,2009,130.0,130.0,True,True
19,2010,130.0,130.0,True,True
20,1996,70.0,70.0,True,True
20,1997,70.0,70.0,True,True
20,1998,70.0,70.0,True,True
20,1999,70.0,70.0,True,True
20,2000,70.0,70.0,True,True
20,2001,70.0,70.0,True,True
20,2002,70.0,70.0,True,True
20,2003,70.0,70.0,True,True
20,2004,70.0,70.0,True,True
20,2005,70.0,70.0,True,True
20,2006,70.0,70.0,True,True
20,2007,70.0,70.0,True,True
20,2008,70.0,70.0,True,True
20,2009,70.0,70.0,True,True
20,2010,70.0,70.0,True,True
32,1996,210.0,210.0,True,True
32,1997,210.0,210.0,True,True
