tolerance_years,historical_domains,hits,misses,hit_domains,miss_domains,control_domains,false_positives,false_positive_domains,recall,false_positive_rate
2,6,0,6,,9 10 11 12 13 14,49,0,,0.0,0.0
5,6,0,6,,9 10 11 12 13 14,49,0,,0.0,0.0
