domain,rows,cols,nodata_cells,filled_cells,min_m_navd88,mean_m_navd88,max_m_navd88
74,50,200,5295,554,-0.8949999809265137,1.4577951431274414,9.572463989257812
75,50,200,5641,374,-0.8700000047683716,1.5364166498184204,8.949317932128906
76,50,200,6146,226,-0.9724999666213989,1.5391532182693481,9.592452049255371
77,50,200,6411,362,-0.9712499976158142,1.204574704170227,8.157833099365234
78,50,200,6553,323,-0.9950000047683716,1.2003564834594727,5.661628246307373
79,50,200,6691,137,-0.6525000333786011,1.330793857574463,6.24225378036499
7,50,200,3369,1355,-1.0774999856948853,2.063969135284424,6.973750114440918
80,50,200,6684,39,-0.6349999904632568,1.2291196584701538,5.543964385986328
81,50,200,6916,56,-0.4375,1.4237040281295776,5.810575008392334
82,50,200,6979,23,-0.5349999666213989,1.355176568031311,5.352883338928223
83,50,200,7117,140,-1.0824999809265137,1.1249381303787231,5.946652889251709
84,50,200,7172,254,-1.0950000286102295,0.7470254898071289,5.065666198730469
85,50,200,7087,251,-1.0325000286102295,0.8861495852470398,6.799009323120117
86,50,200,7851,85,-0.6924999952316284,1.0730262994766235,6.532926559448242
87,50,200,7963,30,-0.7224999666213989,1.044141173362732,7.316641330718994
88,50,200,7523,12,-1.0175000429153442,1.555250883102417,8.163992881774902
89,50,200,6550,36,-1.0612499713897705,1.4503676891326904,9.385254859924316
8,50,200,3144,1689,-0.8424999713897705,1.6899231672286987,6.87029504776001
90,50,200,5825,135,-0.9449999928474426,1.2401707172393799,12.121098518371582
9,50,200,4805,1619,-1.1825000047683716,1.1507861614227295,6.925000190734863
