domain,rows,cols,nodata_cells,filled_cells,min_m_navd88,mean_m_navd88,max_m_navd88
10,50,200,7462,400,-1.0550000667572021,1.0059128999710083,7.39697265625
11,50,200,8121,547,-1.127500057220459,1.159542202949524,7.906145095825195
12,50,200,8635,355,-1.1699999570846558,1.4122109413146973,6.729386329650879
13,50,200,8609,354,-1.2100000381469727,1.3241831064224243,6.037633419036865
14,50,200,8517,350,-1.1775000095367432,1.5447356700897217,6.263129711151123
15,50,200,8490,313,-1.0425000190734863,1.9599635601043701,8.297664642333984
16,50,200,8034,366,-1.1875,1.7178864479064941,8.2935152053833
17,50,200,7315,307,-1.1375000476837158,1.2702891826629639,7.867914199829102
18,50,200,6472,219,-1.1124999523162842,1.2277694940567017,11.178400039672852
19,50,200,6807,251,-1.0575000047683716,1.3225733041763306,10.461309432983398
1,50,200,1627,435,-1.1475000381469727,2.06457781791687,8.306221008300781
20,50,200,6787,337,-1.027500033378601,1.455905556678772,9.141340255737305
21,50,200,5418,325,-1.127500057220459,1.248266577720642,7.990206718444824
22,50,200,4750,215,-1.0074999332427979,1.2427047491073608,7.980856418609619
23,50,200,4444,291,-1.0499999523162842,1.367180585861206,9.103075981140137
24,50,200,4419,344,-1.065000057220459,1.1619417667388916,6.400532245635986
25,50,200,4266,423,-1.1174999475479126,1.10381281375885,6.724326133728027
26,50,200,4202,420,-1.0575000047683716,1.2129119634628296,7.095273494720459
27,50,200,4178,202,-0.9750000238418579,1.2816523313522339,7.928295135498047
28,50,200,3799,325,-1.0975000858306885,1.3424574136734009,9.75619888305664
29,50,200,3862,172,-0.9850000143051147,1.3126928806304932,8.564058303833008
2,50,200,2755,1298,-1.162500023841858,1.8734965324401855,5.9911370277404785
30,50,200,4773,122,-0.9725000262260437,1.292232871055603,9.22340202331543
31,50,200,6374,66,-0.8774999976158142,1.6601797342300415,7.613272190093994
32,50,200,6775,55,-0.6525000333786011,1.7749251127243042,6.602785587310791
33,50,200,6700,33,-0.4962500035762787,1.7463065385818481,6.355586051940918
34,50,200,7043,31,-0.9650000333786011,1.7578985691070557,6.876847743988037
35,50,200,7095,38,-0.7749999761581421,1.5464987754821777,6.936553955078125
36,50,200,6703,75,-0.8149999976158142,1.4766452312469482,5.240299224853516
37,50,200,5532,43,-0.4925000071525574,1.4145424365997314,6.029157638549805
38,50,200,5279,50,-0.7749999761581421,1.457301378250122,6.659976959228516
39,50,200,5872,57,-0.7775000333786011,1.6186972856521606,9.687884330749512
3,50,200,3576,2494,-1.2274999618530273,1.8866667747497559,6.44258975982666
40,50,200,5897,92,-0.7325000166893005,1.6583956480026245,8.817387580871582
41,50,200,6368,174,-0.8999999761581421,1.7054609060287476,9.033615112304688
42,50,200,6168,132,-0.8550000190734863,1.7028416395187378,10.180957794189453
43,50,200,6114,213,-0.8299999833106995,1.6597371101379395,9.417854309082031
44,50,200,6068,416,-1.0325000286102295,1.379212737083435,9.499109268188477
45,50,200,6235,392,-1.125,1.186815857887268,9.163412094116211
46,50,200,6580,279,-1.097499966621399,1.3871169090270996,7.34084415435791
47,50,200,7281,131,-1.002500057220459,1.536268949508667,7.746079444885254
48,50,200,7956,110,-1.087499976158142,1.835627555847168,7.280570983886719
49,50,200,8020,127,-1.0824999809265137,1.8699995279312134,7.825471878051758
4,50,200,3929,1897,-1.2274999618530273,2.123180627822876,6.256598472595215
50,50,200,8194,77,-1.0799999237060547,1.8564858436584473,7.612962245941162
51,50,200,8179,62,-0.9824999570846558,1.7219935655593872,6.463186264038086
52,50,200,8118,96,-0.8799999952316284,1.521601915359497,4.995805263519287
53,50,200,7928,135,-0.8650000095367432,1.54952871799469,5.944520473480225
54,50,200,7568,183,-0.9375,1.4196686744689941,6.844160079956055
55,50,200,7046,250,-1.0750000476837158,1.4032543897628784,7.306474685668945
56,50,200,7583,228,-1.037500023841858,1.6306805610656738,8.620749473571777
57,50,200,7413,204,-0.9500000476837158,1.6266140937805176,8.030488014221191
58,50,200,6852,179,-0.7400000095367432,1.47208571434021,8.485793113708496
59,50,200,6672,226,-0.637499988079071,1.5298495292663574,8.241403579711914
5,50,200,4126,1408,-1.2074999809265137,2.4824271202087402,8.921441078186035
60,50,200,5944,732,-1.1375000476837158,1.4158904552459717,8.958288192749023
61,50,200,5009,1497,-1.0350000858306885,1.3747849464416504,9.497965812683105
62,50,200,4698,1659,-1.0449999570846558,1.3797507286071777,7.815711498260498
63,50,200,4837,1398,-0.9650000333786011,1.4308010339736938,7.194889545440674
64,50,200,3660,2540,-0.9574999809265137,1.192573070526123,6.8469109535217285
65,50,200,3491,2702,-0.9975000023841858,1.1915510892868042,7.887693405151367
66,50,200,4158,1942,-1.0399999618530273,1.220613956451416,6.654318332672119
67,50,200,5286,620,-1.0475000143051147,1.3067185878753662,7.253098487854004
68,50,200,4978,761,-1.0699999332427979,1.436106562614441,7.123207092285156
69,50,200,4817,703,-0.8899999856948853,1.5251692533493042,7.624139308929443
6,50,200,3764,945,-1.0712499618530273,1.9637550115585327,6.680000305175781
70,50,200,5455,357,-0.9449999928474426,1.4182875156402588,8.133011817932129
71,50,200,5015,540,-0.800000011920929,1.1062538623809814,7.545405387878418
72,50,200,4841,712,-0.9200000166893005,1.2305653095245361,7.382712364196777
73,50,200,4733,1047,-0.9799999594688416,1.3360298871994019,8.948980331420898
