domain,rows,cols,nodata_before,nodata_after,filled,cand_2008_coverage,dropped_connectivity,dropped_elev_floor,cand_below_mhw,bias_applied_m,bias_ring_m,bias_ring_cells,bias_overlap_m,bias_overlap_cells,seam_n,ctrl_n,seam_median_signed_m,seam_median_abs_m,seam_p90_abs_m,ctrl_median_abs_m,ctrl_p90_abs_m,seam_over_ctrl,pts_2008_in_window,snap_x_m,snap_y_m,trim_x_m,trim_y_m
37,500,2000,556724,467625,89099,223708,64438,0,88499,0.0,0.4325,11031,-0.0301,469726,1160,3093168,-0.394,0.4007,0.7546,0.0331,0.1216,12.119,977833,0.0,0.3682,0.0,0.0
38,500,2000,532238,454969,77269,213312,67002,0,76268,0.0,0.3892,11312,-0.0396,495887,1179,3285726,-0.3528,0.3637,0.9461,0.0335,0.1278,10.861,1204791,0.307,0.3623,0.0,0.0
39,500,2000,592055,498118,93937,258709,91742,0,92653,0.0,0.7961,10358,-0.0395,466536,976,3034196,-0.6993,0.6993,0.9266,0.031,0.1235,22.528,1208550,0.307,0.1602,0.0,0.0
40,500,2000,598124,501743,96381,303173,107005,0,94740,0.0,0.6964,10519,-0.0325,440961,1032,2781164,-0.5611,0.5611,1.0532,0.0319,0.1254,17.592,998689,0.307,0.3884,0.0,0.0
41,500,2000,653132,554206,98926,319786,115516,0,96575,0.0,0.4321,10132,-0.0363,419147,1017,2582522,-0.3466,0.3623,0.896,0.0351,0.1374,10.323,989104,0.307,0.3504,0.0,0.0
42,500,2000,630061,558790,71271,315284,120323,0,70112,0.0,0.5304,11634,-0.0309,434651,1082,2637628,-0.4271,0.429,0.8367,0.0376,0.1496,11.422,1201887,0.307,0.4327,0.0,0.0
43,500,2000,632992,566541,66451,336103,131045,0,65187,0.0,0.3483,12002,-0.023,425167,1123,2628436,-0.3357,0.338,0.6843,0.0398,0.1625,8.502,1194226,0.307,0.4854,0.0,0.0
44,500,2000,647619,546343,101276,343187,123529,0,97446,0.0,0.3157,12688,-0.029,409892,1316,2533658,-0.3143,0.3168,0.9609,0.0325,0.1458,9.748,993643,0.0,0.4449,0.0,0.0
45,500,2000,662270,580177,82093,340772,142464,0,78504,0.0,0.8993,11254,-0.0434,388691,1111,2417966,-0.5863,0.5863,1.0295,0.0283,0.1307,20.724,977409,0.0,0.0434,0.0,0.0
46,500,2000,684957,619464,65493,345497,179259,0,63560,0.0,0.8283,9010,-0.0678,350901,839,2228998,-0.5051,0.5051,0.9298,0.0306,0.1382,16.532,1131221,0.4534,0.4452,0.0,0.0
47,500,2000,740585,684319,56266,378321,227986,0,54845,0.0,0.5774,9768,-0.0875,285491,963,1859162,-0.4714,0.4726,0.9,0.034,0.1548,13.905,1042180,0.4534,0.0,0.0,0.0
48,500,2000,805731,721341,84390,406577,207632,0,80392,0.0,0.2455,9291,-0.0677,234152,933,1472020,-0.2762,0.2842,0.6979,0.0377,0.1695,7.536,768002,0.3818,0.1229,0.0,0.0
49,500,2000,813929,729957,83972,427431,210737,0,80304,0.0,0.3424,8782,-0.0258,224728,858,1313858,-0.3217,0.3217,0.7479,0.037,0.1662,8.698,754020,0.2038,0.3756,0.0,0.0
50,500,2000,826625,764917,61708,435509,249624,0,59067,0.0,0.5281,8746,-0.0136,228163,810,1266198,-0.3875,0.3875,0.7515,0.0325,0.1602,11.931,926907,0.2038,0.4426,0.0,0.0
51,500,2000,822825,770056,52769,417083,268372,0,50580,0.0,0.0686,8528,-0.0178,233915,844,1266238,-0.0972,0.3689,0.6655,0.0312,0.154,11.825,909203,0.2038,0.317,0.0,0.0
52,500,2000,821077,761745,59332,399179,263347,0,57435,0.0,0.0974,8397,-0.0125,237519,862,1274716,-0.0563,0.1497,0.6436,0.0284,0.1369,5.273,727989,0.4503,0.2381,0.0,0.0
53,500,2000,806095,742719,63376,418926,277574,0,62028,0.0,0.4872,7407,-0.0061,250607,713,1399398,-0.1665,0.1685,0.5096,0.0294,0.1362,5.741,784162,0.1209,0.0829,0.0,0.0
54,500,2000,774612,711555,63057,427584,288069,0,61513,0.0,0.6513,6973,0.0066,274015,763,1640168,-0.3889,0.3889,0.6058,0.0316,0.1331,12.31,1033013,0.1209,0.2766,0.0,0.0
55,500,2000,728948,526156,202792,420881,141,0,200669,0.0,0.6116,8518,0.0229,306554,885,1896414,-0.3879,0.3879,0.5972,0.0314,0.1325,12.365,1081811,0.0542,0.2554,0.0,0.0
56,500,2000,780187,571761,208426,436313,409,0,207816,0.0,0.653,9429,0.0323,277183,1001,1666728,-0.3433,0.3497,0.6133,0.0334,0.1431,10.47,861566,0.0,0.3403,0.0,0.0
57,500,2000,760963,550825,210138,436624,703,0,208995,0.0,0.8569,7458,0.0378,278719,905,1719218,-0.5151,0.5151,0.8767,0.0307,0.1329,16.762,844980,0.0,0.0,0.0,0.0
58,500,2000,702384,508814,193570,431823,505,0,193111,0.0,0.8807,7374,0.0355,326398,801,2087968,-0.6216,0.6216,0.9227,0.0276,0.1187,22.512,1071388,0.0,0.0864,0.0,0.0
59,500,2000,689438,513920,175518,455643,372,0,171812,0.0,0.5844,12671,0.0808,383868,1276,2258998,-0.4136,0.4149,0.7363,0.027,0.1147,15.374,1259953,0.0,0.1169,0.0,0.0
60,500,2000,667180,512664,154516,517411,180272,0,100279,0.0,0.2999,15037,0.1536,469061,1824,2398760,-0.2323,0.2369,0.5993,0.0274,0.121,8.645,1419311,0.3259,0.4243,0.0,0.0
61,500,2000,649921,310517,339404,682348,75,0,187150,0.0,0.3067,16037,0.1445,505100,1884,2500632,-0.2451,0.246,0.4596,0.0285,0.1346,8.626,1845951,0.2904,0.0154,0.0,0.0
62,500,2000,635080,308314,326766,648852,37,0,216079,0.0,0.3368,16750,0.1017,512893,1921,2638486,-0.2876,0.2879,0.512,0.0297,0.1381,9.677,2269157,0.2454,0.043,0.0,0.0
63,500,2000,622406,329206,293200,653433,16,0,234132,0.0,0.2991,16092,0.0526,543109,1844,2716560,-0.2529,0.2571,0.5467,0.0298,0.1296,8.63,2315516,0.2437,0.397,0.0,0.0
64,500,2000,619087,194588,424499,846280,6,0,243325,0.0,0.2412,15836,0.0065,550733,1830,2731560,-0.1678,0.1819,0.4918,0.0272,0.1203,6.685,2398631,0.0338,0.4458,0.0,0.0
65,500,2000,618888,169011,449877,870469,168,0,236003,0.0,0.2441,16670,-0.0272,535430,2002,2744602,-0.1413,0.1608,0.4139,0.0266,0.1194,6.037,2535117,0.2125,0.4748,0.0,0.0
66,500,2000,609384,238118,371266,737955,419,0,216948,0.0,0.2532,15775,-0.0519,567264,1929,2826000,-0.1584,0.189,0.4594,0.0252,0.1089,7.5,2613299,0.2345,0.2268,0.0,0.0
67,500,2000,590211,332728,257483,598933,25,0,252853,0.0,0.1595,13890,-0.0406,598864,1760,2908798,-0.1172,0.1625,0.4693,0.0229,0.0999,7.101,2369801,0.1885,0.4416,0.0,0.0
68,500,2000,572553,331177,241376,561997,56,0,229021,0.0,0.0777,15485,0.005,608138,1913,3081398,-0.0378,0.1155,0.3342,0.0234,0.0998,4.936,1991503,0.0,0.4412,0.0,0.0
69,500,2000,551378,300294,251084,583972,43,0,223167,0.0,0.1295,20166,0.0388,615924,1900,3199286,-0.1372,0.1908,0.5361,0.0227,0.1002,8.399,1944148,0.0,0.0878,0.0,0.0
70,500,2000,580488,334990,245498,517386,42,0,243808,0.0,0.1624,18941,0.0451,564216,1786,3091796,-0.1941,0.2157,0.5544,0.0221,0.0948,9.775,1953890,0.1165,0.4124,0.0,0.0
71,500,2000,554721,318095,236626,513423,64,0,231635,0.0,0.3026,12918,0.0455,510708,1465,3145414,-0.2299,0.2445,0.5566,0.0221,0.0913,11.046,1818925,0.2014,0.4874,0.0,0.0
72,500,2000,554945,290070,264875,582629,49,0,249767,0.0,0.3615,12010,0.0515,506608,1380,3194108,-0.3242,0.3398,0.71,0.0225,0.094,15.11,1535120,0.3469,0.0736,0.0,0.0
73,500,2000,577325,288780,288545,580280,75,0,231837,0.0,0.6602,13192,0.0423,489916,1508,3044600,-0.4847,0.4915,0.799,0.0236,0.1047,20.823,1594166,0.3469,0.3438,0.0,0.0
74,500,2000,583780,474316,109464,445585,174826,0,80494,0.0,0.6158,14209,-0.053,487570,1531,2957000,-0.3996,0.4287,0.7989,0.0237,0.1026,18.065,1929885,0.3469,0.4973,0.0,0.0
75,500,2000,600075,486030,114045,405281,132687,0,84533,0.0,0.1871,12162,-0.1603,466907,1323,2864102,-0.0749,0.2458,0.6925,0.0225,0.1033,10.919,1832939,0.3469,0.3846,0.0,0.0
76,500,2000,636460,517934,118526,410629,87002,0,89144,0.0,0.1095,11463,-0.1838,437225,1297,2623506,-0.0171,0.334,0.832,0.0197,0.1001,16.943,1319841,0.3469,0.125,0.0,0.0
77,500,2000,676769,577685,99084,365511,140811,0,55524,0.0,0.0755,11886,-0.1803,375910,1405,2325794,-0.0681,0.3407,0.8347,0.0182,0.0837,18.719,1076812,0.3469,0.2973,0.0,0.0
78,500,2000,687272,597778,89494,303947,116465,0,62324,0.0,0.1702,11754,-0.1616,346584,1255,2317900,-0.147,0.2909,0.8037,0.0236,0.0996,12.319,1115097,0.3469,0.3296,0.0,0.0
79,500,2000,682450,585980,96470,299184,112467,0,70943,0.0,-0.1828,13355,-0.1959,385713,1477,2415004,0.2529,0.5608,1.368,0.0243,0.0966,23.121,1142420,0.0546,0.3111,0.0,0.0
80,500,2000,671952,583676,88276,330043,104549,0,65192,0.0,-0.3192,13130,-0.2474,374900,1388,2231380,0.4117,0.4531,1.323,0.0239,0.0935,18.967,969037,0.3298,0.0881,0.0,0.0
81,500,2000,696386,556848,139538,363747,82328,0,71613,0.0,-0.2132,9686,-0.2122,365009,1049,2172182,0.2404,0.2946,0.6105,0.0227,0.0941,12.99,998884,0.2258,0.4882,0.0,0.0
82,500,2000,699659,617811,81848,321025,64357,0,77794,0.0,-0.0286,7842,-0.2049,337324,946,2143312,-0.0065,0.1708,0.4118,0.0239,0.0988,7.147,1093677,0.0,0.0513,0.0,0.0
83,500,2000,725345,633570,91775,337292,98769,0,89616,0.0,0.0413,10321,-0.1967,286925,1140,1920134,-0.0793,0.1503,0.3981,0.0254,0.1042,5.922,1031232,0.0,0.051,0.0,0.0
84,500,2000,741936,623059,118877,342957,84814,0,116120,0.0,0.1483,10213,-0.125,293549,1076,1920248,-0.1323,0.1814,0.4319,0.0244,0.095,7.439,826934,0.0,0.2237,0.0,0.0
85,500,2000,732853,634331,98522,314562,94481,0,97190,0.0,0.377,9294,-0.085,322438,903,1862728,-0.2371,0.2527,0.5289,0.0233,0.0868,10.829,809857,0.4999,0.3596,0.0,0.0
86,500,2000,792915,754533,38382,273723,160628,0,36363,0.0,0.6645,9495,-0.0714,285002,976,1498812,-0.2998,0.3468,0.7879,0.0224,0.0872,15.447,802496,0.0,0.0101,0.0,0.0
87,500,2000,798518,755530,42988,250150,132129,0,40522,0.0,0.2711,9482,-0.0572,285718,1034,1438752,0.0005,0.2693,0.7789,0.0234,0.0915,11.513,743089,0.0,0.0,0.0,0.0
88,500,2000,752964,706269,46695,261238,113609,0,43298,0.0,-0.1458,8916,-0.0946,356965,1031,1845210,0.1411,0.2137,1.2498,0.0268,0.1069,7.98,719726,0.0,0.0144,0.0,0.0
89,500,2000,658114,609520,48594,276560,103117,0,42691,0.0,-0.1581,9417,-0.1067,447402,1110,2447788,0.2008,0.2075,1.1838,0.0262,0.1061,7.929,882073,0.1033,0.3966,0.0,0.0
90,500,2000,595193,514807,80386,292928,75807,0,50348,0.0,-0.0541,11550,-0.1038,510023,1382,2853816,0.0997,0.1895,0.4137,0.0244,0.1009,7.757,1225641,0.0,0.1036,0.0,0.0
