domain,rows,cols,shape_ok,origin_x,origin_y,nodata_frac,filled_cells_10m,partial_edge_cells,min_m,mean_m,max_m
10,50,200,True,451447.0,3903816.0,0.7462,400,3440,-1.0550000071525574,1.0059129303239516,7.396972894668579
11,50,200,True,451447.0,3904320.0,0.8121,547,6123,-1.1274999976158142,1.1595422671893139,7.906144857406616
12,50,200,True,451447.0,3904824.0,0.8635,355,4160,-1.1699999570846558,1.4122110417471336,6.7293864488601685
13,50,200,True,451513.0,3905325.0,0.8609,354,933,-1.2100000381469727,1.3241830994910155,6.037633299827576
14,50,200,True,451668.0,3905828.0,0.8517,350,1153,-1.1775000095367432,1.544735698252064,6.263129830360413
15,50,200,True,451867.0,3906334.0,0.849,313,1401,-1.0425000041723251,1.9599633848077807,8.297664165496826
16,50,200,True,451893.0,3906837.0,0.8034,366,1162,-1.1875,1.717886415549785,8.2935152053833
17,50,200,True,452000.0,3907340.0,0.7315,307,2918,-1.137499988079071,1.2702891777617962,7.867914199829102
18,50,200,True,452116.0,3907845.0,0.6472,219,2757,-1.112500011920929,1.2277694691990937,11.17840027809143
19,50,200,True,452312.0,3908349.0,0.6807,251,2855,-1.0575000047683716,1.3225732485799067,10.461309671401978
1,50,200,True,450439.0,3899279.0,0.1627,435,811,-1.1474999785423279,2.064578268010733,8.306221008300781
20,50,200,True,452312.0,3908850.0,0.6787,337,2668,-1.0275000184774399,1.4559055464156827,9.141339778900146
21,50,200,True,452312.0,3909353.0,0.5418,325,1738,-1.1274999976158142,1.248266559771339,7.990206956863403
22,50,200,True,452312.0,3909855.0,0.475,215,751,-1.0074999779462814,1.2427047439136198,7.980856537818909
23,50,200,True,452397.0,3910360.0,0.4444,291,1028,-1.050000011920929,1.3671805004478963,9.103075981140137
24,50,200,True,452517.0,3910863.0,0.4419,344,1446,-1.0649999976158142,1.1619417775261134,6.400532245635986
25,50,200,True,452632.0,3911367.0,0.4266,423,1290,-1.117499977350235,1.103812755872052,6.724325895309448
26,50,200,True,452771.0,3911868.0,0.4202,420,1163,-1.0574999749660492,1.2129120752587164,7.0952736139297485
27,50,200,True,452970.0,3912375.0,0.4178,202,2614,-0.9749999940395355,1.2816522974761502,7.928295016288757
28,50,200,True,453000.0,3912877.0,0.3799,325,2687,-1.0975000262260437,1.3424573390229628,9.756199359893799
29,50,200,True,453145.0,3913380.0,0.3862,172,2322,-0.9849999994039536,1.3126927933347248,8.564058303833008
2,50,200,True,450558.0,3899785.0,0.2755,1298,2142,-1.1624999940395355,1.8734965165201614,5.991136908531189
30,50,200,True,453175.0,3913881.0,0.4773,122,1267,-0.9725000113248825,1.2922328969577115,9.223401546478271
31,50,200,True,453290.0,3914383.0,0.6374,66,2285,-0.8775000125169754,1.6601796835241818,7.613272070884705
32,50,200,True,453620.0,3914885.0,0.6775,55,2269,-0.6525000035762787,1.77492497440252,6.6027854681015015
33,50,200,True,453813.0,3915387.0,0.67,33,652,-0.4962500110268593,1.746306528527688,6.355585813522339
34,50,200,True,453813.0,3915889.0,0.7043,31,563,-0.9650000184774399,1.7578985280930042,6.876847863197327
35,50,200,True,454000.0,3916391.0,0.7095,38,555,-0.7750000059604645,1.5464988621657276,6.9365540742874146
36,50,200,True,454000.0,3916894.0,0.6703,75,2448,-0.8150000125169754,1.47664521150088,5.240299344062805
37,50,200,True,454100.0,3917397.0,0.5532,43,2029,-0.4924999922513962,1.4145424769684543,6.029157876968384
38,50,200,True,454173.0,3917898.0,0.5279,50,1792,-0.7750000059604645,1.4573013558259198,6.6599767208099365
39,50,200,True,454173.0,3918399.0,0.5872,57,2209,-0.7775000035762787,1.6186972559394341,9.68788456916809
3,50,200,True,450660.0,3900290.0,0.3576,2494,2807,-1.2274999618530273,1.8866667535287867,6.44258987903595
40,50,200,True,454173.0,3918906.0,0.5897,92,2042,-0.7325000017881393,1.6583955813572504,8.817387342453003
41,50,200,True,454173.0,3919406.0,0.6368,174,1964,-0.9000000059604645,1.7054608629530652,9.03361463546753
42,50,200,True,454173.0,3919908.0,0.6168,132,1473,-0.8550000041723251,1.7028414992130958,10.180957555770874
43,50,200,True,454173.0,3920414.0,0.6114,213,1056,-0.8299999982118607,1.6597371470317857,9.417854070663452
44,50,200,True,454300.0,3920917.0,0.6068,416,1300,-1.032499998807907,1.3792127531906935,9.499109268188477
45,50,200,True,454300.0,3921418.0,0.6235,392,960,-1.1249999701976776,1.1868158744614685,9.16341233253479
46,50,200,True,454302.0,3921920.0,0.658,279,780,-1.0974999964237213,1.3871168538238603,7.340844035148621
47,50,200,True,454302.0,3922420.0,0.7281,131,993,-1.0024999976158142,1.5362688666194433,7.746079325675964
48,50,200,True,454441.0,3922921.0,0.7956,110,1660,-1.087499976158142,1.8356275468502665,7.280570864677429
49,50,200,True,454508.0,3923424.0,0.802,127,1540,-1.0824999809265137,1.869999457608032,7.825472116470337
4,50,200,True,450788.0,3900793.0,0.3929,1897,3056,-1.2274999916553497,2.1231806731596925,6.256598711013794
50,50,200,True,454508.0,3923929.0,0.8194,77,1136,-1.0799999833106995,1.8564858160856137,7.612962245941162
51,50,200,True,454508.0,3924434.0,0.8179,62,903,-0.9824999868869781,1.7219934988857042,6.463186502456665
52,50,200,True,454566.0,3924936.0,0.8118,96,942,-0.8799999952316284,1.521601926230377,4.995805263519287
53,50,200,True,454628.0,3925439.0,0.7928,135,920,-0.864999994635582,1.5495286524196374,5.944520473480225
54,50,200,True,454628.0,3925940.0,0.7568,183,783,-0.9375,1.4196686708400197,6.844160079956055
55,50,200,True,454779.0,3926443.0,0.7046,250,4217,-1.0750000178813934,1.403254236646576,7.306474447250366
56,50,200,True,454800.0,3926947.0,0.7583,228,4423,-1.037500023841858,1.630680562776996,8.620749235153198
57,50,200,True,454900.0,3927450.0,0.7413,204,4493,-0.9500000178813934,1.626614250607124,8.030488133430481
58,50,200,True,454900.0,3927955.0,0.6852,179,4262,-0.739999994635582,1.4720858655764009,8.485792875289917
59,50,200,True,454900.0,3928458.0,0.6672,226,3761,-0.6375000029802322,1.529849523228421,8.241403698921204
5,50,200,True,450912.0,3901296.0,0.4126,1408,3126,-1.207500010728836,2.482427283951944,8.921440839767456
60,50,200,True,455136.0,3928960.0,0.5944,732,1528,-1.137499988079071,1.4158903750456742,8.958288431167603
61,50,200,True,455274.0,3929462.0,0.5009,1497,3706,-1.0350000262260437,1.3747849502629932,9.497965574264526
62,50,200,True,455314.0,3929963.0,0.4698,1659,3224,-1.0449999868869781,1.37975068115678,7.8157113790512085
63,50,200,True,455365.0,3930464.0,0.4837,1398,3163,-0.9650000035762787,1.430801060258589,7.194889664649963
64,50,200,True,455491.0,3930967.0,0.366,2540,3159,-0.9575000107288361,1.192573018199566,6.8469109535217285
65,50,200,True,455637.0,3931468.0,0.3491,2702,3165,-0.9975000023841858,1.191551032645608,7.887693524360657
66,50,200,True,455738.0,3931971.0,0.4158,1942,3320,-1.0399999916553497,1.2206139629206965,6.654318451881409
67,50,200,True,455838.0,3932472.0,0.5286,620,3983,-1.0474999994039536,1.3067186335633638,7.253098249435425
68,50,200,True,456000.0,3932974.0,0.4978,761,3211,-1.0699999928474426,1.4361065595689935,7.123207330703735
69,50,200,True,456000.0,3933477.0,0.4817,703,3844,-0.8900000154972076,1.525169260126774,7.624139308929443
6,50,200,True,451000.0,3901798.0,0.3764,945,2385,-1.0712500214576721,1.9637551152215231,6.680000066757202
70,50,200,True,456151.0,3933981.0,0.5455,357,4356,-0.9449999928474426,1.4182874922814444,8.133012175559998
71,50,200,True,456212.0,3934483.0,0.5015,540,3529,-0.800000011920929,1.106253856934976,7.5454055070877075
72,50,200,True,456392.0,3934984.0,0.4841,712,3956,-0.9200000017881393,1.2305652955277995,7.382712483406067
73,50,200,True,456392.0,3935485.0,0.4733,1047,3557,-0.9799999743700027,1.3360298739747363,8.94898009300232
74,50,200,True,456392.0,3935987.0,0.5295,554,979,-0.8950000107288361,1.4577951713222674,9.572463989257812
75,50,200,True,456392.0,3936488.0,0.5641,374,1854,-0.8699999898672104,1.5364166765375395,8.949317455291748
76,50,200,True,456392.0,3936989.0,0.6146,226,2445,-0.9724999964237213,1.5391531666297134,9.592452049255371
77,50,200,True,456392.0,3937489.0,0.6411,362,1062,-0.971249982714653,1.2045748189821703,8.157833337783813
78,50,200,True,456392.0,3937990.0,0.6553,323,1123,-0.9950000196695328,1.200356614253218,5.6616281270980835
79,50,200,True,456332.0,3938491.0,0.6691,137,1763,-0.6525000184774399,1.3307937604584021,6.24225378036499
7,50,200,True,451000.0,3902300.0,0.3369,1355,2779,-1.0774999856948853,2.063969239619975,6.973749995231628
80,50,200,True,456286.0,3938992.0,0.6684,39,1941,-0.6349999904632568,1.2291197000405258,5.543964505195618
81,50,200,True,456248.0,3939493.0,0.6916,56,2917,-0.4375,1.4237038415464682,5.810574889183044
82,50,200,True,456140.0,3939993.0,0.6979,23,2111,-0.5349999889731407,1.3551765528252269,5.352883577346802
83,50,200,True,456140.0,3940494.0,0.7117,140,1656,-1.082500010728836,1.124938199681914,5.9466530084609985
84,50,200,True,456140.0,3940995.0,0.7172,254,2115,-1.094999998807907,0.7470255579833277,5.065666198730469
85,50,200,True,455951.0,3941496.0,0.7087,251,1818,-1.032499983906746,0.886149576339247,6.799009203910828
86,50,200,True,455830.0,3941998.0,0.7851,85,577,-0.6925000101327896,1.073026331706457,6.532926678657532
87,50,200,True,455800.0,3942500.0,0.7963,30,927,-0.7224999964237213,1.0441411044061197,7.316641211509705
88,50,200,True,455800.0,3943002.0,0.7523,12,1111,-1.0174999982118607,1.5552509857558092,8.163993120193481
89,50,200,True,455714.0,3943505.0,0.655,36,947,-1.061250001192093,1.4503675739065038,9.385254621505737
8,50,200,True,451150.0,3902805.0,0.3144,1689,2309,-0.8425000011920929,1.6899232525419081,6.870295166969299
90,50,200,True,455600.0,3944007.0,0.5825,135,1193,-0.9449999928474426,1.2401707819733743,12.121098279953003
9,50,200,True,451283.0,3903312.0,0.4805,1619,3341,-1.1824999749660492,1.1507861414305618,6.924999952316284
