gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
1.000,8215.241,8219.847,-4.606,-0.396,3.230,2.078,24.170,5.000,4.000,9,-3.626,-2.474
2.000,8077.369,8198.307,-120.938,-10.398,2.787,2.130,24.769,5.000,7.000,11,-13.186,-12.528
3.000,8010.594,8048.138,-37.544,-3.228,2.070,2.737,31.836,5.000,5.000,10,-5.298,-5.965
4.000,7913.173,7941.886,-28.713,-2.469,1.839,3.549,41.274,5.000,7.000,13,-4.308,-6.018
5.000,7775.149,7775.912,-0.763,-0.066,0.100,1.082,12.589,5.000,5.000,13,-0.165,-1.148
6.000,7517.635,7526.581,-8.946,-0.769,-1.345,-1.522,-17.703,6.000,6.000,6,0.576,0.753
7.000,7419.942,7446.992,-27.050,-2.326,-2.054,-2.396,-27.867,6.000,4.000,4,-0.272,0.070
8.000,7366.988,7378.997,-12.009,-1.033,-1.096,-0.980,-11.394,6.000,7.000,8,0.063,-0.053
9.000,7303.980,7328.071,-24.091,-2.071,-1.274,-1.501,-17.456,6.000,5.000,9,-0.798,-0.570
10.000,7234.456,7302.726,-68.270,-5.870,-1.362,-2.199,-25.580,5.500,7.000,10,-4.508,-3.671
11.000,7147.401,7219.752,-72.352,-6.221,-1.950,-3.343,-38.886,4.000,4.000,10,-4.271,-2.877
12.000,7070.182,7139.809,-69.627,-5.987,-2.387,-3.326,-38.685,6.000,6.000,10,-3.600,-2.660
13.000,6989.160,7049.038,-59.878,-5.148,-1.985,-2.593,-30.161,6.000,6.000,11,-3.163,-2.555
14.000,6912.045,6942.984,-30.939,-2.660,-1.093,-1.214,-14.121,5.000,5.000,10,-1.567,-1.446
15.000,6833.913,6856.002,-22.090,-1.899,0.088,0.543,6.314,5.000,6.500,10,-1.988,-2.442
16.000,6768.504,6759.596,8.909,0.766,1.259,2.436,28.329,5.000,5.000,10,-0.493,-1.670
17.000,6654.974,6665.506,-10.531,-0.906,1.279,3.105,36.117,4.000,7.000,10,-2.184,-4.011
18.000,6563.461,6569.881,-6.420,-0.552,1.703,2.651,30.837,4.500,5.000,10,-2.255,-3.203
19.000,6481.002,6487.115,-6.113,-0.526,1.602,1.085,12.618,6.000,7.000,10,-2.128,-1.611
20.000,6394.910,6403.470,-8.560,-0.736,-0.213,-0.795,-9.251,6.000,5.000,10,-0.523,0.059
21.000,6283.830,6289.237,-5.408,-0.465,-0.812,0.306,3.558,8.000,7.000,11,0.347,-0.771
22.000,6150.719,6161.641,-10.922,-0.939,-0.560,-0.040,-0.470,7.000,5.000,10,-0.379,-0.899
23.000,6028.436,6049.389,-20.953,-1.802,-1.670,-2.454,-28.546,7.000,9.500,10,-0.132,0.653
24.000,5910.091,5944.087,-33.996,-2.923,-2.749,-2.964,-34.467,8.000,8.000,10,-0.174,0.040
25.000,5814.923,5839.019,-24.096,-2.072,-3.189,-1.867,-21.714,8.000,9.000,10,1.117,-0.205
26.000,5727.086,5755.085,-27.999,-2.407,-1.931,-0.863,-10.040,7.000,8.000,10,-0.476,-1.544
27.000,5642.394,5651.712,-9.318,-0.801,2.113,2.335,27.155,6.000,9.000,10,-2.914,-3.136
28.000,5546.896,5551.500,-4.604,-0.396,3.092,2.701,31.409,8.000,8.000,10,-3.488,-3.096
29.000,5435.029,5434.511,0.518,0.045,3.158,2.833,32.954,7.000,8.500,10,-3.113,-2.789
30.000,5338.776,5334.902,3.873,0.333,1.576,2.814,32.731,7.000,8.000,10,-1.243,-2.481
31.000,5219.063,5208.427,10.635,0.914,1.988,3.908,45.456,8.000,9.000,11,-1.074,-2.994
32.000,5096.075,5093.532,2.543,0.219,1.991,1.580,18.378,8.000,9.500,10,-1.772,-1.361
