domain_number,model_years,dune_interval_yr,coastsat_lrr_m_yr,coastsat_target_m,coastsat_target_loess_m,dune_rate_m_yr,dune_measured_change_m,dune_target_m,dune_target_loess_m,target_difference_m,model_ends_solved_on_coastsat_m,model_ends_solved_on_duneline_m,model_ends_unsolved_m
1,14,14.086,2.843,39.802,39.807,1.042,14.678,14.588,14.588,25.214,54.185,18.519,-22.535
2,14,14.086,2.527,35.378,35.379,1.311,18.467,18.354,18.352,17.024,44.019,14.525,-19.354
3,14,14.086,2.464,34.496,34.492,1.6,22.538,22.4,22.403,12.096,35.044,10.823,-16.838
4,14,14.086,1.919,26.866,26.871,1.378,19.411,19.292,19.295,7.574,26.013,6.355,-16.059
5,14,14.086,0.821,11.494,11.488,0.373,5.254,5.222,5.223,6.272,18.021,2.271,-15.794
6,14,14.086,-1.388,-19.432,-19.434,-2.154,-30.342,-30.156,-30.15,10.724,-3.332,-15.758,-30.044
7,14,14.086,-1.314,-18.396,-18.394,-2.756,-38.822,-38.584,-38.586,20.188,1.605,-8.1,-19.287
8,14,14.086,-0.324,-4.536,-4.53,-2.822,-39.751,-39.508,-39.505,34.972,4.342,-3.159,-11.857
9,14,14.086,0.137,1.918,1.92,-0.836,-11.776,-11.704,-11.709,13.622,7.415,1.677,-5.027
10,14,14.086,0.714,9.996,10.0,-0.474,-6.677,-6.636,-6.635,16.632,9.113,4.768,-0.346
11,14,14.086,0.792,11.088,7.931,0.92,12.959,12.88,4.979,-1.792,11.125,7.869,4.012
12,14,14.086,0.617,8.638,10.023,1.612,22.707,22.568,10.885,-13.93,13.18,10.768,7.894
13,14,14.086,0.564,7.896,11.741,1.36,19.157,19.04,14.379,-11.144,11.128,9.361,7.246
14,14,14.086,1.057,14.798,13.143,1.299,18.298,18.186,16.206,-3.388,7.643,6.361,4.825
15,14,14.086,1.252,17.528,14.963,1.39,19.58,19.46,17.189,-1.932,2.487,1.565,0.466
16,14,14.086,1.033,14.462,17.168,-0.069,-0.972,-0.966,18.26,15.428,1.782,1.132,0.355
17,14,14.086,1.308,18.312,18.025,1.57,22.115,21.98,19.391,-3.668,-1.629,-2.084,-2.641
18,14,14.086,1.678,23.492,16.166,1.513,21.312,21.182,18.693,2.31,-3.669,-3.983,-4.331
19,14,14.086,1.833,25.662,12.302,2.341,32.976,32.774,15.17,-7.112,-1.854,-2.068,-2.327
20,14,14.086,1.197,16.758,6.842,2.055,28.947,28.77,8.631,-12.012,1.486,1.341,1.173
21,14,14.086,-0.043,-0.602,-0.978,0.516,7.268,7.224,-0.94,-7.826,-3.522,-3.619,-3.728
22,14,14.086,-0.843,-11.802,-10.598,-1.733,-24.411,-24.262,-10.619,12.46,-2.643,-2.707,-2.778
23,14,14.086,-1.863,-26.082,-15.047,-3.176,-44.738,-44.464,-16.951,18.382,-2.432,-2.474,-2.521
24,14,14.086,-2.273,-31.822,-13.597,-2.793,-39.343,-39.102,-19.173,7.28,-3.315,-3.343,-3.373
25,14,14.086,-2.477,-34.678,-11.049,-3.04,-42.822,-42.56,-17.086,7.882,-3.488,-3.505,-3.525
26,14,14.086,-1.547,-21.658,-6.269,-0.907,-12.776,-12.698,-9.908,-8.96,-1.258,-1.269,-1.282
