domain_number,model_years,dune_interval_yr,coastsat_lrr_m_yr,coastsat_target_m,coastsat_target_loess_m,dune_rate_m_yr,dune_measured_change_m,dune_target_m,dune_target_loess_m,target_difference_m,model_ends_solved_on_coastsat_m,model_ends_solved_on_duneline_m,model_ends_unsolved_m
1,14,11.63,2.843,39.802,39.807,-0.013,-0.151,-0.182,-0.188,39.984,52.325,-36.509,-0.78
2,14,11.63,2.527,35.378,35.379,-4.757,-55.326,-66.598,-66.597,101.976,39.311,-32.941,-3.382
3,14,11.63,2.464,34.496,34.492,-3.069,-35.694,-42.966,-42.967,77.462,33.873,-24.296,-0.222
4,14,11.63,1.919,26.866,26.871,-1.056,-12.282,-14.784,-14.784,41.65,26.901,-19.282,-0.048
5,14,11.63,0.821,11.494,11.488,0.417,4.85,5.838,5.844,5.656,16.95,-19.692,-4.303
6,14,11.63,-1.388,-19.432,-19.434,-0.54,-6.28,-7.56,-7.557,-11.872,-2.948,-32.134,-19.848
7,14,11.63,-1.314,-18.396,-18.394,-2.326,-27.052,-32.564,-32.561,14.168,-5.244,-28.509,-18.716
8,14,11.63,-0.324,-4.536,-4.53,-1.033,-12.014,-14.462,-14.456,9.926,-2.334,-20.716,-13.059
9,14,11.63,0.137,1.918,1.92,-2.205,-25.645,-30.87,-30.863,32.788,-1.364,-15.731,-9.83
10,14,11.63,0.714,9.996,10.0,-2.91,-33.844,-40.74,-40.743,50.736,-0.956,-12.081,-7.593
11,14,11.63,0.792,11.088,7.931,-4.831,-56.186,-67.634,-44.793,78.722,-1.52,-10.03,-6.647
12,14,11.63,0.617,8.638,10.023,-5.954,-69.247,-83.356,-45.12,91.994,-0.444,-6.871,-4.349
13,14,11.63,0.564,7.896,11.741,-5.227,-60.792,-73.178,-42.858,81.074,-0.81,-5.602,-3.742
14,14,11.63,1.057,14.798,13.143,-2.66,-30.937,-37.24,-38.174,52.038,0.395,-3.133,-1.777
15,14,11.63,1.252,17.528,14.963,-1.414,-16.445,-19.796,-30.83,37.324,1.726,-0.835,0.141
16,14,11.63,1.033,14.462,17.168,1.215,14.131,17.01,-22.742,-2.548,2.147,0.315,1.008
17,14,11.63,1.308,18.312,18.025,-1.066,-12.398,-14.924,-16.336,33.236,1.063,-0.23,0.256
18,14,11.63,1.678,23.492,16.166,-0.717,-8.339,-10.038,-11.727,33.53,1.146,0.246,0.583
19,14,11.63,1.833,25.662,12.302,-0.526,-6.118,-7.364,-10.13,33.026,2.848,2.23,2.46
20,14,11.63,1.197,16.758,6.842,-0.574,-6.676,-8.036,-11.496,24.794,2.709,2.289,2.445
21,14,11.63,-0.043,-0.602,-0.978,-0.484,-5.629,-6.776,-14.376,6.174,1.062,0.781,0.885
22,14,11.63,-0.843,-11.802,-10.598,-0.939,-10.921,-13.146,-18.088,1.344,-2.345,-2.531,-2.463
23,14,11.63,-1.863,-26.082,-15.047,-1.802,-20.958,-25.228,-21.57,-0.854,-4.574,-4.696,-4.651
24,14,11.63,-2.273,-31.822,-13.597,-2.923,-33.996,-40.922,-23.221,9.1,-7.06,-7.138,-7.109
25,14,11.63,-2.477,-34.678,-11.049,-2.072,-24.098,-29.008,-22.543,-5.67,-6.318,-6.368,-6.35
26,14,11.63,-1.547,-21.658,-6.269,-2.407,-27.994,-33.698,-19.044,12.04,-4.403,-4.434,-4.423
27,14,11.63,0.007,0.098,2.127,-0.682,-7.932,-9.548,-12.11,9.646,-2.648,-2.668,-2.661
28,14,11.63,1.902,26.628,10.852,-0.298,-3.466,-4.172,-2.576,30.8,-2.547,-2.559,-2.555
29,14,11.63,2.921,40.894,16.896,0.165,1.919,2.31,6.049,38.584,-3.169,-3.176,-3.173
30,14,11.63,3.173,44.422,21.79,2.328,27.076,32.592,11.844,11.83,-2.553,-2.558,-2.556
31,14,11.63,2.595,36.33,26.333,2.515,29.25,35.21,14.81,1.12,-2.912,-2.915,-2.914
32,14,11.63,1.48,20.72,26.323,1.459,16.969,20.426,14.646,0.294,-4.871,-4.872,-4.872
33,14,11.63,1.353,18.942,21.107,1.083,12.596,15.162,9.686,3.78,-9.259,-9.259,-9.259
34,14,11.63,1.816,25.424,15.268,0.292,3.396,4.088,1.573,21.336,-16.019,-16.02,-16.02
35,14,11.63,0.6,8.4,10.574,-4.1,-47.685,-57.4,-6.704,65.8,-23.355,-23.355,-23.355
36,14,11.63,0.006,0.084,7.115,-2.331,-27.11,-32.634,-13.432,32.718,-23.782,-23.782,-23.782
37,14,11.63,-0.121,-1.694,4.478,-2.139,-24.877,-29.946,-18.87,28.252,-25.566,-25.566,-25.566
38,14,11.63,0.129,1.806,3.166,-2.086,-24.261,-29.204,-21.931,31.01,-24.995,-24.995,-24.995
39,14,11.63,0.205,2.87,3.325,-1.193,-13.875,-16.702,-20.935,19.572,-22.18,-22.18,-22.18
40,14,11.63,0.334,4.676,3.957,-1.452,-16.887,-20.328,-17.623,25.004,-18.935,-18.935,-18.935
41,14,11.63,0.611,8.554,4.085,-1.162,-13.515,-16.268,-13.647,24.822,-14.495,-14.495,-14.495
42,14,11.63,0.393,5.502,3.047,-0.866,-10.072,-12.124,-9.745,17.626,-11.159,-11.159,-11.159
43,14,11.63,0.19,2.66,0.692,0.343,3.989,4.802,-6.598,-2.142,-8.077,-8.077,-8.077
44,14,11.63,0.061,0.854,-2.361,-0.137,-1.593,-1.918,-4.659,2.772,-6.277,-6.277,-6.277
45,14,11.63,-0.504,-7.056,-4.996,-0.129,-1.5,-1.806,-4.634,-5.25,-3.121,-3.121,-3.121
46,14,11.63,-1.094,-15.316,-6.777,0.219,2.547,3.066,-6.553,-18.382,-1.112,-1.112,-1.112
47,14,11.63,-1.028,-14.392,-8.048,-0.657,-7.641,-9.198,-10.253,-5.194,-1.021,-1.021,-1.021
48,14,11.63,-0.401,-5.614,-8.868,-1.637,-19.039,-22.918,-15.08,17.304,0.742,0.742,0.742
49,14,11.63,-0.293,-4.102,-9.079,-0.947,-11.014,-13.258,-20.016,9.156,3.837,3.837,3.837
50,14,11.63,-0.591,-8.274,-9.128,-1.923,-22.365,-26.922,-23.391,18.648,4.52,4.52,4.52
51,14,11.63,-0.663,-9.282,-9.549,-2.887,-33.577,-40.418,-24.234,31.136,5.254,5.254,5.254
52,14,11.63,-0.896,-12.544,-10.014,-2.185,-25.412,-30.59,-23.271,18.046,5.914,5.914,5.914
53,14,11.63,-0.987,-13.818,-9.747,-1.842,-21.423,-25.788,-21.035,11.97,7.495,7.495,7.495
54,14,11.63,-0.853,-11.942,-8.505,-0.327,-3.803,-4.578,-17.56,-7.364,8.234,8.234,8.234
55,14,11.63,-0.449,-6.286,-6.353,-0.985,-11.456,-13.79,-13.903,7.504,8.026,8.026,8.026
56,14,11.63,-0.205,-2.87,-3.863,-0.484,-5.629,-6.776,-11.286,3.906,8.263,8.263,8.263
57,14,11.63,-0.004,-0.056,-2.361,-0.532,-6.187,-7.448,-9.352,7.392,8.032,8.031,8.031
58,14,11.63,0.314,4.396,-2.728,-0.898,-10.444,-12.572,-7.307,16.968,6.702,6.701,6.701
59,14,11.63,0.247,3.458,-4.73,-0.85,-9.886,-11.9,-5.17,15.358,5.427,5.426,5.426
60,14,11.63,-0.562,-7.868,-6.807,-0.147,-1.71,-2.058,-4.185,-5.81,3.81,3.808,3.808
61,14,11.63,-1.299,-18.186,-7.858,0.958,11.142,13.412,-3.782,-31.598,2.787,2.784,2.784
62,14,11.63,-1.546,-21.644,-7.801,0.744,8.653,10.416,-3.317,-32.06,-1.462,-1.467,-1.467
63,14,11.63,-0.816,-11.424,-5.575,-1.105,-12.852,-15.47,-3.376,4.046,-4.799,-4.808,-4.807
64,14,11.63,-0.161,-2.254,0.108,-0.47,-5.466,-6.58,-4.394,4.326,-4.284,-4.298,-4.296
65,14,11.63,0.478,6.692,7.448,-0.353,-4.106,-4.942,-5.02,11.634,-4.435,-4.458,-4.455
66,14,11.63,2.142,29.988,12.499,-0.425,-4.943,-5.95,-3.902,35.938,-6.611,-6.647,-6.642
67,14,11.63,2.771,38.794,15.876,-0.51,-5.932,-7.14,-2.232,45.934,-10.413,-10.469,-10.462
68,14,11.63,2.263,31.682,18.333,0.238,2.768,3.332,-1.385,28.35,-14.073,-14.161,-14.15
69,14,11.63,1.529,21.406,19.522,0.919,10.688,12.866,-0.827,8.54,-17.946,-18.08,-18.063
70,14,11.63,0.842,11.788,17.499,-0.363,-4.222,-5.082,0.319,16.87,-21.251,-21.453,-21.428
71,14,11.63,0.687,9.618,13.966,-0.327,-3.803,-4.578,1.792,14.196,-24.798,-25.098,-25.061
72,14,11.63,1.018,14.252,9.31,-0.275,-3.198,-3.85,2.703,18.102,-26.546,-26.987,-26.932
73,14,11.63,1.056,14.784,3.7,0.636,7.397,8.904,1.564,5.88,-26.795,-27.435,-27.354
74,14,11.63,0.39,5.46,-2.285,1.366,15.887,19.124,-2.895,-13.664,-28.918,-29.835,-29.719
75,14,11.63,-0.937,-13.118,-8.363,1.208,14.05,16.912,-12.032,-30.03,-30.523,-31.714,-31.548
76,14,11.63,-1.954,-27.356,-14.668,-1.96,-22.796,-27.44,-21.251,0.084,-34.284,-36.093,-35.86
77,14,11.63,-1.734,-24.276,-20.535,-4.928,-57.315,-68.992,-29.114,44.716,-35.445,-37.835,-37.51
78,14,11.63,-1.936,-27.104,-24.347,-5.051,-58.745,-70.714,-38.721,43.61,-34.837,-38.149,-37.7
79,14,11.63,-1.62,-22.68,-25.862,-2.041,-23.738,-28.574,-47.145,5.894,-28.837,-33.333,-32.722
80,14,11.63,-2.516,-35.224,-26.087,-2.476,-28.797,-34.664,-51.511,-0.56,-24.43,-30.52,-29.704
81,14,11.63,-1.883,-26.362,-25.819,-5.269,-61.281,-73.766,-52.292,47.404,-21.835,-29.839,-28.771
82,14,11.63,-1.489,-20.846,-24.656,-4.08,-47.452,-57.12,-53.804,36.274,-14.511,-24.91,-23.548
83,14,11.63,-2.126,-29.764,-22.043,-2.996,-34.845,-41.944,-56.576,12.18,-9.633,-23.016,-21.311
84,14,11.63,-1.587,-22.218,-18.069,-4.917,-57.187,-68.838,-58.254,46.62,-3.1,-20.084,-17.925
85,14,11.63,-1.038,-14.532,-12.865,-4.581,-53.279,-64.134,-57.21,49.602,3.89,-17.545,-14.879
86,14,11.63,-0.544,-7.616,-6.211,-4.611,-53.628,-64.554,-52.898,56.938,9.133,-17.662,-14.296
87,14,11.63,0.032,0.448,0.774,-4.011,-46.65,-56.154,-46.034,56.602,15.475,-17.762,-13.636
88,14,11.63,1.004,14.056,7.655,-2.97,-34.542,-41.58,-38.754,55.636,20.551,-20.391,-15.348
89,14,11.63,1.182,16.548,14.587,-2.022,-23.517,-28.308,-30.978,44.856,25.76,-24.186,-18.127
90,14,11.63,1.194,16.716,21.485,-1.124,-13.073,-15.736,-22.677,32.452,31.695,-28.566,-21.295
