domain,topo_version,n_profiles,shift_m_median,shift_cells_median,shift_m_p10,shift_m_p90,shift_m_min,shift_m_max,row0_cell_median,duneline_cell_median
1,v3,50,-44.9,-4.49,-80.0,16.3,-123.1,21.7,18.0,21.9
2,v3,50,9.6,0.96,3.5,17.4,1.0,28.4,13.0,11.99
3,v3,50,-8.8,-0.88,-17.8,6.7,-21.0,22.7,23.0,24.19
4,v3,50,22.8,2.28,-10.3,36.7,-13.9,45.7,40.0,37.68
5,v3,50,14.1,1.41,6.1,31.9,1.2,50.1,37.0,34.94
6,v3,50,8.4,0.84,-32.2,14.9,-41.3,36.7,19.5,18.46
7,v3,50,15.5,1.55,11.6,22.8,9.2,27.1,21.0,19.63
8,v3,50,13.4,1.34,8.6,18.9,-3.9,27.5,26.0,25.05
9,v3,50,15.3,1.53,7.5,20.4,2.1,22.3,23.0,21.34
10,v3,50,14.3,1.43,9.8,18.4,-9.3,24.9,23.0,21.62
11,v3,50,14.0,1.4,9.8,19.0,7.3,26.0,18.0,16.42
12,v3,50,15.4,1.54,9.4,21.3,7.4,25.3,19.0,17.46
13,v3,50,29.3,2.93,15.0,44.5,11.1,51.1,24.0,20.98
14,v3,50,15.8,1.58,10.9,39.3,8.1,54.1,25.0,23.66
15,v3,50,24.4,2.44,16.5,34.0,12.9,39.7,23.0,20.64
16,v3,50,38.5,3.85,20.5,50.7,16.6,54.8,26.0,22.31
17,v3,50,16.1,1.61,10.9,22.3,8.5,33.6,26.0,24.39
18,v3,50,19.0,1.9,11.7,25.9,8.6,36.4,22.0,20.29
19,v3,50,20.9,2.09,12.3,27.5,5.8,30.0,24.0,22.11
20,v3,50,36.6,3.66,17.6,48.3,6.2,51.7,23.0,19.88
21,v3,50,17.7,1.77,12.6,31.0,10.6,51.5,25.0,22.58
22,v3,50,28.2,2.82,17.7,67.0,11.2,70.1,21.0,17.08
23,v3,50,21.9,2.19,16.2,28.2,15.1,33.0,19.0,16.44
24,v3,50,20.1,2.01,14.1,30.1,10.9,34.4,20.0,17.51
25,v3,50,16.2,1.62,10.6,21.4,-1.4,24.8,19.0,17.64
26,v3,50,56.1,5.61,12.2,89.4,8.8,94.1,24.0,18.64
27,v3,50,65.6,6.56,14.6,85.5,-5.5,92.6,28.0,20.98
28,v3,50,25.4,2.54,15.2,70.1,12.7,73.8,15.0,10.84
29,v3,50,21.5,2.15,14.9,28.7,-2.6,34.9,28.0,26.21
30,v3,50,23.5,2.35,15.2,37.3,7.4,46.0,28.0,25.22
31,v3,50,31.9,3.19,17.9,40.7,15.2,46.0,27.0,23.45
32,v3,50,26.0,2.6,19.0,48.9,15.4,62.0,29.0,26.87
33,v3,50,94.6,9.46,82.4,135.2,60.8,146.5,35.0,25.4
34,v3,50,118.3,11.83,102.4,159.7,92.9,163.0,35.0,23.03
35,v3,50,145.0,14.5,129.5,177.8,123.4,182.6,46.0,31.76
36,v3,50,0.8,0.08,-24.8,24.7,-28.4,30.1,27.0,26.85
37,v3,50,22.9,2.29,16.6,28.9,6.4,35.8,25.0,22.27
38,v3,50,18.6,1.86,12.4,25.3,7.8,30.5,16.0,13.99
39,v3,50,21.6,2.16,15.6,26.5,12.6,31.5,21.0,18.99
40,v3,50,22.7,2.27,15.3,31.2,10.1,32.7,18.0,15.82
41,v3,50,19.6,1.96,14.5,23.1,11.3,25.7,18.0,16.23
42,v3,50,23.8,2.38,16.3,26.6,11.0,30.5,18.0,15.48
43,v3,50,15.5,1.55,10.4,22.7,7.6,28.5,16.5,14.64
44,v3,50,12.2,1.22,7.7,17.4,7.4,17.6,18.0,16.57
45,v3,50,14.1,1.41,9.3,18.3,-29.9,23.5,22.0,20.7
