year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1997,v3,1,0,26.45,20,-64.5
1997,v3,1,1,26.75,19,-77.5
1997,v3,1,2,26.27,20,-62.7
1997,v3,1,3,25.79,21,-47.9
1997,v3,1,4,25.31,13,-123.1
1997,v3,1,5,24.84,18,-68.4
1997,v3,1,6,24.36,18,-63.6
1997,v3,1,7,23.88,16,-78.8
1997,v3,1,8,24.41,16,-84.1
1997,v3,1,9,23.93,15,-89.3
1997,v3,1,10,23.45,19,-44.5
1997,v3,1,11,22.97,15,-79.7
1997,v3,1,12,22.5,15,-75.0
1997,v3,1,13,22.37,15,-73.7
1997,v3,1,14,22.29,15,-72.9
1997,v3,1,15,22.2,15,-72.0
1997,v3,1,16,22.11,15,-71.1
1997,v3,1,17,22.03,16,-60.3
1997,v3,1,18,21.94,14,-79.4
1997,v3,1,19,21.86,20,-18.6
1997,v3,1,20,22.77,21,-17.7
1997,v3,1,21,22.69,15,-76.9
1997,v3,1,22,22.62,15,-76.2
1997,v3,1,23,22.54,15,-75.4
1997,v3,1,24,22.47,14,-84.7
1997,v3,1,25,22.23,14,-82.3
1997,v3,1,26,21.85,14,-78.5
1997,v3,1,27,21.46,19,-24.6
1997,v3,1,28,21.08,22,9.2
1997,v3,1,29,20.69,22,13.1
1997,v3,1,30,20.31,22,16.9
1997,v3,1,31,19.92,22,20.8
1997,v3,1,32,20.53,16,-45.3
1997,v3,1,33,20.15,16,-41.5
1997,v3,1,34,19.76,21,12.4
1997,v3,1,35,19.38,21,16.2
1997,v3,1,36,18.99,21,20.1
1997,v3,1,37,18.61,20,13.9
1997,v3,1,38,18.22,19,7.8
1997,v3,1,39,17.83,18,1.7
1997,v3,1,40,17.45,18,5.5
1997,v3,1,41,17.06,18,9.4
1997,v3,1,42,16.68,18,13.2
1997,v3,1,43,16.31,17,6.9
1997,v3,1,44,16.94,18,10.6
1997,v3,1,45,16.57,18,14.3
1997,v3,1,46,16.2,18,18.0
1997,v3,1,47,15.83,18,21.7
1997,v3,1,48,15.46,16,5.4
1997,v3,1,49,15.1,16,9.0
1997,v3,2,0,14.41,16,15.9
1997,v3,2,1,14.04,15,9.6
1997,v3,2,2,13.67,15,13.3
1997,v3,2,3,13.3,14,7.0
1997,v3,2,4,12.93,14,10.7
1997,v3,2,5,13.56,14,4.4
1997,v3,2,6,13.2,14,8.0
1997,v3,2,7,12.96,14,10.4
1997,v3,2,8,12.72,13,2.8
1997,v3,2,9,12.48,13,5.2
1997,v3,2,10,12.24,13,7.6
1997,v3,2,11,12.0,13,10.0
1997,v3,2,12,12.76,14,12.4
1997,v3,2,13,12.52,14,14.8
1997,v3,2,14,12.27,14,17.3
1997,v3,2,15,12.03,13,9.7
1997,v3,2,16,11.79,13,12.1
1997,v3,2,17,11.55,13,14.5
1997,v3,2,18,11.31,12,6.9
1997,v3,2,19,12.07,13,9.3
1997,v3,2,20,11.83,13,11.7
1997,v3,2,21,11.63,13,13.7
1997,v3,2,22,11.5,13,15.0
1997,v3,2,23,11.37,12,6.3
1997,v3,2,24,11.24,12,7.6
1997,v3,2,25,11.11,12,8.9
1997,v3,2,26,11.98,13,10.2
1997,v3,2,27,11.85,12,1.5
1997,v3,2,28,11.72,12,2.8
1997,v3,2,29,11.59,12,4.1
1997,v3,2,30,11.46,12,5.4
1997,v3,2,31,11.33,12,6.7
1997,v3,2,32,12.2,13,8.0
1997,v3,2,33,12.07,13,9.3
1997,v3,2,34,11.94,13,10.6
1997,v3,2,35,11.81,13,11.9
1997,v3,2,36,11.68,14,23.2
1997,v3,2,37,11.55,13,14.5
1997,v3,2,38,11.42,13,15.8
1997,v3,2,39,12.29,15,27.1
1997,v3,2,40,12.16,15,28.4
1997,v3,2,41,12.03,13,9.7
1997,v3,2,42,11.9,12,1.0
1997,v3,2,43,11.77,12,2.3
1997,v3,2,44,11.64,12,3.6
1997,v3,2,45,11.51,12,4.9
1997,v3,2,46,12.38,13,6.2
1997,v3,2,47,12.25,13,7.5
1997,v3,2,48,12.12,14,18.8
1997,v3,2,49,11.99,14,20.1
1997,v3,3,0,21.99,24,20.1
1997,v3,3,1,21.86,23,11.4
1997,v3,3,2,21.73,24,22.7
1997,v3,3,3,21.6,23,14.0
1997,v3,3,4,22.47,23,5.3
1997,v3,3,5,22.34,23,6.6
1997,v3,3,6,22.21,23,7.9
1997,v3,3,7,22.09,22,-0.9
1997,v3,3,8,22.0,22,-0.0
1997,v3,3,9,22.92,23,0.8
1997,v3,3,10,22.83,23,1.7
1997,v3,3,11,22.75,23,2.5
1997,v3,3,12,22.66,22,-6.6
1997,v3,3,13,22.58,22,-5.8
1997,v3,3,14,23.49,23,-4.9
1997,v3,3,15,23.41,23,-4.1
1997,v3,3,16,23.32,23,-3.2
1997,v3,3,17,23.24,23,-2.4
1997,v3,3,18,23.15,23,-1.5
1997,v3,3,19,24.07,23,-10.7
1997,v3,3,20,23.98,23,-9.8
1997,v3,3,21,23.9,23,-9.0
1997,v3,3,22,23.8,23,-8.0
1997,v3,3,23,24.64,24,-6.4
1997,v3,3,24,24.48,23,-14.8
1997,v3,3,25,24.32,23,-13.2
1997,v3,3,26,24.16,23,-11.6
1997,v3,3,27,24.01,23,-10.1
1997,v3,3,28,24.85,23,-18.5
1997,v3,3,29,24.69,23,-16.9
1997,v3,3,30,24.53,23,-15.3
1997,v3,3,31,24.37,23,-13.7
1997,v3,3,32,24.21,23,-12.1
1997,v3,3,33,25.05,23,-20.5
1997,v3,3,34,24.89,23,-18.9
1997,v3,3,35,24.73,23,-17.3
1997,v3,3,36,24.57,23,-15.7
1997,v3,3,37,24.41,23,-14.1
1997,v3,3,38,25.26,24,-12.6
1997,v3,3,39,25.1,23,-21.0
1997,v3,3,40,24.94,23,-19.4
1997,v3,3,41,24.78,23,-17.8
1997,v3,3,42,25.62,24,-16.2
1997,v3,3,43,25.46,24,-14.6
1997,v3,3,44,25.3,24,-13.0
1997,v3,3,45,25.08,24,-10.8
1997,v3,3,46,24.85,24,-8.5
1997,v3,3,47,25.63,25,-6.3
1997,v3,3,48,25.41,25,-4.1
1997,v3,3,49,25.18,25,-1.8
1997,v3,4,0,37.69,37,-6.9
1997,v3,4,1,37.46,37,-4.6
1997,v3,4,2,37.24,41,37.6
1997,v3,4,3,38.02,37,-10.2
1997,v3,4,4,37.79,37,-7.9
1997,v3,4,5,37.57,41,34.3
1997,v3,4,6,37.34,41,36.6
1997,v3,4,7,38.12,37,-11.2
1997,v3,4,8,37.89,41,31.1
1997,v3,4,9,37.67,41,33.3
1997,v3,4,10,37.44,41,35.6
1997,v3,4,11,37.22,41,37.8
1997,v3,4,12,38.03,37,-10.3
