year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1984,v3,3,36,20.35,23,26.5
1984,v3,3,37,20.13,23,28.7
1984,v3,3,38,20.94,24,30.6
1984,v3,3,39,20.78,23,22.2
1984,v3,3,40,20.62,23,23.8
1984,v3,3,41,20.46,23,25.4
1984,v3,3,42,21.3,24,27.0
1984,v3,3,43,21.14,24,28.6
1984,v3,3,44,20.98,24,30.2
1984,v3,3,45,20.82,24,31.8
1984,v3,3,46,20.66,24,33.4
1984,v3,3,47,21.49,25,35.1
1984,v3,3,48,21.33,25,36.7
1984,v3,3,49,21.17,25,38.3
1984,v3,4,0,33.76,37,32.4
1984,v3,4,1,33.6,37,34.0
1984,v3,4,2,33.44,41,75.6
1984,v3,4,3,34.28,37,27.2
1984,v3,4,4,34.12,37,28.8
1984,v3,4,5,33.96,41,70.4
1984,v3,4,6,33.8,41,72.0
1984,v3,4,7,34.63,37,23.7
1984,v3,4,8,34.47,41,65.3
1984,v3,4,9,34.31,41,66.9
1984,v3,4,10,34.15,41,68.5
1984,v3,4,11,33.99,41,70.1
1984,v3,4,12,34.83,37,21.7
1984,v3,4,13,34.67,37,23.3
1984,v3,4,14,34.51,41,64.9
1984,v3,4,15,34.34,41,66.6
1984,v3,4,16,35.18,41,58.2
1984,v3,4,17,35.02,37,19.8
1984,v3,4,18,34.86,41,61.4
1984,v3,4,19,34.7,37,23.0
1984,v3,4,20,34.54,41,64.6
1984,v3,4,21,35.38,42,66.2
1984,v3,4,22,35.22,41,57.8
1984,v3,4,23,35.06,41,59.4
1984,v3,4,24,34.89,37,21.1
1984,v3,4,25,35.73,41,52.7
1984,v3,4,26,35.55,41,54.5
1984,v3,4,27,35.32,40,46.8
1984,v3,4,28,35.1,40,49.0
1984,v3,4,29,34.88,40,51.2
1984,v3,4,30,35.65,41,53.5
1984,v3,4,31,35.43,41,55.7
1984,v3,4,32,35.21,40,47.9
1984,v3,4,33,34.98,36,10.2
1984,v3,4,34,35.76,37,12.4
1984,v3,4,35,35.54,37,14.6
