domain,model_total_change_m,model_rate_m_per_yr
0,12.247015220414596,0.6445797484428735
1,10.81119627333669,0.5690103301756153
2,11.235703882239932,0.5913528359073649
3,11.552825746052122,0.6080434603185327
4,11.270468540583352,0.5931825547675448
5,11.976713517232838,0.6303533430122547
6,11.412452513663084,0.6006553954559518
7,12.06219700208112,0.6348524737937432
8,10.463971829346974,0.5507353594393144
9,9.958946168020702,0.5241550614747738
10,9.452106889690185,0.49747930998369394
11,6.205440968769381,0.32660215625102
12,-0.002194554539528326,-0.00011550287050149084
13,-9.08450562396456,-0.4781318749455032
14,-24.642752276681676,-1.2969869619306145
15,-50.808350397720915,-2.674123705143206
16,-39.95802458751223,-2.1030539256585383
17,-31.913315476563184,-1.6796481829770098
18,-26.520667877482083,-1.3958246251306359
19,-18.86764420085001,-0.9930339053078953
20,-5.020271240017792,-0.26422480210619953
21,-3.846577301947491,-0.2024514369446048
22,-3.584453957324058,-0.18865547143810832
23,3.636782804266659,0.19140962127719258
24,8.751595674207238,0.4606102986424862
25,8.254605440902651,0.4344529179422448
26,6.912076084224282,0.36379347811706747
27,3.862063284517262,0.20326648865880328
28,4.241531111799759,0.22323847956840837
29,2.425578808922637,0.12766204257487565
30,5.548885594612784,0.2920466102427781
31,10.369625690223529,0.5457697731696595
32,12.533670051319405,0.6596668448062845
33,14.29912702476895,0.7525856328825763
34,15.562891077662698,0.8190995304032999
35,20.349672173605086,1.0710353775581625
36,25.82849722437686,1.359394590756677
37,28.237123461995907,1.4861643927366266
38,34.99763800078517,1.841980947409746
39,34.805931801483894,1.8318911474465207
40,25.714789647816815,1.3534099814640428
41,15.898561346238466,0.8367663866441298
42,16.67629207030859,0.8776995826478206
43,19.4057601947095,1.0213557997215528
44,21.910158455403234,1.153166234494907
45,24.961463175453446,1.3137612197607076
46,25.811802418920934,1.3585159167853122
47,27.698550799647364,1.457818463139335
48,27.883960023986447,1.4675768433677077
49,30.457334216861,1.6030175903611052
50,31.805125226078417,1.6739539592672852
51,31.78794641238528,1.6730498111781726
52,28.58927647645487,1.5046987619186774
53,23.516200081549187,1.2376947411341677
54,18.437696512322873,0.9704050795959407
55,16.478327183679994,0.8672803780884207
56,11.60292361864299,0.6106801904548942
57,9.869381476877606,0.5194411303619793
58,11.373167633928006,0.5985877702067371
59,11.225102352487966,0.5907948606572614
60,7.547618327492955,0.3972430698680503
61,6.732681394860265,0.3543516523610666
62,3.314258191288218,0.1744346416467483
63,1.8528096921068027,0.09751629958456856
64,1.2262687200422988,0.06454045894959468
65,1.4858557460659085,0.07820293400346887
66,0.6901932302866953,0.036325959488773436
67,-0.17604911113926391,-0.009265742691540206
68,3.472779186983189,0.18277785194648363
69,5.192874268206197,0.2733091720108525
70,6.672420280731558,0.35118001477534516
71,12.972947394911671,0.6827867049953511
72,19.182260111082314,1.009592637425385
73,22.744505309340184,1.197079226807378
74,31.02496626174525,1.6328929611444867
75,35.810303942740575,1.8847528390916093
76,41.51522790147669,2.1850119948145625
77,42.383761672544324,2.2307242985549642
78,41.81122795411966,2.200590944953666
79,38.8563253911434,2.0450697574286
80,35.495678407843116,1.8681936004127955
81,32.435874858958414,1.7071513083662324
82,30.477233123903943,1.6040649012581023
83,26.164860428344582,1.3770979172812938
84,20.156997673972,1.060894614419579
85,14.935665605150007,0.7860876634289478
86,10.048408441770334,0.5288636021984386
87,7.442574953759504,0.3917144712505002
88,6.241480728350098,0.32849898570263675
89,5.554449132555646,0.29233942802924456
90,2.4320949872146684,0.1280049993270878
91,4.080762455712829,0.2147769713533068
92,5.2332324419517136,0.2754332864185112
93,4.066369237370964,0.2140194335458402
94,-1.1464924681658886,-0.06034170885083624
95,-5.520427322295291,-0.29054880643659425
96,-7.007232624241851,-0.3688017170653606
97,-7.106102958103747,-0.37400541884756566
98,-4.536622787270517,-0.23876962038265878
99,1.2643138276664558,0.06654283303507662
100,3.0878859347026264,0.1625203123527698
101,3.4439538044466644,0.18126072654982445
102,1.206586378676775,0.06350454624614606
103,3.6010869670258217,0.18953089300135903
104,10.969923482340619,0.577364393807401
105,12.564376193947737,0.6612829575761967
106,13.070756570146386,0.687934556323494
107,12.794185825369595,0.6733782013352418
108,11.47802952878942,0.6041068173047064
109,12.76475054029811,0.6718289758051637
110,10.737423659619708,0.5651275610326162
111,11.557063571321123,0.6082665037537434
112,11.132555402988828,0.5859239685783594
113,11.55009057691791,0.6078995040483111
114,12.082318832141482,0.6359115174811306
115,11.590059391406612,0.6100031258635059
116,11.487485489196843,0.6046044994314128
117,10.409275152703913,0.5478565869844164
118,11.462615263528733,0.6032955401857227
119,11.21043028027816,0.5900226463304294
