domain_number,model_years,dune_interval_yr,coastsat_lrr_m_yr,coastsat_target_m,coastsat_target_loess_m,dune_rate_m_yr,dune_measured_change_m,dune_target_m,dune_target_loess_m,target_difference_m,model_ends_solved_on_coastsat_m,model_ends_solved_on_duneline_m
25,14,11.63,-3.189,-44.646,-11.257,-2.072,-24.098,-29.008,-22.543,-15.638,-6.314,-6.368
26,14,11.63,-1.931,-27.034,-2.481,-2.407,-27.994,-33.698,-19.044,6.664,-4.4,-4.434
27,14,11.63,2.113,29.582,5.626,-0.682,-7.932,-9.548,-12.11,39.13,-2.647,-2.668
28,14,11.63,3.092,43.288,15.662,-0.298,-3.466,-4.172,-2.576,47.46,-2.546,-2.559
29,14,11.63,3.158,44.212,24.425,0.165,1.919,2.31,6.049,41.902,-3.168,-3.176
30,14,11.63,1.576,22.064,28.341,2.328,27.076,32.592,11.844,-10.528,-2.553,-2.558
31,14,11.63,1.988,27.832,25.762,2.515,29.25,35.21,14.81,-7.378,-2.912,-2.915
32,14,11.63,1.991,27.874,18.368,1.459,16.969,20.426,14.646,7.448,-4.87,-4.872
33,14,11.63,1.659,23.226,8.587,1.083,12.596,15.162,9.686,8.064,-9.258,-9.259
34,14,11.63,-0.241,-3.374,-0.591,0.292,3.396,4.088,1.573,-7.462,-16.019,-16.02
35,14,11.63,-2.595,-36.33,-5.105,-4.1,-47.685,-57.4,-6.704,21.07,-23.355,-23.355
36,14,11.63,-3.566,-49.924,-7.02,-2.331,-27.11,-32.634,-13.432,-17.29,-23.782,-23.782
37,14,11.63,-2.39,-33.46,-7.688,-2.139,-24.877,-29.946,-18.87,-3.514,-25.566,-25.566
38,14,11.63,0.537,7.518,-5.163,-2.086,-24.261,-29.204,-21.931,36.722,-24.995,-24.995
39,14,11.63,0.528,7.392,2.155,-1.193,-13.875,-16.702,-20.935,24.094,-22.18,-22.18
40,14,11.63,0.732,10.248,8.969,-1.452,-16.887,-20.328,-17.623,30.576,-18.935,-18.935
41,14,11.63,1.557,21.798,12.8,-1.162,-13.515,-16.268,-13.647,38.066,-14.495,-14.495
42,14,11.63,1.269,17.766,13.615,-0.866,-10.072,-12.124,-9.745,29.89,-11.159,-11.159
43,14,11.63,0.825,11.55,11.49,0.343,3.989,4.802,-6.598,6.748,-8.077,-8.077
44,14,11.63,1.165,16.31,7.204,-0.137,-1.593,-1.918,-4.659,18.228,-6.277,-6.277
45,14,11.63,0.503,7.042,3.049,-0.129,-1.5,-1.806,-4.634,8.848,-3.121,-3.121
46,14,11.63,-1.016,-14.224,0.876,0.219,2.547,3.066,-6.553,-17.29,-1.112,-1.112
47,14,11.63,-1.437,-20.118,-0.636,-0.657,-7.641,-9.198,-10.253,-10.92,-1.021,-1.021
48,14,11.63,-0.11,-1.54,-2.178,-1.637,-19.039,-22.918,-15.08,21.378,0.742,0.742
49,14,11.63,1.485,20.79,-2.287,-0.947,-11.014,-13.258,-20.016,34.048,3.837,3.837
50,14,11.63,-0.014,-0.196,-0.855,-1.923,-22.365,-26.922,-23.391,26.726,4.52,4.52
51,14,11.63,-0.581,-8.134,0.32,-2.887,-33.577,-40.418,-24.234,32.284,5.254,5.254
52,14,11.63,0.37,5.18,0.275,-2.185,-25.412,-30.59,-23.271,35.77,5.914,5.914
53,14,11.63,-0.543,-7.602,0.231,-1.842,-21.423,-25.788,-21.035,18.186,7.495,7.495
54,14,11.63,0.193,2.702,0.81,-0.327,-3.803,-4.578,-17.56,7.28,8.234,8.234
55,14,11.63,0.393,5.502,1.514,-0.985,-11.456,-13.79,-13.903,19.292,8.026,8.026
56,14,11.63,0.357,4.998,2.016,-0.484,-5.629,-6.776,-11.286,11.774,8.263,8.263
57,14,11.63,-0.191,-2.674,1.881,-0.532,-6.187,-7.448,-9.352,4.774,8.031,8.031
58,14,11.63,0.209,2.926,0.494,-0.898,-10.444,-12.572,-7.307,15.498,6.701,6.701
59,14,11.63,0.31,4.34,-1.776,-0.85,-9.886,-11.9,-5.17,16.24,5.426,5.426
60,14,11.63,-0.311,-4.354,-5.078,-0.147,-1.71,-2.058,-4.185,-2.296,3.809,3.808
61,14,11.63,-0.736,-10.304,-9.679,0.958,11.142,13.412,-3.782,-23.716,2.786,2.784
62,14,11.63,-0.368,-5.152,-14.807,0.744,8.653,10.416,-3.317,-15.568,-1.465,-1.467
63,14,11.63,-2.022,-28.308,-18.314,-1.105,-12.852,-15.47,-3.376,-12.838,-4.803,-4.808
64,14,11.63,-2.074,-29.036,-19.617,-0.47,-5.466,-6.58,-4.394,-22.456,-4.291,-4.298
65,14,11.63,-2.299,-32.186,-18.181,-0.353,-4.106,-4.942,-5.02,-27.244,-4.446,-4.458
66,14,11.63,-1.072,-15.008,-11.899,-0.425,-4.943,-5.95,-3.902,-9.058,-6.629,-6.647
67,14,11.63,2.21,30.94,-6.987,-0.51,-5.932,-7.14,-2.232,38.08,-10.441,-10.469
68,14,11.63,5.065,70.91,-4.06,0.238,2.768,3.332,-1.385,67.578,-14.118,-14.161
69,14,11.63,3.786,53.004,-0.948,0.919,10.688,12.866,-0.827,40.138,-18.014,-18.08
70,14,11.63,0.681,9.534,1.734,-0.363,-4.222,-5.082,0.319,14.616,-21.353,-21.453
71,14,11.63,-0.44,-6.16,-0.29,-0.327,-3.803,-4.578,1.792,-1.582,-24.95,-25.098
72,14,11.63,-0.895,-12.53,-4.002,-0.275,-3.198,-3.85,2.703,-8.68,-26.769,-26.987
73,14,11.63,-0.418,-5.852,-9.232,0.636,7.397,8.904,1.564,-14.756,-27.118,-27.435
74,14,11.63,1.735,24.29,-15.689,1.366,15.887,19.124,-2.895,5.166,-29.381,-29.835
75,14,11.63,0.004,0.056,-20.626,1.208,14.05,16.912,-12.032,-16.856,-31.071,-31.714
76,14,11.63,-3.045,-42.63,-24.769,-1.96,-22.796,-27.44,-21.251,-15.19,-35.194,-36.093
77,14,11.63,-3.238,-45.332,-30.228,-4.928,-57.315,-68.992,-29.114,23.66,-36.698,-37.835
78,14,11.63,-2.659,-37.226,-34.441,-5.051,-58.745,-70.714,-38.721,33.488,-36.542,-38.149
79,14,11.63,-1.735,-24.29,-34.773,-2.041,-23.738,-28.574,-47.145,4.284,-31.129,-33.333
80,14,11.63,-5.449,-76.286,-33.844,-2.476,-28.797,-34.664,-51.511,-41.622,-27.475,-30.52
81,14,11.63,-4.546,-63.644,-33.953,-5.269,-61.281,-73.766,-52.292,10.122,-25.833,-29.839
82,14,11.63,-0.62,-8.68,-34.898,-4.08,-47.452,-57.12,-53.804,48.44,-19.702,-24.91
83,14,11.63,-2.234,-31.276,-35.562,-2.996,-34.845,-41.944,-56.576,10.668,-16.303,-23.016
84,14,11.63,-3.328,-46.592,-35.398,-4.917,-57.187,-68.838,-58.254,22.246,-11.559,-20.084
85,14,11.63,-2.715,-38.01,-34.214,-4.581,-53.279,-64.134,-57.21,26.124,-6.772,-17.545
86,14,11.63,-2.475,-34.65,-30.012,-4.611,-53.628,-64.554,-52.898,29.904,-4.202,-17.662
87,14,11.63,-2.071,-28.994,-23.285,-4.011,-46.65,-56.154,-46.034,27.16,-1.093,-17.762
88,14,11.63,-0.912,-12.768,-16.414,-2.97,-34.542,-41.58,-38.754,28.812,0.106,-20.391
89,14,11.63,-0.202,-2.828,-9.272,-2.022,-23.517,-28.308,-30.978,25.48,0.742,-24.186
90,14,11.63,-0.304,-4.256,-1.899,-1.124,-13.073,-15.736,-22.677,11.48,1.493,-28.566
