ws_peak_dam_yr,rod_amplitude,rod_width_domains,avon_north_dam_yr,rmse_p1,rmse_p2,combined_score,pareto_optimal
0.05,-0.6,7,0.55,0.2798,0.3793,0.3296,True
0.05,-0.6,7,0.05,0.2795,0.3872,0.3334,True
0.65,-0.6,4,0.55,0.3445,0.3432,0.3438,True
0.65,-0.6,5,0.55,0.3443,0.3551,0.3497,True
0.65,-0.6,6,0.55,0.3419,0.3642,0.3531,True
0.65,-0.6,5,0.05,0.3441,0.3635,0.3538,True
0.65,-0.6,6,0.05,0.3417,0.3724,0.3571,True
0.65,-0.6,7,0.05,0.3376,0.3786,0.3581,True
