gis_domain,model_v1_m,model_v2_m,model_diff_m,abs_v1_m,abs_v2_m,abs_diff_m
1,6215.78,6194.40,-21.38,8219.85,8198.47,-21.38
2,6194.24,6128.62,-65.61,8198.31,8132.69,-65.61
3,6044.07,6042.22,-1.85,8048.14,8046.29,-1.85
4,5937.82,5921.19,-16.62,7941.89,7925.26,-16.62
5,5771.84,5765.00,-6.84,7775.91,7769.07,-6.84
6,5522.51,5519.84,-2.67,7526.58,7523.91,-2.67
7,5442.92,5442.92,0.00,7446.99,7446.99,0.00
8,5374.93,5374.93,0.00,7379.00,7379.00,0.00
9,5324.00,5324.00,0.00,7328.07,7328.07,0.00
10,5298.66,5261.03,-37.62,7302.73,7265.10,-37.62
11,5215.68,5199.52,-16.16,7219.75,7203.59,-16.16
12,5135.74,5135.36,-0.38,7139.81,7139.43,-0.38
13,5044.97,5044.41,-0.56,7049.04,7048.48,-0.56
14,4938.91,4938.91,0.00,6942.98,6942.98,0.00
15,4851.93,4846.29,-5.64,6856.00,6850.36,-5.64
16,4755.53,4734.32,-21.21,6759.60,6738.39,-21.21
17,4661.44,4661.44,0.00,6665.51,6665.51,0.00
18,4565.81,4565.81,0.00,6569.88,6569.88,0.00
19,4483.05,4483.05,0.00,6487.12,6487.12,0.00
20,4399.40,4397.52,-1.88,6403.47,6401.59,-1.88
21,4285.17,4285.17,0.00,6289.24,6289.24,0.00
22,4157.57,4157.57,0.00,6161.64,6161.64,0.00
23,4045.32,4045.32,0.00,6049.39,6049.39,0.00
24,3940.02,3940.02,0.00,5944.09,5944.09,0.00
25,3834.95,3834.95,0.00,5839.02,5839.02,0.00
26,3751.01,3751.01,0.00,5755.08,5755.08,0.00
27,3647.64,3646.25,-1.39,5651.71,5650.32,-1.39
28,3547.43,3546.29,-1.14,5551.50,5550.36,-1.14
29,3430.44,3428.83,-1.61,5434.51,5432.90,-1.61
30,3330.83,3301.64,-29.19,5334.90,5305.71,-29.19
