domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
1,5,79.664,43.376,34.636,148.568,4.048,2.204,0.0
2,5,-25.454,19.266,-46.713,2.98,-1.293,0.979,80.0
3,5,-35.168,5.874,-44.345,-28.368,-1.787,0.298,100.0
4,5,-19.29,6.893,-28.885,-11.485,-0.98,0.35,100.0
5,5,-17.764,7.121,-22.8,-5.373,-0.903,0.362,100.0
6,5,16.241,12.085,0.775,27.389,0.825,0.614,0.0
7,5,10.561,7.132,5.541,22.204,0.537,0.362,0.0
8,5,13.024,17.87,-10.498,30.291,0.662,0.908,40.0
9,5,5.287,6.367,-5.817,9.675,0.269,0.324,20.0
10,5,-9.788,5.708,-13.431,0.242,-0.497,0.29,80.0
11,5,-44.17,8.625,-51.026,-29.659,-2.244,0.438,100.0
12,5,-34.296,4.057,-39.99,-29.181,-1.743,0.206,100.0
13,5,-33.051,5.593,-40.515,-25.944,-1.679,0.284,100.0
14,5,-11.562,6.204,-21.694,-5.275,-0.588,0.315,100.0
15,5,9.125,9.159,-5.503,19.128,0.464,0.465,20.0
16,5,19.212,13.861,0.326,34.678,0.976,0.704,0.0
17,5,-5.858,6.111,-12.697,-0.534,-0.298,0.311,100.0
18,5,-5.405,5.167,-11.755,1.224,-0.275,0.263,80.0
19,5,-1.962,1.497,-3.118,0.461,-0.1,0.076,80.0
20,5,1.881,4.091,-2.617,7.51,0.096,0.208,40.0
21,5,1.426,4.487,-6.367,5.129,0.072,0.228,20.0
22,5,6.02,4.105,2.544,13.014,0.306,0.209,0.0
23,5,-3.621,3.15,-8.314,-0.68,-0.184,0.16,100.0
24,5,-2.196,3.138,-7.108,1.082,-0.112,0.159,80.0
25,5,-7.1,6.999,-15.496,0.045,-0.361,0.356,80.0
26,5,-13.067,7.503,-22.754,-2.28,-0.664,0.381,100.0
27,5,4.723,8.84,-5.735,11.192,0.24,0.449,40.0
28,5,20.743,13.497,5.65,35.674,1.054,0.686,0.0
29,5,51.739,7.327,41.18,60.386,2.629,0.372,0.0
30,5,72.798,4.137,66.764,78.014,3.699,0.21,0.0
31,5,68.704,2.688,64.967,72.11,3.491,0.137,0.0
32,5,68.334,11.234,54.852,78.011,3.472,0.571,0.0
33,5,61.751,7.599,52.259,72.231,3.138,0.386,0.0
34,5,60.68,8.641,53.693,75.536,3.083,0.439,0.0
35,5,63.128,14.613,50.762,86.365,3.208,0.743,0.0
36,5,47.38,3.51,43.84,52.399,2.408,0.178,0.0
37,5,26.353,21.458,3.469,50.447,1.339,1.09,0.0
38,5,-3.51,14.128,-21.145,13.098,-0.178,0.718,60.0
39,5,-16.736,3.493,-20.596,-11.62,-0.85,0.177,100.0
40,5,-19.696,5.379,-23.319,-10.744,-1.001,0.273,100.0
41,5,-17.323,3.506,-21.291,-12.969,-0.88,0.178,100.0
42,5,-15.965,5.945,-21.818,-8.95,-0.811,0.302,100.0
43,5,-14.109,2.976,-17.221,-9.369,-0.717,0.151,100.0
44,5,-25.862,6.633,-32.13,-17.296,-1.314,0.337,100.0
45,5,-35.93,4.423,-41.404,-30.796,-1.826,0.225,100.0
46,5,-35.482,2.547,-38.227,-31.961,-1.803,0.129,100.0
47,5,-32.716,2.89,-36.561,-28.976,-1.662,0.147,100.0
48,5,-33.296,8.879,-48.118,-26.237,-1.692,0.451,100.0
49,5,-52.707,4.321,-59.439,-48.872,-2.678,0.22,100.0
50,5,-80.66,8.458,-88.626,-71.608,-4.099,0.43,100.0
51,5,-98.54,7.169,-107.326,-88.21,-5.007,0.364,100.0
52,5,-104.081,7.351,-112.538,-95.29,-5.289,0.374,100.0
53,5,-101.603,5.709,-109.886,-94.414,-5.163,0.29,100.0
54,5,-103.156,3.791,-107.965,-98.441,-5.242,0.193,100.0
55,5,-69.999,30.524,-96.157,-25.457,-3.557,1.551,100.0
56,5,-3.979,9.287,-17.021,4.633,-0.202,0.472,60.0
57,5,-16.877,6.881,-25.756,-7.171,-0.858,0.35,100.0
58,5,-21.801,7.786,-30.398,-11.698,-1.108,0.396,100.0
59,5,-2.413,1.981,-4.972,0.555,-0.123,0.101,80.0
60,5,-13.802,6.854,-21.281,-6.164,-0.701,0.348,100.0
61,5,-16.105,4.783,-20.437,-8.777,-0.818,0.243,100.0
62,5,-9.312,3.784,-13.88,-3.381,-0.473,0.192,100.0
63,5,-6.988,4.936,-14.134,-2.192,-0.355,0.251,100.0
64,5,3.696,6.274,-1.391,13.659,0.188,0.319,40.0
65,5,-8.231,4.1,-13.824,-3.588,-0.418,0.208,100.0
66,5,4.924,13.962,-13.066,21.755,0.25,0.709,40.0
67,5,6.585,5.65,-0.966,13.183,0.335,0.287,20.0
68,5,-6.106,3.586,-8.969,0.155,-0.31,0.182,80.0
69,5,-13.703,2.523,-17.3,-10.804,-0.696,0.128,100.0
70,5,-11.029,1.936,-14.041,-9.217,-0.56,0.098,100.0
71,5,-14.754,3.325,-18.703,-10.268,-0.75,0.169,100.0
72,5,-35.769,12.57,-52.691,-24.38,-1.818,0.639,100.0
73,5,-60.671,5.078,-65.971,-53.304,-3.083,0.258,100.0
74,5,-41.173,14.424,-58.788,-26.374,-2.092,0.733,100.0
75,5,-14.214,6.584,-24.203,-6.166,-0.722,0.335,100.0
76,5,-0.668,4.419,-7.048,4.194,-0.034,0.225,40.0
77,5,-22.813,17.995,-46.971,-3.085,-1.159,0.914,100.0
78,5,-56.599,4.55,-61.149,-49.116,-2.876,0.231,100.0
79,5,-66.178,9.731,-79.867,-53.075,-3.363,0.494,100.0
80,5,-60.89,4.159,-65.234,-54.618,-3.094,0.211,100.0
81,5,-63.394,10.881,-78.357,-50.444,-3.221,0.553,100.0
82,5,-57.774,10.06,-69.342,-45.447,-2.936,0.511,100.0
83,5,-42.898,11.356,-61.772,-31.466,-2.18,0.577,100.0
84,5,-60.702,11.431,-76.925,-46.453,-3.085,0.581,100.0
85,5,-80.215,3.632,-84.499,-76.21,-4.076,0.185,100.0
86,5,-67.02,10.675,-81.368,-54.786,-3.406,0.542,100.0
87,5,-44.376,3.697,-48.385,-39.445,-2.255,0.188,100.0
88,5,-31.88,6.355,-36.926,-21.191,-1.62,0.323,100.0
89,5,-13.819,5.609,-21.671,-7.914,-0.702,0.285,100.0
90,5,-9.782,6.926,-17.159,-0.146,-0.497,0.352,100.0
