gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,0.08463552318198708,0.0215806913651928,0.005316031049199643
2,-0.4622829559587444,-0.3066560352565951,0.32710579122792793
3,-0.5433969033556423,-0.4818552705510956,0.503939332136994
4,-0.6106292643236884,-0.5734396280449706,0.5218557930735156
5,-1.0750331947126142,-0.6331377772488439,0.4046076101875168
6,-0.868251049063565,-0.9340524561835449,0.9456523267335624
7,-0.7776719221256826,-0.8085220076138825,0.9908141837540656
8,-0.5196232284107282,-0.6526986152946681,0.9732385154822082
9,-0.3861544439742829,-0.5211202370109189,0.9441777269221517
10,-0.3429689300372047,-0.42789336280030354,0.9409719252744103
11,-0.39617646706501547,-0.368394194321642,0.9575063292054931
12,-0.29822126523131376,-0.2863767414328369,0.9256438910157518
13,-0.2462148162639096,-0.214553433799476,0.8492298726290668
14,-0.1431118575088476,-0.13544219977817273,0.5954581602125689
15,0.04221336838072602,-0.05060887098025746,0.08346563173474164
16,0.1605221735804662,0.0027403628447023698,0.00015804727774482163
17,-0.06403537365085868,-0.023960587849210038,0.028419451770580362
18,-0.09423625257732056,-0.033133617830583065,0.056324669566756635
19,0.02456930749085586,-0.024989932624497307,0.026372792746775175
20,0.057613050375402965,-0.04583294247744834,0.06298637021612996
21,-0.03787498129686355,-0.11140096686353493,0.35822856558928884
22,-0.16755836941456437,-0.1932305043972742,0.7542978371456961
23,-0.289224130731327,-0.27030296969854134,0.9130265802172222
24,-0.4404188762738158,-0.33891092168821946,0.922690900367876
25,-0.4485037961917442,-0.3728179618597684,0.9462479344976698
26,-0.42005868377691513,-0.390687515387432,0.9438518657670527
27,-0.3123325953884887,-0.3961242670319711,0.8704935546066032
28,-0.3467266860417112,-0.43008784089988694,0.849314430376986
29,-0.35256329940448267,-0.4612581918267863,0.8293423883210966
30,-0.3298340184212066,-0.5002833368314881,0.8144645463390221
31,-0.3985075869378306,-0.5590259443136006,0.8691893975638252
32,-0.5144732754366487,-0.6539759000101165,0.9372102794555833
33,-0.7277516835449205,-0.7942011233645403,0.9917939517281081
34,-1.0054415272245023,-0.9600804577620452,0.9953551327418972
35,-1.153918954256278,-1.0964008179842821,0.9823854922493894
36,-1.35904220847342,-1.2226123175847323,0.9617881265445408
37,-1.5237218397286596,-1.306645447707594,0.9426003053354152
38,-1.495457372427154,-1.3119099456697012,0.9456564619104685
39,-1.4035086924845928,-1.259087560885003,0.9555084563121835
40,-1.2251804051601538,-1.1507974267553116,0.972242679931139
41,-1.0064825780850697,-1.00860613890204,0.9876715809269546
42,-0.8045757756647618,-0.8595015884989388,0.9944125649315463
43,-0.6335015831343298,-0.7177865077085177,0.9918139422313407
44,-0.5705387839778269,-0.5999257906299226,0.9952233025943471
45,-0.4342315604094438,-0.47417882653336657,0.9825684250814717
46,-0.32134329957434604,-0.3607529148991717,0.9551332878549595
47,-0.2492804703513684,-0.26158657112729117,0.9155800861435324
48,-0.15141131875579958,-0.16401415894106805,0.7724711662066002
49,-0.0635184962443418,-0.07528358354038163,0.3748111963690077
50,-0.014887011641985737,0.0034719434545091524,0.0012032201517673258
51,0.06781487829948674,0.08412721088534796,0.35590616323974733
52,0.1605360669789661,0.16001279155394654,0.5961442429985168
53,0.25981329860223923,0.22435311192171178,0.6680400004316633
54,0.22653121916100644,0.2515451641122486,0.7394894637444387
55,0.3025413870660486,0.2810084787550191,0.7463519868626962
56,0.3868861773893514,0.29590304221243063,0.6966827064876397
57,0.29975079457817627,0.2613663534180515,0.7136643645572649
58,0.21091578013138132,0.2073059975094586,0.6776542076221508
59,0.21073021547526877,0.15495442096218898,0.5273982421174848
60,0.05275927273605703,0.06573318632233702,0.2569209904370525
61,-0.007152662942917232,-0.013762858433939318,0.01679277817285052
62,-0.15074450356660235,-0.11075465254912141,0.5639197768164483
63,-0.2010028560545834,-0.19447788657295165,0.7777336488986818
64,-0.2023978345919204,-0.2771992253335571,0.7959158242861393
65,-0.2935608506229073,-0.3912389679174322,0.8610801450179886
66,-0.3780267145977632,-0.5282254309492226,0.8994918866714711
67,-0.6207321963250252,-0.7197934961482348,0.9737799089514554
68,-0.965992902567723,-0.9559181446558905,0.9996048380598884
69,-1.274264724942168,-1.1894584250657778,0.9943867858263289
70,-1.4435450646672507,-1.3911393915311798,0.9941048207958444
71,-1.6553171420448962,-1.5877802128712513,0.9922147563548499
72,-1.871289637746213,-1.7713462432949993,0.990816609971263
73,-2.0212426089864493,-1.9242030049462633,0.9920355619971546
74,-2.050331272561107,-2.0346255397748876,0.9958477236176679
75,-2.074296356175273,-2.136273826031534,0.9968988285518305
76,-2.1671573415856984,-2.249159428984577,0.9965836823968756
77,-2.3291488740503157,-2.371385904162626,0.9951164835569964
78,-2.5865301039219957,-2.4792578407238683,0.9875483591010068
79,-2.581123824947099,-2.4869146768641914,0.9866288966515913
80,-2.4460251836313547,-2.4160121481205494,0.9869331134818145
81,-2.2183213879773573,-2.283287781894904,0.9917937271053838
82,-2.040347538223796,-2.1351376826826813,0.9935075008516316
83,-1.7997294811206301,-1.954079752388215,0.9919110547551656
84,-1.7282588741238214,-1.7970878090776894,0.9894480539651221
85,-1.653902193596241,-1.6740068913364472,0.979891140094383
86,-1.5069475709225117,-1.5750446650469117,0.9604466000910583
87,-1.4260618760687975,-1.537445687771698,0.9378925089631005
88,-1.5253515967754538,-1.5959798275226722,0.9323884344564627
89,-1.6207495826227387,-1.7240883246144922,0.9298443070824202
90,-1.8268166921380726,-1.946260650272516,0.9383856987375678
