ws_peak_dam_yr,rod_amplitude,rod_width_domains,avon_north_dam_yr,rmse_p1,rmse_p2,combined_score,pareto_optimal
0.05,-0.6,7,0.55,0.2395,0.3204,0.2799,True
0.05,-0.6,7,0.05,0.2393,0.3259,0.2826,True
0.65,-0.6,5,0.55,0.287,0.3042,0.2956,True
0.65,-0.6,5,0.05,0.2868,0.31,0.2984,True
0.65,-0.6,6,0.05,0.2857,0.3156,0.3006,True
0.65,-0.6,7,0.05,0.2835,0.3195,0.3015,True
