gis,historical_year,modelled_first_year,error_years,n_relocations,managed,outcome,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,1999,,,0,True,never relocated,0.0,2002.0,0.0,10.0,3.0,0.0
10,1999,1999.0,0.0,1,True,relocated,,,,,,
11,1999,1994.0,-5.0,1,True,relocated,,,,,,
12,1999,,,0,True,never relocated,0.0,2002.0,0.0,10.0,3.0,0.0
13,1999,,,0,True,never relocated,0.0,2003.0,0.0,10.0,2.0,0.0
14,1999,,,0,True,never relocated,40.0,2004.0,4.0,50.0,1.0,40.0
84,1989,,,0,True,never relocated,5.0,2000.0,0.0,15.0,5.0,5.0
85,1989,1997.0,8.0,1,True,relocated,,,,,,
86,1989,2001.0,12.0,1,True,relocated,,,,,,
87,1989,,,0,True,never relocated,50.0,1984.0,5.0,60.0,21.0,50.0
