domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
1,0,,96.545,124.745,28.2
2,0,,56.694,69.444,12.75
3,0,,48.173,53.065,4.892
4,0,,46.35,40.245,-6.105
5,0,,33.75,21.084,-12.666
6,0,,-15.825,-22.725,-6.9
7,0,,-2.351,-17.734,-15.383
8,0,,22.024,-7.939,-29.963
9,0,,36.998,8.16,-28.838
10,0,,52.137,28.552,-23.585
11,0,,56.67,37.623,-19.047
12,0,,49.434,29.175,-20.259
13,0,,39.596,22.78,-16.816
14,0,,50.446,42.683,-7.763
15,0,,50.194,54.639,4.445
16,0,,38.587,38.103,-0.484
17,0,,41.735,38.928,-2.807
18,0,,47.194,42.598,-4.596
19,0,,46.302,45.558,-0.744
20,0,,45.123,37.628,-7.495
21,0,,23.341,13.754,-9.587
22,0,,-0.366,-10.768,-10.402
23,0,,-8.154,-17.18,-9.026
24,0,,9.867,7.888,-1.979
25,0,,6.193,6.803,0.61
26,0,,4.084,6.511,2.427
27,0,,-8.224,-21.431,-13.207
28,0,,31.227,2.686,-28.541
29,0,,64.994,42.33,-22.664
30,0,,64.418,59.835,-4.583
31,0,,35.25,45.363,10.113
32,0,,31.567,24.843,-6.724
33,0,,35.511,11.245,-24.266
34,0,,53.276,30.618,-22.658
35,0,,48.5,39.303,-9.197
36,0,,34.848,30.925,-3.923
37,0,,14.283,12.275,-2.008
38,0,,13.463,-0.86,-14.323
39,0,,19.61,3.559,-16.051
40,0,,11.692,2.553,-9.139
41,0,,10.831,-1.563,-12.394
42,0,,1.863,-0.703,-2.566
43,0,,4.23,11.768,7.538
44,0,,0.977,6.778,5.801
45,0,,-1.529,-1.812,-0.283
46,0,,-13.922,-20.936,-7.014
47,0,,-0.513,-6.517,-6.004
48,0,,1.265,0.626,-0.639
49,0,,-10.507,-8.702,1.805
50,0,,-18.973,-15.222,3.751
51,0,,-18.345,-20.728,-2.383
52,0,,-25.31,-40.04,-14.73
53,0,,-17.387,-19.615,-2.228
54,0,,-18.397,-14.32,4.077
55,0,,-14.523,-12.313,2.21
56,0,,-7.098,-9.375,-2.277
57,0,,4.052,3.888,-0.164
58,0,,8.635,4.452,-4.183
59,0,,6.091,-1.402,-7.493
60,0,,-3.518,-1.941,1.577
61,0,,-15.626,-7.06,8.566
62,0,,-17.464,-24.804,-7.34
63,0,,20.173,20.871,0.698
64,0,,31.806,30.488,-1.318
65,0,,40.667,39.804,-0.863
66,0,,67.192,66.931,-0.261
67,0,,54.971,58.739,3.768
68,0,,23.188,19.216,-3.972
69,0,,21.135,13.777,-7.358
70,0,,26.924,23.989,-2.935
71,0,,20.005,5.364,-14.641
72,0,,24.532,16.785,-7.747
73,0,,5.641,18.068,12.427
74,0,,-12.345,-16.789,-4.444
75,0,,0.865,-9.112,-9.977
76,0,,-8.66,-15.807,-7.147
77,0,,-29.765,-16.896,12.869
78,0,,-49.381,-33.19,16.191
79,0,,-12.035,-14.049,-2.014
80,0,,-1.967,-8.184,-6.217
81,0,,-2.238,-13.697,-11.459
82,0,,-24.116,-36.702,-12.586
83,0,,-17.592,-18.038,-0.446
84,0,,-5.811,1.199,7.01
85,0,,-1.682,2.551,4.233
86,0,,2.033,7.181,5.148
87,0,,11.109,15.911,4.802
88,0,,28.329,17.897,-10.432
89,0,,24.724,25.283,0.559
90,0,,26.769,29.17,2.401
1,3,1.5,96.545,124.745,28.2
2,3,1.5,56.694,69.444,12.75
3,3,1.5,48.173,53.065,4.892
4,3,1.5,46.35,40.245,-6.105
5,3,1.5,33.75,21.084,-12.665
6,3,1.5,-15.825,-22.725,-6.9
7,3,1.5,-2.351,-17.734,-15.383
8,3,1.5,22.024,-7.939,-29.963
