domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
1,9,2.7908,3.986,3.0648,5.0943,0.0,25.0,23.0,27.0,2000.0,0.0,28.0,28.0,28.0,1997.0,0.0,21.0,21.0,22.0,2004.0,0.0,20.0,20.0,21.0,2005.0,0.0,22.0,21.0,23.0,2003.0,0.0,21.0,20.0,21.0,2004.0,0.0,20.0,20.0,21.0,2005.0
2,11,2.5167,1.4429,1.3164,1.7652,0.0,29.0,29.0,29.0,1996.0,0.0,28.0,28.0,29.0,1997.0,0.0,18.0,18.0,19.0,2007.0,0.0,18.0,18.0,18.0,2007.0,0.0,18.0,18.0,19.0,2007.0,0.0,17.0,17.0,17.0,2008.0,0.0,18.0,18.0,18.0,2007.0
3,10,2.475,0.9716,0.9513,1.0142,0.0,28.5,28.0,29.0,1996.5,0.0,23.0,22.0,23.0,2002.0,0.0,21.0,18.0,21.0,2004.0,0.0,21.0,21.0,21.0,2004.0,0.0,21.0,18.0,21.0,2004.0,0.7,15.0,14.25,15.75,2010.0,0.0,22.0,21.25,22.0,2003.0
4,13,1.9336,1.3505,1.2354,1.585,0.0,26.0,26.0,26.0,1999.0,0.0,23.0,23.0,26.0,2002.0,0.0,22.0,19.0,23.0,2003.0,0.0,21.0,19.0,21.0,2004.0,0.0,20.0,19.0,21.0,2005.0,0.0,17.0,17.0,17.0,2008.0,0.0,22.0,21.0,22.0,2003.0
5,13,0.7255,1.7999,1.2489,1.9489,0.0,25.0,25.0,25.0,2000.0,0.0,25.0,23.0,25.0,2000.0,0.0,25.0,25.0,28.0,2000.0,0.0,21.0,20.0,21.0,2004.0,0.0,21.0,21.0,21.0,2004.0,0.1538,20.0,18.0,20.0,2005.0,0.0,21.0,21.0,23.0,2004.0
6,6,-1.867,0.1309,-0.0948,0.5595,0.1667,23.5,21.25,25.0,2001.5,0.6667,17.0,12.75,19.75,2008.0,0.6667,13.5,9.75,19.5,2011.5,0.6667,13.0,9.75,16.25,2012.0,0.6667,12.0,7.25,16.0,2013.0,1.0,9.0,6.5,10.75,2016.0,0.6667,12.0,6.5,15.25,2013.0
7,4,-1.2508,1.2408,0.951,1.4356,0.0,24.0,23.75,24.0,2001.0,0.0,23.5,23.0,24.0,2001.5,0.0,23.5,21.5,24.0,2001.5,0.25,23.0,20.75,23.0,2002.0,0.25,23.0,20.5,23.0,2002.0,0.25,17.5,14.0,18.25,2007.5,0.25,23.0,20.0,23.0,2002.0
8,8,-0.248,1.8403,1.8012,1.9134,0.0,24.0,23.75,24.0,2001.0,0.0,24.0,23.75,24.0,2001.0,0.0,28.5,24.75,29.0,1996.5,0.0,22.0,21.75,22.0,2003.0,0.0,23.0,22.75,23.0,2002.0,0.0,20.0,18.75,20.25,2005.0,0.0,22.0,22.0,22.25,2003.0
9,9,0.1399,2.4773,2.472,2.5726,0.0,25.0,25.0,26.0,2000.0,0.0,25.0,25.0,25.0,2000.0,0.0,29.0,29.0,29.0,1996.0,0.0,23.0,23.0,23.0,2002.0,0.0,24.0,24.0,24.0,2001.0,0.0,21.0,21.0,21.0,2004.0,0.0,24.0,24.0,25.0,2001.0
10,10,0.7976,3.077,2.8501,3.1552,0.0,27.0,27.0,27.75,1998.0,0.0,25.5,25.0,26.75,1999.5,0.0,28.0,28.0,28.0,1997.0,0.0,24.0,23.0,24.0,2001.0,0.0,24.0,24.0,24.0,2001.0,0.0,22.0,21.25,22.0,2003.0,0.0,25.0,24.0,25.0,2000.0
11,10,0.7798,3.2176,3.0966,3.4557,0.0,28.0,28.0,28.75,1997.0,0.0,27.0,27.0,27.0,1998.0,0.0,29.0,28.25,29.0,1996.0,0.0,25.0,24.25,25.0,2000.0,0.0,25.0,25.0,25.0,2000.0,0.0,23.0,23.0,23.0,2002.0,0.0,25.0,25.0,25.0,2000.0
12,10,0.5903,2.9926,2.7241,3.0754,0.0,28.0,28.0,28.0,1997.0,0.0,27.0,27.0,27.0,1998.0,0.0,29.0,29.0,29.0,1996.0,0.0,24.0,24.0,25.0,2001.0,0.0,25.0,25.0,25.0,2000.0,0.0,23.0,23.0,23.0,2002.0,0.0,25.0,25.0,25.0,2000.0
13,11,0.5372,2.337,2.1097,2.371,0.0,27.0,27.0,28.0,1998.0,0.0,26.0,26.0,26.5,1999.0,0.0,29.0,28.0,29.0,1996.0,0.0,24.0,24.0,24.0,2001.0,0.0,24.0,24.0,24.5,2001.0,0.0,22.0,22.0,23.0,2003.0,0.0,25.0,25.0,25.0,2000.0
14,10,1.0596,2.4918,2.3688,2.7868,0.0,28.0,28.0,28.0,1997.0,0.0,27.0,26.25,27.0,1998.0,0.0,27.0,27.0,27.0,1998.0,0.0,24.0,24.0,24.0,2001.0,0.0,24.0,24.0,24.0,2001.0,0.0,22.5,22.0,23.0,2002.5,0.0,25.0,24.25,25.0,2000.0
15,10,1.288,2.4602,1.9905,2.5759,0.0,25.0,25.0,27.75,2000.0,0.0,25.0,24.0,25.0,2000.0,0.0,25.0,24.0,25.0,2000.0,0.0,23.0,23.0,23.75,2002.0,0.0,23.0,23.0,23.75,2002.0,0.0,21.5,19.0,22.75,2003.5,0.0,24.0,23.0,24.75,2001.0
