domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,usa_NC_0032_0021,usa_NC_0032_0021,backward,1996_2024,3.157,0.4865,509,2010_2024,9.0707,1.4676,5.9137,False,False,False,False,False,False,False,2000,2000,25,1997,1997,28,2001,2001,24,2004,2004,21,2000,2000,25,2003,2003,22,2003,2003,22
1,usa_NC_0032_0022,usa_NC_0032_0022,backward,1996_2024,3.1842,0.4598,522,2010_2024,8.7647,1.3595,5.5805,False,False,False,False,False,False,False,2001,2001,24,1997,1997,28,2002,2002,23,2004,2004,21,2001,2001,24,2003,2003,22,2004,2004,21
1,usa_NC_0032_0023,usa_NC_0032_0023,backward,1996_2024,2.8737,0.4205,510,2010_2024,7.968,1.2854,5.0943,False,False,False,False,False,False,False,2002,2002,23,2001,1997,28,2003,2003,22,2004,2004,21,2002,2002,23,2004,2004,21,2004,2004,21
1,usa_NC_0032_0024,usa_NC_0032_0024,backward,1996_2024,2.8488,0.3913,514,2010_2024,7.224,1.1591,4.3752,False,False,False,False,False,False,False,2002,2002,23,2001,1997,28,2003,2003,22,2004,2004,21,2003,2003,22,2004,2004,21,2004,2004,21
1,usa_NC_0032_0025,usa_NC_0032_0025,backward,1996_2024,2.7908,0.3518,521,2010_2024,6.7768,1.0311,3.986,False,False,False,False,False,False,False,2002,2002,23,2001,1997,28,2004,2004,21,2005,2005,20,2003,2003,22,2004,2004,21,2005,2005,20
1,usa_NC_0032_0026,usa_NC_0032_0026,backward,1996_2024,2.7617,0.3239,518,2010_2024,6.3566,0.9411,3.5949,False,False,False,False,False,False,False,2003,1998,27,2002,1997,28,2004,2004,21,2005,2005,20,2004,2004,21,2005,2005,20,2005,2005,20
1,usa_NC_0032_0027,usa_NC_0032_0027,backward,1996_2024,2.6717,0.3015,520,2010_2024,5.7365,0.8644,3.0648,False,False,False,False,False,False,False,2003,1998,27,2003,1997,28,2004,2004,21,2005,2005,20,2004,2004,21,2005,2005,20,2005,2005,20
1,usa_NC_0032_0028,usa_NC_0032_0028,backward,1996_2024,2.6677,0.285,514,2010_2024,5.322,0.8216,2.6543,False,False,False,False,False,False,False,2003,1997,28,2003,1997,28,2004,2004,21,2005,2005,20,2004,2004,21,2006,2006,19,2005,2005,20
1,usa_NC_0032_0029,usa_NC_0032_0029,backward,1996_2024,2.6343,0.2595,516,2010_2024,4.8452,0.7332,2.2109,False,False,False,False,False,False,False,2004,1997,28,2004,1997,28,2005,2005,20,2006,2006,19,2004,2004,21,2007,2007,18,2007,2007,18
2,usa_NC_0032_0030,usa_NC_0032_0030,backward,1996_2024,2.663,0.2425,516,2010_2024,4.542,0.6792,1.879,False,False,False,False,False,False,False,2004,1997,28,2004,1997,28,2006,2006,19,2007,2007,18,2006,2006,19,2007,2007,18,2007,2007,18
