gis_domain,change_rate_m_yr
1,0.4169369641464982
2,-0.09032587851770586
3,-0.1300615555859622
4,-0.16608651295791788
5,-0.5979765468944607
6,-1.2472760155563265
7,-1.1788916887217966
8,-0.9342346987777091
9,-0.8209755538291574
10,-0.7981727721878997
11,-0.8870251164989895
12,-0.7642441381864046
13,-0.7058427232789655
14,-0.601284835585011
15,-0.41759570024969433
16,-0.26648959679687323
17,-0.48772730097825845
18,-0.49563957320951885
19,-0.3536132063363766
20,-0.30360918700844197
21,-0.360379606744209
22,-0.46013912345442803
23,-0.5567634004599313
24,-0.6903015363170197
25,-0.6634281487131375
26,-0.6056515061215577
27,-0.474467780444229
28,-0.4862323494784505
29,-0.4952330092389275
30,-0.4649594492394499
31,-0.5374922438413705
32,-0.6502100082178913
33,-0.8712792130333582
34,-1.1462753238780352
35,-1.3032516266779566
36,-1.510823299567346
37,-1.6736430803285658
38,-1.6491992836354257
39,-1.5678146451472457
40,-1.4072523090115283
41,-1.216657108957952
42,-1.0484987112534327
43,-0.9106514578587849
44,-0.8781572943311403
45,-0.7661166906050312
46,-0.6669853211431473
47,-0.6138798174520161
48,-0.5269968375057943
49,-0.4454453972453848
50,-0.40031381101243824
51,-0.33234663247903884
52,-0.23051507892178053
53,-0.1405424448784288
54,-0.15578623729197716
55,-0.07376052284662364
56,0.021811424726638506
57,-0.040591992733516234
58,-0.09395873696585114
59,-0.07078851394626326
60,-0.19314941194643326
61,-0.21628468089638772
62,-0.324779540185682
63,-0.34779709305976214
64,-0.33055838435557233
65,-0.4105831417979061
66,-0.4906216493529428
67,-0.7347030082373749
68,-1.0827543119107759
69,-1.4004179428848147
70,-1.5865989383084524
71,-1.8228932867908951
72,-2.070459078845579
73,-2.259023904473088
74,-2.3338685257095677
75,-2.409721162465485
76,-2.56824058775328
77,-2.761879302131456
78,-3.047638331267444
79,-3.07705578754767
80,-2.975282663544385
81,-2.793996075562427
82,-2.649789949713977
83,-2.450846936165817
84,-2.427044852275594
85,-2.3750959037728534
86,-2.2123636204878494
87,-2.0521222708233835
88,-2.020453877921682
89,-2.021687676457259
90,-2.1579590517772886
