domain_number,interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_projected_change_m,n_dune_transects,duneline_change_m,beach_width_change_m
1,25.7166,9,2.843,73.121,5,14.522,58.599
2,25.7166,11,2.527,64.987,5,-36.86,101.847
3,25.7166,10,2.464,63.357,5,-13.153,76.51
4,25.7166,13,1.919,49.359,5,7.132,42.227
5,25.7166,13,0.821,21.103,5,10.11,10.993
6,25.7166,6,-1.388,-35.698,5,-36.613,0.915
7,25.7166,4,-1.314,-33.787,5,-65.874,32.087
8,25.7166,8,-0.324,-8.321,5,-51.757,43.436
9,25.7166,9,0.137,3.527,5,-37.421,40.948
10,25.7166,10,0.714,18.369,5,-40.522,58.891
11,25.7166,10,0.792,20.355,5,-43.223,63.578
12,25.7166,10,0.617,15.866,5,-46.537,62.403
13,25.7166,11,0.564,14.504,5,-41.629,56.133
14,25.7166,10,1.057,27.18,5,-12.647,39.827
15,25.7166,10,1.252,32.205,5,3.13,29.075
16,25.7166,10,1.033,26.575,5,13.163,13.412
17,25.7166,10,1.308,33.626,5,9.712,23.914
18,25.7166,10,1.678,43.148,5,12.967,30.181
19,25.7166,10,1.833,47.15,5,26.865,20.285
20,25.7166,10,1.197,30.788,5,22.278,8.51
21,25.7166,11,-0.043,-1.107,5,1.634,-2.741
22,25.7166,10,-0.843,-21.671,5,-35.339,13.668
23,25.7166,10,-1.863,-47.914,5,-65.696,17.782
24,25.7166,10,-2.273,-58.446,5,-73.337,14.891
25,25.7166,10,-2.477,-63.698,5,-66.919,3.221
26,25.7166,10,-1.547,-39.777,5,-40.78,1.003
27,25.7166,10,0.007,0.175,5,-5.956,6.131
28,25.7166,10,1.902,48.92,5,29.791,19.129
29,25.7166,10,2.921,75.122,5,39.549,35.573
30,25.7166,10,3.173,81.601,5,48.508,33.093
31,25.7166,11,2.595,66.73,5,54.589,12.141
32,25.7166,10,1.48,38.069,5,54.16,-16.091
33,25.7166,11,1.353,34.807,5,43.007,-8.2
34,25.7166,10,1.816,46.694,5,16.713,29.981
35,25.7166,11,0.6,15.426,5,-39.526,54.952
36,25.7166,10,0.006,0.152,5,-19.359,19.511
37,25.7166,11,-0.121,-3.102,5,-22.721,19.619
38,25.7166,10,0.129,3.312,5,-17.471,20.783
39,25.7166,10,0.205,5.267,5,-14.649,19.916
40,25.7166,10,0.334,8.592,5,-26.896,35.488
41,25.7166,10,0.611,15.713,5,-11.779,27.492
42,25.7166,10,0.393,10.097,5,-5.008,15.105
43,25.7166,10,0.19,4.887,5,-3.602,8.489
44,25.7166,10,0.061,1.568,5,-3.203,4.771
45,25.7166,10,-0.504,-12.956,5,-4.505,-8.451
46,25.7166,10,-1.094,-28.123,5,-10.683,-17.44
47,25.7166,10,-1.028,-26.442,5,-24.957,-1.485
48,25.7166,10,-0.401,-10.308,5,-17.797,7.489
49,25.7166,10,-0.293,-7.526,5,-6.797,-0.729
50,25.7166,10,-0.591,-15.208,5,-19.884,4.676
51,25.7166,10,-0.663,-17.05,5,-30.351,13.301
52,25.7166,10,-0.896,-23.042,5,-38.706,15.664
53,25.7166,10,-0.987,-25.375,5,-38.237,12.862
54,25.7166,10,-0.853,-21.932,5,-24.811,2.879
55,25.7166,10,-0.449,-11.544,5,-34.057,22.513
56,25.7166,11,-0.205,-5.281,5,-9.01,3.729
57,25.7166,10,-0.004,-0.11,5,1.546,-1.656
58,25.7166,10,0.314,8.074,5,-9.718,17.792
59,25.7166,10,0.247,6.353,5,-5.469,11.822
60,25.7166,10,-0.562,-14.441,5,-5.285,-9.156
61,25.7166,10,-1.299,-33.398,5,-4.503,-28.895
62,25.7166,10,-1.546,-39.746,5,-13.112,-26.634
63,25.7166,10,-0.816,-20.992,5,-29.226,8.234
64,25.7166,10,-0.161,-4.131,5,-10.688,6.557
65,25.7166,10,0.478,12.285,5,2.58,9.705
66,25.7166,11,2.142,55.081,5,16.435,38.646
67,25.7166,10,2.771,71.262,5,24.45,46.812
68,25.7166,10,2.263,58.196,5,27.165,31.031
69,25.7166,10,1.529,39.325,5,24.315,15.01
70,25.7166,10,0.842,21.658,5,12.19,9.468
71,25.7166,10,0.687,17.678,5,2.578,15.1
72,25.7166,10,1.018,26.186,5,17.783,8.403
73,25.7166,10,1.056,27.165,5,36.96,-9.795
74,25.7166,10,0.39,10.024,5,25.999,-15.975
75,25.7166,10,-0.937,-24.101,5,-2.65,-21.451
76,25.7166,10,-1.954,-50.262,5,-43.965,-6.297
77,25.7166,10,-1.734,-44.582,5,-79.613,35.031
78,25.7166,10,-1.936,-49.783,5,-90.43,40.647
79,25.7166,10,-1.62,-41.663,5,-39.467,-2.196
80,25.7166,10,-2.516,-64.706,5,-45.377,-19.329
81,25.7166,10,-1.883,-48.418,5,-59.145,10.727
82,25.7166,10,-1.489,-38.297,5,-48.591,10.294
83,25.7166,10,-2.126,-54.671,5,-70.302,15.631
84,25.7166,11,-1.587,-40.812,5,-79.329,38.517
85,25.7166,12,-1.038,-26.706,5,-48.922,22.216
86,25.7166,12,-0.544,-13.981,5,-44.43,30.449
87,25.7166,11,0.032,0.817,5,-42.403,43.22
88,25.7166,10,1.004,25.822,5,-19.536,45.358
89,25.7166,9,1.182,30.404,5,-4.577,34.981
90,25.7166,10,1.194,30.712,5,2.857,27.855
