window,smooth,step,run_tag,resid_gis1,resid_gis90,next_override
1996,coastsat,0,,0.388,-1.652,"1=28.0,90=22.5"
2010,coastsat,0,,4.035,0.701,"1=37.9,90=25.2"
1996,coastsat,1,2026-09-19-edgesolve-lrr1996_2024/coastsat/step1,-0.068,-0.226,"1=28.6,90=24.5"
2010,coastsat,1,2026-09-19-edgesolve-lrr1996_2024/coastsat/step1,0.106,-0.022,"1=37.0,90=25.4"
1996,coastsat,2,2026-09-19-edgesolve-lrr1996_2024/coastsat/step2,0.017,0.002,"1=28.5,90=24.5"
2010,coastsat,2,2026-09-19-edgesolve-lrr1996_2024/coastsat/step2,-0.018,0.005,"1=37.1,90=25.4"
1996,coastsat,3,2026-09-19-edgesolve-lrr1996_2024/coastsat/step3,0.004,0.002,1=28.5
2010,coastsat,3,2026-09-19-edgesolve-lrr1996_2024/coastsat/step3,0.003,0.005,1=37.1
