period,arm,domains,drowned,relocation_blocked,relocations,overwash_removed_m3,dunes_rebuilt
1984-2004,free,6,0,0,1,45396.37631338871,7
1984-2004,prescribed,6,0,0,0,49998.40753015659,7
1996-2010,free,6,0,0,0,48954.88207365891,12
1996-2010,prescribed,6,0,0,0,42121.52337735059,12
