year,domain,profile,dune_crest_cell,interior_row0_cell,road_seaward_cell,road_landward_cell,road_center_cell,setback_m,road_width_m,n_road_cells,n_wet_road_cells,interior_x,interior_y,road_x,road_y
1984,9,0,22,23,28,30,29.0,50.0,30.0,3,0,452848.41,3902817.3,452798.41,3902817.3
1984,9,1,21,22,28,29,28.5,60.0,20.0,2,0,452858.41,3902827.3,452798.41,3902827.3
1984,9,2,21,22,28,29,28.5,60.0,20.0,2,0,452858.41,3902837.3,452798.41,3902837.3
1984,9,3,21,22,27,29,28.0,50.0,30.0,3,0,452858.41,3902847.3,452808.41,3902847.3
1984,9,4,21,22,27,29,28.0,50.0,30.0,3,0,452858.41,3902857.3,452808.41,3902857.3
1984,9,5,21,22,27,29,28.0,50.0,30.0,3,0,452858.41,3902867.3,452808.41,3902867.3
1984,9,6,22,23,28,29,28.5,50.0,20.0,2,0,452858.41,3902877.3,452808.41,3902877.3
1984,9,7,22,23,28,29,28.5,50.0,20.0,2,0,452858.41,3902887.3,452808.41,3902887.3
1984,9,8,22,23,28,29,28.5,50.0,20.0,2,0,452858.41,3902897.3,452808.41,3902897.3
1984,9,9,22,23,28,29,28.5,50.0,20.0,2,0,452858.41,3902907.3,452808.41,3902907.3
1984,9,10,22,23,27,29,28.0,40.0,30.0,3,0,452858.41,3902917.3,452818.41,3902917.3
1984,9,11,22,23,27,29,28.0,40.0,30.0,3,0,452858.41,3902927.3,452818.41,3902927.3
1984,9,12,21,22,27,28,27.5,50.0,20.0,2,0,452868.41,3902937.3,452818.41,3902937.3
1984,9,13,21,22,27,28,27.5,50.0,20.0,2,0,452868.41,3902947.3,452818.41,3902947.3
1984,9,14,22,23,28,29,28.5,50.0,20.0,2,0,452868.41,3902957.3,452818.41,3902957.3
1984,9,15,21,22,28,29,28.5,60.0,20.0,2,0,452878.41,3902967.3,452818.41,3902967.3
1984,9,16,22,23,27,29,28.0,40.0,30.0,3,0,452868.41,3902977.3,452828.41,3902977.3
1984,9,17,22,23,27,29,28.0,40.0,30.0,3,0,452868.41,3902987.3,452828.41,3902987.3
1984,9,18,22,23,27,28,27.5,40.0,20.0,2,0,452868.41,3902997.3,452828.41,3902997.3
1984,9,19,22,23,27,28,27.5,40.0,20.0,2,0,452868.41,3903007.3,452828.41,3903007.3
1984,9,20,21,22,27,28,27.5,50.0,20.0,2,0,452878.41,3903017.3,452828.41,3903017.3
1984,9,21,21,22,27,28,27.5,50.0,20.0,2,0,452878.41,3903027.3,452828.41,3903027.3
1984,9,22,22,23,27,29,28.0,40.0,30.0,3,0,452878.41,3903037.3,452838.41,3903037.3
1984,9,23,22,23,27,29,28.0,40.0,30.0,3,0,452878.41,3903047.3,452838.41,3903047.3
1984,9,24,22,23,27,28,27.5,40.0,20.0,2,0,452878.41,3903057.3,452838.41,3903057.3
1984,9,25,22,23,27,28,27.5,40.0,20.0,2,0,452878.41,3903067.3,452838.41,3903067.3
1984,9,26,22,23,27,28,27.5,40.0,20.0,2,0,452878.41,3903077.3,452838.41,3903077.3
1984,9,27,22,23,27,28,27.5,40.0,20.0,2,0,452878.41,3903087.3,452838.41,3903087.3
1984,9,28,22,23,26,28,27.0,30.0,30.0,3,0,452878.41,3903097.3,452848.41,3903097.3
1984,9,29,22,23,26,28,27.0,30.0,30.0,3,0,452878.41,3903107.3,452848.41,3903107.3
1984,9,30,22,23,27,28,27.5,40.0,20.0,2,0,452888.41,3903117.3,452848.41,3903117.3
1984,9,31,22,23,27,28,27.5,40.0,20.0,2,0,452888.41,3903127.3,452848.41,3903127.3
1984,9,32,22,23,27,28,27.5,40.0,20.0,2,0,452888.41,3903137.3,452848.41,3903137.3
1984,9,33,22,23,26,28,27.0,30.0,30.0,3,0,452888.41,3903147.3,452858.41,3903147.3
1984,9,34,22,23,26,28,27.0,30.0,30.0,3,0,452888.41,3903157.3,452858.41,3903157.3
1984,9,35,22,23,26,27,26.5,30.0,20.0,2,0,452888.41,3903167.3,452858.41,3903167.3
1984,9,36,22,23,26,27,26.5,30.0,20.0,2,0,452888.41,3903177.3,452858.41,3903177.3
1984,9,37,22,23,26,27,26.5,30.0,20.0,2,0,452888.41,3903187.3,452858.41,3903187.3
1984,9,38,22,23,26,28,27.0,30.0,30.0,3,0,452898.41,3903197.3,452868.41,3903197.3
1984,9,39,22,23,26,28,27.0,30.0,30.0,3,0,452898.41,3903207.3,452868.41,3903207.3
1984,9,40,22,23,26,28,27.0,30.0,30.0,3,0,452898.41,3903217.3,452868.41,3903217.3
1984,9,41,22,23,26,27,26.5,30.0,20.0,2,0,452898.41,3903227.3,452868.41,3903227.3
1984,9,42,22,23,26,27,26.5,30.0,20.0,2,0,452898.41,3903237.3,452868.41,3903237.3
1984,9,43,22,23,26,27,26.5,30.0,20.0,2,0,452898.41,3903247.3,452868.41,3903247.3
1984,9,44,22,23,25,27,26.0,20.0,30.0,3,0,452898.41,3903257.3,452878.41,3903257.3
1984,9,45,21,22,25,27,26.0,30.0,30.0,3,0,452908.41,3903267.3,452878.41,3903267.3
1984,9,46,22,23,26,27,26.5,30.0,20.0,2,0,452908.41,3903277.3,452878.41,3903277.3
1984,9,47,22,23,26,27,26.5,30.0,20.0,2,0,452908.41,3903287.3,452878.41,3903287.3
1984,9,48,22,23,26,27,26.5,30.0,20.0,2,0,452908.41,3903297.3,452878.41,3903297.3
1984,9,49,22,23,26,27,26.5,30.0,20.0,2,0,452908.41,3903307.3,452878.41,3903307.3
1984,10,0,22,23,26,27,26.5,30.0,20.0,2,0,452912.06,3903321.29,452882.06,3903321.29
1984,10,1,22,23,25,27,26.0,20.0,30.0,3,0,452912.06,3903331.29,452892.06,3903331.29
1984,10,2,21,22,25,27,26.0,30.0,30.0,3,0,452922.06,3903341.29,452892.06,3903341.29
1984,10,3,21,22,25,26,25.5,30.0,20.0,2,0,452922.06,3903351.29,452892.06,3903351.29
1984,10,4,22,23,26,27,26.5,30.0,20.0,2,0,452922.06,3903361.29,452892.06,3903361.29
1984,10,5,22,23,26,27,26.5,30.0,20.0,2,0,452922.06,3903371.29,452892.06,3903371.29
1984,10,6,22,23,26,27,26.5,30.0,20.0,2,0,452922.06,3903381.29,452892.06,3903381.29
1984,10,7,20,21,25,27,26.0,40.0,30.0,3,0,452942.06,3903391.29,452902.06,3903391.29
1984,10,8,21,22,25,27,26.0,30.0,30.0,3,0,452932.06,3903401.29,452902.06,3903401.29
1984,10,9,21,22,25,26,25.5,30.0,20.0,2,0,452932.06,3903411.29,452902.06,3903411.29
1984,10,10,22,23,26,27,26.5,30.0,20.0,2,0,452932.06,3903421.29,452902.06,3903421.29
1984,10,11,22,23,26,27,26.5,30.0,20.0,2,0,452932.06,3903431.29,452902.06,3903431.29
1984,10,12,22,23,25,27,26.0,20.0,30.0,3,0,452932.06,3903441.29,452912.06,3903441.29
1984,10,13,22,23,25,27,26.0,20.0,30.0,3,0,452932.06,3903451.29,452912.06,3903451.29
1984,10,14,22,23,25,27,26.0,20.0,30.0,3,0,452932.06,3903461.29,452912.06,3903461.29
1984,10,15,21,22,25,26,25.5,30.0,20.0,2,0,452942.06,3903471.29,452912.06,3903471.29
1984,10,16,22,23,26,27,26.5,30.0,20.0,2,0,452942.06,3903481.29,452912.06,3903481.29
1984,10,17,22,23,26,27,26.5,30.0,20.0,2,0,452942.06,3903491.29,452912.06,3903491.29
1984,10,18,22,23,25,27,26.0,20.0,30.0,3,0,452942.06,3903501.29,452922.06,3903501.29
1984,10,19,22,23,25,27,26.0,20.0,30.0,3,0,452942.06,3903511.29,452922.06,3903511.29
1984,10,20,22,23,25,27,26.0,20.0,30.0,3,0,452942.06,3903521.29,452922.06,3903521.29
1984,10,21,22,23,25,26,25.5,20.0,20.0,2,0,452942.06,3903531.29,452922.06,3903531.29
1984,10,22,22,23,26,27,26.5,30.0,20.0,2,0,452952.06,3903541.29,452922.06,3903541.29
1984,10,23,22,23,26,27,26.5,30.0,20.0,2,0,452952.06,3903551.29,452922.06,3903551.29
1984,10,24,22,23,25,27,26.0,20.0,30.0,3,0,452952.06,3903561.29,452932.06,3903561.29
1984,10,25,22,23,25,27,26.0,20.0,30.0,3,0,452952.06,3903571.29,452932.06,3903571.29
1984,10,26,22,23,25,26,25.5,20.0,20.0,2,0,452952.06,3903581.29,452932.06,3903581.29
1984,10,27,22,23,25,26,25.5,20.0,20.0,2,0,452952.06,3903591.29,452932.06,3903591.29
1984,10,28,22,23,26,27,26.5,30.0,20.0,2,0,452962.06,3903601.29,452932.06,3903601.29
1984,10,29,22,23,26,27,26.5,30.0,20.0,2,0,452962.06,3903611.29,452932.06,3903611.29
1984,10,30,20,21,25,27,26.0,40.0,30.0,3,0,452982.06,3903621.29,452942.06,3903621.29
1984,10,31,22,23,25,27,26.0,20.0,30.0,3,0,452962.06,3903631.29,452942.06,3903631.29
1984,10,32,22,23,25,26,25.5,20.0,20.0,2,0,452962.06,3903641.29,452942.06,3903641.29
1984,10,33,22,23,25,26,25.5,20.0,20.0,2,0,452962.06,3903651.29,452942.06,3903651.29
1984,10,34,22,23,26,27,26.5,30.0,20.0,2,0,452972.06,3903661.29,452942.06,3903661.29
1984,10,35,22,23,25,27,26.0,20.0,30.0,3,0,452972.06,3903671.29,452952.06,3903671.29
1984,10,36,22,23,25,27,26.0,20.0,30.0,3,0,452972.06,3903681.29,452952.06,3903681.29
1984,10,37,22,23,25,27,26.0,20.0,30.0,3,0,452972.06,3903691.29,452952.06,3903691.29
1984,10,38,22,23,25,26,25.5,20.0,20.0,2,0,452972.06,3903701.29,452952.06,3903701.29
1984,10,39,22,23,25,26,25.5,20.0,20.0,2,0,452972.06,3903711.29,452952.06,3903711.29
1984,10,40,22,23,26,27,26.5,30.0,20.0,2,0,452982.06,3903721.29,452952.06,3903721.29
1984,10,41,22,23,25,27,26.0,20.0,30.0,3,0,452982.06,3903731.29,452962.06,3903731.29
1984,10,42,22,23,25,27,26.0,20.0,30.0,3,0,452982.06,3903741.29,452962.06,3903741.29
1984,10,43,22,23,25,26,25.5,20.0,20.0,2,0,452982.06,3903751.29,452962.06,3903751.29
1984,10,44,22,23,25,26,25.5,20.0,20.0,2,0,452982.06,3903761.29,452962.06,3903761.29
1984,10,45,22,23,25,26,25.5,20.0,20.0,2,0,452982.06,3903771.29,452962.06,3903771.29
1984,10,46,22,23,25,27,26.0,20.0,30.0,3,0,452992.06,3903781.29,452972.06,3903781.29
1984,10,47,22,23,25,27,26.0,20.0,30.0,3,0,452992.06,3903791.29,452972.06,3903791.29
1984,10,48,22,23,25,26,25.5,20.0,20.0,2,0,452992.06,3903801.29,452972.06,3903801.29
1984,10,49,22,23,25,26,25.5,20.0,20.0,2,0,452992.06,3903811.29,452972.06,3903811.29
1984,11,0,17,18,19,21,20.0,10.0,30.0,3,0,452992.06,3903825.0,452982.06,3903825.0
1984,11,1,16,17,19,20,19.5,20.0,20.0,2,0,453002.06,3903835.0,452982.06,3903835.0
1984,11,2,16,17,19,20,19.5,20.0,20.0,2,0,453002.06,3903845.0,452982.06,3903845.0
1984,11,3,17,18,19,21,20.0,10.0,30.0,3,0,453002.06,3903855.0,452992.06,3903855.0
1984,11,4,17,18,19,21,20.0,10.0,30.0,3,0,453002.06,3903865.0,452992.06,3903865.0
1984,11,5,17,18,19,20,19.5,10.0,20.0,2,0,453002.06,3903875.0,452992.06,3903875.0
1984,11,6,17,18,18,20,19.0,0.0,30.0,3,0,453002.06,3903885.0,453002.06,3903885.0
1984,11,7,16,17,18,20,19.0,10.0,30.0,3,0,453012.06,3903895.0,453002.06,3903895.0
1984,11,8,17,18,19,20,19.5,10.0,20.0,2,0,453012.06,3903905.0,453002.06,3903905.0
1984,11,9,17,18,18,20,19.0,0.0,30.0,3,0,453012.06,3903915.0,453012.06,3903915.0
1984,11,10,17,18,18,20,19.0,0.0,30.0,3,0,453012.06,3903925.0,453012.06,3903925.0
1984,11,11,17,18,18,19,18.5,0.0,20.0,2,0,453012.06,3903935.0,453012.06,3903935.0
1984,11,12,16,17,18,19,18.5,10.0,20.0,2,0,453022.06,3903945.0,453012.06,3903945.0
1984,11,13,16,17,17,19,18.0,0.0,30.0,3,0,453022.06,3903955.0,453022.06,3903955.0
1984,11,14,17,18,18,20,19.0,0.0,30.0,3,0,453022.06,3903965.0,453022.06,3903965.0
1984,11,15,17,18,18,19,18.5,0.0,20.0,2,0,453022.06,3903975.0,453022.06,3903975.0
1984,11,16,17,18,18,19,18.5,0.0,20.0,2,0,453022.06,3903985.0,453022.06,3903985.0
1984,11,17,16,17,18,19,18.5,10.0,20.0,2,0,453032.06,3903995.0,453022.06,3903995.0
1984,11,18,16,17,17,19,18.0,0.0,30.0,3,0,453032.06,3904005.0,453032.06,3904005.0
1984,11,19,17,18,18,20,19.0,0.0,30.0,3,0,453032.06,3904015.0,453032.06,3904015.0
1984,11,20,17,18,18,20,19.0,0.0,30.0,3,0,453032.06,3904025.0,453032.06,3904025.0
1984,11,21,17,18,18,19,18.5,0.0,20.0,2,0,453032.06,3904035.0,453032.06,3904035.0
1984,11,22,17,18,18,19,18.5,0.0,20.0,2,0,453032.06,3904045.0,453032.06,3904045.0
1984,11,23,16,17,18,19,18.5,10.0,20.0,2,0,453042.06,3904055.0,453032.06,3904055.0
1984,11,24,16,17,18,19,18.5,10.0,20.0,2,0,453042.06,3904065.0,453032.06,3904065.0
1984,11,25,17,18,19,20,19.5,10.0,20.0,2,0,453042.06,3904075.0,453032.06,3904075.0
1984,11,26,17,18,18,20,19.0,0.0,30.0,3,0,453042.06,3904085.0,453042.06,3904085.0
1984,11,27,17,18,18,20,19.0,0.0,30.0,3,0,453042.06,3904095.0,453042.06,3904095.0
1984,11,28,16,17,18,20,19.0,10.0,30.0,3,0,453052.06,3904105.0,453042.06,3904105.0
1984,11,29,16,17,18,19,18.5,10.0,20.0,2,0,453052.06,3904115.0,453042.06,3904115.0
1984,11,30,17,18,19,20,19.5,10.0,20.0,2,0,453052.06,3904125.0,453042.06,3904125.0
1984,11,31,17,18,19,20,19.5,10.0,20.0,2,0,453052.06,3904135.0,453042.06,3904135.0
1984,11,32,17,18,19,20,19.5,10.0,20.0,2,0,453052.06,3904145.0,453042.06,3904145.0
1984,11,33,17,18,19,20,19.5,10.0,20.0,2,0,453052.06,3904155.0,453042.06,3904155.0
1984,11,34,17,18,18,20,19.0,0.0,30.0,3,0,453052.06,3904165.0,453052.06,3904165.0
1984,11,35,16,17,18,20,19.0,10.0,30.0,3,0,453062.06,3904175.0,453052.06,3904175.0
1984,11,36,17,18,19,21,20.0,10.0,30.0,3,0,453062.06,3904185.0,453052.06,3904185.0
1984,11,37,17,18,19,20,19.5,10.0,20.0,2,0,453062.06,3904195.0,453052.06,3904195.0
1984,11,38,17,18,19,20,19.5,10.0,20.0,2,0,453062.06,3904205.0,453052.06,3904205.0
1984,11,39,17,18,19,20,19.5,10.0,20.0,2,0,453062.06,3904215.0,453052.06,3904215.0
1984,11,40,17,18,19,20,19.5,10.0,20.0,2,0,453062.06,3904225.0,453052.06,3904225.0
1984,11,41,17,18,20,21,20.5,20.0,20.0,2,0,453072.06,3904235.0,453052.06,3904235.0
1984,11,42,17,18,20,21,20.5,20.0,20.0,2,0,453072.06,3904245.0,453052.06,3904245.0
1984,11,43,17,18,19,21,20.0,10.0,30.0,3,0,453072.06,3904255.0,453062.06,3904255.0
1984,11,44,17,18,19,21,20.0,10.0,30.0,3,0,453072.06,3904265.0,453062.06,3904265.0
1984,11,45,17,18,19,21,20.0,10.0,30.0,3,0,453072.06,3904275.0,453062.06,3904275.0
1984,11,46,17,18,19,20,19.5,10.0,20.0,2,0,453072.06,3904285.0,453062.06,3904285.0
1984,11,47,17,18,20,21,20.5,20.0,20.0,2,0,453082.06,3904295.0,453062.06,3904295.0
1984,11,48,17,18,20,21,20.5,20.0,20.0,2,0,453082.06,3904305.0,453062.06,3904305.0
1984,11,49,17,18,20,21,20.5,20.0,20.0,2,0,453082.06,3904315.0,453062.06,3904315.0
1984,12,0,19,20,21,22,21.5,10.0,20.0,2,0,453072.06,3904328.88,453062.06,3904328.88
1984,12,1,19,20,20,22,21.0,0.0,30.0,3,0,453072.06,3904338.88,453072.06,3904338.88
1984,12,2,19,20,20,22,21.0,0.0,30.0,3,0,453072.06,3904348.88,453072.06,3904348.88
1984,12,3,18,19,20,21,20.5,10.0,20.0,2,0,453082.06,3904358.88,453072.06,3904358.88
1984,12,4,18,19,20,21,20.5,10.0,20.0,2,0,453082.06,3904368.88,453072.06,3904368.88
1984,12,5,18,19,20,21,20.5,10.0,20.0,2,0,453082.06,3904378.88,453072.06,3904378.88
1984,12,6,19,20,21,22,21.5,10.0,20.0,2,0,453082.06,3904388.88,453072.06,3904388.88
1984,12,7,19,20,21,22,21.5,10.0,20.0,2,0,453082.06,3904398.88,453072.06,3904398.88
1984,12,8,18,19,21,22,21.5,20.0,20.0,2,0,453092.06,3904408.88,453072.06,3904408.88
1984,12,9,18,19,20,22,21.0,10.0,30.0,3,0,453092.06,3904418.88,453082.06,3904418.88
1984,12,10,18,19,20,22,21.0,10.0,30.0,3,0,453092.06,3904428.88,453082.06,3904428.88
1984,12,11,18,19,20,22,21.0,10.0,30.0,3,0,453092.06,3904438.88,453082.06,3904438.88
1984,12,12,18,19,20,21,20.5,10.0,20.0,2,0,453092.06,3904448.88,453082.06,3904448.88
1984,12,13,18,19,21,22,21.5,20.0,20.0,2,0,453102.06,3904458.88,453082.06,3904458.88
1984,12,14,18,19,21,22,21.5,20.0,20.0,2,0,453102.06,3904468.88,453082.06,3904468.88
1984,12,15,18,19,21,22,21.5,20.0,20.0,2,0,453102.06,3904478.88,453082.06,3904478.88
1984,12,16,18,19,21,22,21.5,20.0,20.0,2,0,453102.06,3904488.88,453082.06,3904488.88
1984,12,17,18,19,20,22,21.0,10.0,30.0,3,0,453102.06,3904498.88,453092.06,3904498.88
1984,12,18,17,18,20,22,21.0,20.0,30.0,3,0,453112.06,3904508.88,453092.06,3904508.88
1984,12,19,18,19,21,23,22.0,20.0,30.0,3,0,453112.06,3904518.88,453092.06,3904518.88
1984,12,20,18,19,21,22,21.5,20.0,20.0,2,0,453112.06,3904528.88,453092.06,3904528.88
1984,12,21,18,19,21,22,21.5,20.0,20.0,2,0,453112.06,3904538.88,453092.06,3904538.88
1984,12,22,18,19,21,22,21.5,20.0,20.0,2,0,453112.06,3904548.88,453092.06,3904548.88
1984,12,23,18,19,21,22,21.5,20.0,20.0,2,0,453112.06,3904558.88,453092.06,3904558.88
1984,12,24,18,19,21,22,21.5,20.0,20.0,2,0,453112.06,3904568.88,453092.06,3904568.88
1984,12,25,17,18,21,22,21.5,30.0,20.0,2,0,453122.06,3904578.88,453092.06,3904578.88
1984,12,26,18,19,21,23,22.0,20.0,30.0,3,0,453122.06,3904588.88,453102.06,3904588.88
1984,12,27,18,19,21,23,22.0,20.0,30.0,3,0,453122.06,3904598.88,453102.06,3904598.88
1984,12,28,18,19,21,23,22.0,20.0,30.0,3,0,453122.06,3904608.88,453102.06,3904608.88
1984,12,29,18,19,21,22,21.5,20.0,20.0,2,0,453122.06,3904618.88,453102.06,3904618.88
1984,12,30,18,19,21,22,21.5,20.0,20.0,2,0,453122.06,3904628.88,453102.06,3904628.88
1984,12,31,18,19,21,22,21.5,20.0,20.0,2,0,453122.06,3904638.88,453102.06,3904638.88
1984,12,32,18,19,21,22,21.5,20.0,20.0,2,0,453122.06,3904648.88,453102.06,3904648.88
1984,12,33,18,19,22,23,22.5,30.0,20.0,2,0,453132.06,3904658.88,453102.06,3904658.88
1984,12,34,18,19,21,23,22.0,20.0,30.0,3,0,453132.06,3904668.88,453112.06,3904668.88
1984,12,35,18,19,21,23,22.0,20.0,30.0,3,0,453132.06,3904678.88,453112.06,3904678.88
1984,12,36,18,19,21,23,22.0,20.0,30.0,3,0,453132.06,3904688.88,453112.06,3904688.88
1984,12,37,18,19,21,22,21.5,20.0,20.0,2,0,453132.06,3904698.88,453112.06,3904698.88
1984,12,38,18,19,21,22,21.5,20.0,20.0,2,0,453132.06,3904708.88,453112.06,3904708.88
1984,12,39,18,19,22,23,22.5,30.0,20.0,2,0,453142.06,3904718.88,453112.06,3904718.88
1984,12,40,18,19,22,23,22.5,30.0,20.0,2,0,453142.06,3904728.88,453112.06,3904728.88
1984,12,41,18,19,22,23,22.5,30.0,20.0,2,0,453142.06,3904738.88,453112.06,3904738.88
1984,12,42,18,19,21,23,22.0,20.0,30.0,3,0,453142.06,3904748.88,453122.06,3904748.88
1984,12,43,18,19,21,23,22.0,20.0,30.0,3,0,453142.06,3904758.88,453122.06,3904758.88
1984,12,44,18,19,21,23,22.0,20.0,30.0,3,0,453142.06,3904768.88,453122.06,3904768.88
1984,12,45,18,19,21,22,21.5,20.0,20.0,2,0,453142.06,3904778.88,453122.06,3904778.88
1984,12,46,19,20,22,23,22.5,20.0,20.0,2,0,453142.06,3904788.88,453122.06,3904788.88
1984,12,47,18,19,22,23,22.5,30.0,20.0,2,0,453152.06,3904798.88,453122.06,3904798.88
1984,12,48,18,19,22,23,22.5,30.0,20.0,2,0,453152.06,3904808.88,453122.06,3904808.88
1984,12,49,18,19,22,23,22.5,30.0,20.0,2,0,453152.06,3904818.88,453122.06,3904818.88
1984,13,0,22,23,26,27,26.5,30.0,20.0,2,0,453158.05,3904830.49,453128.05,3904830.49
1984,13,1,22,23,26,27,26.5,30.0,20.0,2,0,453158.05,3904840.49,453128.05,3904840.49
1984,13,2,22,23,26,27,26.5,30.0,20.0,2,0,453158.05,3904850.49,453128.05,3904850.49
1984,13,3,22,23,26,27,26.5,30.0,20.0,2,0,453158.05,3904860.49,453128.05,3904860.49
1984,13,4,22,23,26,27,26.5,30.0,20.0,2,0,453158.05,3904870.49,453128.05,3904870.49
1984,13,5,22,23,26,27,26.5,30.0,20.0,2,0,453158.05,3904880.49,453128.05,3904880.49
1984,13,6,22,23,26,28,27.0,30.0,30.0,3,0,453168.05,3904890.49,453138.05,3904890.49
1984,13,7,23,24,26,28,27.0,20.0,30.0,3,0,453158.05,3904900.49,453138.05,3904900.49
1984,13,8,22,23,26,27,26.5,30.0,20.0,2,0,453168.05,3904910.49,453138.05,3904910.49
1984,13,9,22,23,26,27,26.5,30.0,20.0,2,0,453168.05,3904920.49,453138.05,3904920.49
1984,13,10,22,23,26,27,26.5,30.0,20.0,2,0,453168.05,3904930.49,453138.05,3904930.49
1984,13,11,22,23,26,27,26.5,30.0,20.0,2,0,453168.05,3904940.49,453138.05,3904940.49
