domain_number,shoreline_first_m,shoreline_second_m,d_shoreline_m,dune_first_m,dune_second_m,d_dune_m,d_shoreline_m_yr,d_dune_m_yr,same_sign
40,10.25,11.692,1.442,-16.89,-10.006,6.884,0.103,0.742,True
41,21.804,10.831,-10.973,-13.511,1.732,15.243,-0.783,1.285,False
42,17.772,1.863,-15.909,-10.077,5.069,15.146,-1.136,1.226,False
43,11.545,4.23,-7.315,3.992,-7.594,-11.586,-0.523,-0.882,True
44,16.315,0.977,-15.338,-1.593,-1.61,-0.017,-1.095,0.023,True
45,7.041,-1.529,-8.57,-1.496,-3.009,-1.513,-0.612,-0.085,True
46,-14.22,-13.922,0.298,2.543,-13.226,-15.769,0.022,-1.158,False
47,-20.123,-0.513,19.61,-7.64,-17.317,-9.677,1.4,-0.572,False
48,-1.536,1.265,2.801,-19.041,1.244,20.285,0.2,1.725,True
49,20.789,-10.507,-31.296,-11.01,4.213,15.223,-2.235,1.246,False
50,-0.201,-18.973,-18.772,-22.362,2.478,24.84,-1.341,2.099,False
51,-8.136,-18.345,-10.209,-33.58,3.229,36.809,-0.729,3.116,False
52,5.18,-25.31,-30.49,-25.413,-13.293,12.12,-2.178,1.241,False
53,-7.598,-17.387,-9.789,-21.427,-16.81,4.617,-0.699,0.649,False
54,2.701,-18.397,-21.098,-3.808,-21.004,-17.196,-1.507,-1.164,True
55,5.495,-14.523,-20.018,-11.462,-22.596,-11.134,-1.43,-0.618,True
56,4.997,-7.098,-12.095,-5.626,-3.384,2.242,-0.864,0.244,False
57,-2.671,4.052,6.723,-6.189,7.735,13.924,0.48,1.081,True
58,2.926,8.635,5.709,-10.446,0.729,11.175,0.408,0.95,True
59,4.337,6.091,1.754,-9.89,4.421,14.311,0.125,1.164,True
60,-4.352,-3.518,0.834,-1.714,-3.571,-1.857,0.06,-0.107,False
61,-10.303,-15.626,-5.323,11.147,-15.65,-26.797,-0.38,-2.069,True
62,-5.159,-17.464,-12.305,8.654,-21.765,-30.419,-0.879,-2.289,True
63,-28.309,20.173,48.482,-12.856,-16.37,-3.514,3.463,-0.057,False
64,-29.038,31.806,60.844,-5.465,-5.223,0.242,4.346,0.099,True
65,-32.182,40.667,72.849,-4.1,6.68,10.78,5.204,0.827,True
66,-15.004,67.192,82.196,-4.947,21.382,26.329,5.871,1.943,True
67,30.938,54.971,24.033,-5.928,30.379,36.307,1.717,2.667,True
68,70.903,23.188,-47.715,2.762,24.403,21.641,-3.409,1.495,False
69,53.006,21.135,-31.871,10.685,13.63,2.945,-2.276,0.049,False
70,9.541,26.924,17.383,-4.22,16.41,20.63,1.242,1.528,True
71,-6.155,20.005,26.16,-3.799,6.378,10.177,1.869,0.78,True
72,-12.536,24.532,37.068,-3.2,20.983,24.183,2.647,1.765,True
73,-5.847,5.641,11.488,7.4,29.56,22.16,0.821,1.463,True
74,24.285,-12.345,-36.63,15.883,10.116,-5.767,-2.617,-0.648,True
75,0.062,0.865,0.803,14.054,-16.704,-30.758,0.058,-2.394,False
76,-42.633,-8.66,33.973,-22.8,-21.164,1.636,2.426,0.458,True
77,-45.338,-29.765,15.573,-57.317,-22.295,35.022,1.112,3.345,True
78,-37.219,-49.381,-12.162,-58.746,-31.684,27.062,-0.868,2.802,False
79,-24.284,-12.035,12.249,-23.736,-15.731,8.005,0.875,0.924,True
80,-76.282,-1.967,74.315,-28.796,-16.581,12.215,5.309,1.299,True
81,-63.647,-2.238,61.409,-61.284,2.138,63.422,4.386,5.421,True
82,-8.686,-24.116,-15.43,-47.457,-1.134,46.323,-1.103,3.999,False
83,-31.274,-17.592,13.682,-34.846,-35.456,-0.61,0.977,0.479,False
84,-46.586,-5.811,40.775,-57.191,-22.138,35.053,2.913,3.345,True
85,-38.015,-1.682,36.333,-53.277,4.355,57.632,2.595,4.89,True
86,-34.651,2.033,36.684,-53.624,9.193,62.817,2.62,5.264,True
87,-28.995,11.109,40.104,-46.644,4.241,50.885,2.864,4.312,True
88,-12.771,28.329,41.1,-34.541,15.005,49.546,2.935,4.035,True
89,-2.83,24.724,27.554,-23.515,18.938,42.453,1.968,3.366,True
90,-4.255,26.769,31.024,-13.074,15.932,29.006,2.216,2.255,True
