domain,rows,cols,shape_ok,origin_x,origin_y,nodata_frac,filled_cells_10m,partial_edge_cells,min_m,mean_m,max_m
10,50,200,True,451447.0,3903816.0,0.3506,4356,98,-1.6018149852752686,-0.19291081153703818,7.396972894668579
11,50,200,True,451447.0,3904320.0,0.3474,5194,165,-1.4954273104667664,-0.41816744695217184,7.906144857406616
12,50,200,True,451447.0,3904824.0,0.3702,5288,211,-1.4047363996505737,-0.46951443772529483,6.7293864488601685
13,50,200,True,451513.0,3905325.0,0.3768,5195,87,-1.3969495594501495,-0.29274286340665406,6.037633299827576
14,50,200,True,451668.0,3905828.0,0.8432,435,16,-1.0591887533664703,1.3941372435728394,6.263129830360413
15,50,200,True,451867.0,3906334.0,0.8432,371,11,-1.1265252232551575,1.793817161177242,8.297664165496826
16,50,200,True,451893.0,3906837.0,0.7102,1298,30,-1.4949129223823547,0.8237604372592365,8.2935152053833
17,50,200,True,452000.0,3907340.0,0.6328,1294,53,-1.4263553619384766,0.6017366334458054,7.867914199829102
18,50,200,True,452116.0,3907845.0,0.5715,976,72,-1.362926334142685,0.7899123956971229,11.17840027809143
19,50,200,True,452312.0,3908349.0,0.524,1818,54,-1.3335945904254913,0.5633738283281421,10.461309671401978
1,50,200,True,450439.0,3899279.0,0.1961,101,15,-1.03975510597229,2.1736297641207663,8.306221008300781
20,50,200,True,452312.0,3908850.0,0.4954,2170,61,-1.2724012732505798,0.5982561612526399,9.141339778900146
21,50,200,True,452312.0,3909353.0,0.4323,1420,59,-1.2255457639694214,0.8279942846043506,7.990206956863403
22,50,200,True,452312.0,3909855.0,0.3705,1260,60,-1.249112844467163,0.9072451104964615,7.980856537818909
23,50,200,True,452397.0,3910360.0,0.3693,1042,35,-1.2599234282970428,1.1743932125892207,9.103075981140137
24,50,200,True,452517.0,3910863.0,0.3525,1238,38,-1.1713638603687286,1.0290349777564824,6.400532245635986
25,50,200,True,452632.0,3911367.0,0.3331,1358,42,-1.2425388991832733,0.9069726784716499,6.724325895309448
26,50,200,True,452771.0,3911868.0,0.2941,1681,35,-1.3215441405773163,0.9316688330312449,7.0952736139297485
27,50,200,True,452970.0,3912375.0,0.222,2160,33,-1.5291318595409393,0.8952780133075557,7.928295016288757
