domain,rows,cols,shape_ok,origin_x,origin_y,nodata_frac,filled_cells_10m,partial_edge_cells,min_m,mean_m,max_m
28,50,200,True,453000.0,3912877.0,0.1406,2718,24,-1.2438569962978363,0.8538621782972824,9.756199359893799
29,50,200,True,453145.0,3913380.0,0.2318,1716,28,-1.5868198573589325,0.9465548726293984,8.564058303833008
2,50,200,True,450558.0,3899785.0,0.1911,2142,9,-1.4294132590293884,2.0609676087127804,5.991136908531189
30,50,200,True,453175.0,3913881.0,0.2927,1968,53,-1.6558735370635986,0.7193766012579857,9.223401546478271
31,50,200,True,453290.0,3914383.0,0.3302,3138,43,-1.4935222268104553,0.4980172519684597,7.613272070884705
32,50,200,True,453620.0,3914885.0,0.3013,3817,36,-1.6125263273715973,0.3432430495272713,6.6027854681015015
33,50,200,True,453813.0,3915387.0,0.2465,4268,50,-1.6304078102111816,0.23281745660849687,6.355585813522339
34,50,200,True,453813.0,3915889.0,0.3458,3616,115,-1.854993462562561,0.2505090023943768,6.876847863197327
35,50,200,True,454000.0,3916391.0,0.3662,3471,77,-1.570426195859909,0.21385070064063372,6.9365540742874146
36,50,200,True,454000.0,3916894.0,0.4093,2685,49,-1.4885059595108032,0.4073777000286351,5.240299344062805
37,50,200,True,454100.0,3917397.0,0.3282,2293,81,-1.4316651821136475,0.6382625537546647,6.029157876968384
38,50,200,True,454173.0,3917898.0,0.1946,3383,83,-1.4582739770412445,0.4990047890524847,6.6599767208099365
39,50,200,True,454173.0,3918399.0,0.1643,4286,59,-1.360078513622284,0.40214198370982296,9.68788456916809
3,50,200,True,450660.0,3900290.0,0.2052,4018,16,-0.9389664828777313,2.0551651674832887,6.44258987903595
40,50,200,True,454173.0,3918906.0,0.1257,4732,36,-1.4161000847816467,0.37308996892674007,8.817387342453003
41,50,200,True,454173.0,3919406.0,0.0911,5631,27,-1.2104711532592773,0.2119937058348748,9.03361463546753
42,50,200,True,454173.0,3919908.0,0.0729,5571,5,-1.1017135083675385,0.26911183040929443,10.180957555770874
43,50,200,True,454173.0,3920414.0,0.0684,5643,18,-1.1275264620780945,0.24133745592393227,9.417854070663452
44,50,200,True,454300.0,3920917.0,0.1346,5138,23,-1.1963081061840057,0.13878468668925512,9.499109268188477
45,50,200,True,454300.0,3921418.0,0.2943,3684,69,-1.4554291367530823,0.17414172394989194,9.16341233253479
46,50,200,True,454302.0,3921920.0,0.3082,3777,43,-1.3389240205287933,0.18245838361133296,7.340844035148621
47,50,200,True,454302.0,3922420.0,0.4089,3323,40,-1.2342833876609802,0.15701761116526078,7.746079325675964
48,50,200,True,454441.0,3922921.0,0.405,4016,14,-1.1411445140838623,0.02378887440156162,7.280570864677429
49,50,200,True,454508.0,3923424.0,0.4954,3193,12,-1.1008763313293457,0.22085076387998528,7.825472116470337
4,50,200,True,450788.0,3900793.0,0.2171,3655,3,-1.4601764678955078,2.2805647946571526,6.256598711013794
50,50,200,True,454508.0,3923929.0,0.6621,1650,31,-1.2713469862937927,0.6053927855441908,7.612962245941162
51,50,200,True,454508.0,3924434.0,0.7294,947,17,-1.1960817575454712,0.8494597770619571,6.463186502456665
52,50,200,True,454566.0,3924936.0,0.694,1274,26,-1.346399575471878,0.559440648697411,4.995805263519287
53,50,200,True,454628.0,3925439.0,0.7455,608,36,-1.223172515630722,1.0670001769638224,5.944520473480225
54,50,200,True,454628.0,3925940.0,0.4904,2847,106,-1.4494423866271973,0.08861730425740189,6.844160079956055
55,50,200,True,454779.0,3926443.0,0.6319,977,110,-1.4497545659542084,0.8525675559372466,7.306474447250366
56,50,200,True,454800.0,3926947.0,0.6301,1510,48,-1.3954317569732666,0.7395146442119717,8.620749235153198
57,50,200,True,454900.0,3927450.0,0.6961,656,18,-1.197525292634964,1.2479912040212902,8.030488133430481
58,50,200,True,454900.0,3927955.0,0.639,641,27,-0.9877693504095078,1.1575591347985248,8.485792875289917
59,50,200,True,454900.0,3928458.0,0.618,718,31,-0.9961130023002625,1.2495376077629619,8.241403698921204
5,50,200,True,450912.0,3901296.0,0.2005,3529,22,-1.6807443499565125,2.850200466061444,9.109591722488403
60,50,200,True,455136.0,3928960.0,0.4959,1717,22,-0.989252582192421,1.0670617882367428,8.958288431167603
61,50,200,True,455274.0,3929462.0,0.4033,2473,16,-1.0556729435920715,1.2523310523581843,9.497965574264526
62,50,200,True,455314.0,3929963.0,0.2937,3420,23,-1.0858161449432373,0.9549201121825409,7.8157113790512085
63,50,200,True,455365.0,3930464.0,0.3131,3104,30,-1.1282730996608734,0.9543586790569996,7.194889664649963
64,50,200,True,455491.0,3930967.0,0.2985,3215,24,-1.1284298300743103,1.1428738660301172,6.8469109535217285
65,50,200,True,455637.0,3931468.0,0.2766,3427,19,-1.1565115451812744,1.141566062580841,7.887693524360657
66,50,200,True,455738.0,3931971.0,0.3249,2851,15,-1.2177737951278687,1.00973919669035,6.654318451881409
67,50,200,True,455838.0,3932472.0,0.3395,2511,45,-1.4960812628269196,0.6347861026798214,7.253098249435425
68,50,200,True,456000.0,3932974.0,0.4398,1341,18,-1.1654321253299713,1.1496955035076941,7.123207330703735
69,50,200,True,456000.0,3933477.0,0.4494,1026,41,-1.1264868676662445,1.3648893871516563,7.624139308929443
6,50,200,True,451000.0,3901798.0,0.1559,3150,69,-1.9089343547821045,1.9675181763195737,6.652668476104736
70,50,200,True,456151.0,3933981.0,0.2947,2865,27,-1.147356778383255,0.5643699674441149,8.133012175559998
71,50,200,True,456212.0,3934483.0,0.3581,1974,24,-1.1493134498596191,0.6137060806542366,7.5454055070877075
72,50,200,True,456392.0,3934984.0,0.4342,1211,36,-1.2215825617313385,1.0390732616787703,7.382712483406067
73,50,200,True,456392.0,3935485.0,0.3517,2263,38,-1.1039575040340424,1.058478396672837,8.94898009300232
74,50,200,True,456392.0,3935987.0,0.4682,1167,39,-1.1481477916240692,1.306702054603726,9.572463989257812
75,50,200,True,456392.0,3936488.0,0.4993,1022,25,-1.30401811003685,1.272615040954301,8.949317455291748
76,50,200,True,456392.0,3936989.0,0.4312,2060,31,-1.501031070947647,0.7495867003601768,9.592452049255371
77,50,200,True,456392.0,3937489.0,0.264,4133,22,-1.4395606815814972,0.16422149528166796,8.157833337783813
78,50,200,True,456392.0,3937990.0,0.4385,2491,30,-1.3504005670547485,0.49284676350163875,5.6616281270980835
79,50,200,True,456332.0,3938491.0,0.4851,1977,24,-1.3794356882572174,0.6775953622645976,6.24225378036499
7,50,200,True,451000.0,3902300.0,0.1163,3561,28,-1.6657114028930664,2.1091672053059596,6.958460450172424
80,50,200,True,456286.0,3938992.0,0.5588,1135,20,-1.3828156888484955,0.8715730618420449,5.543964505195618
81,50,200,True,456248.0,3939493.0,0.5212,1760,41,-1.3954125046730042,1.001159651261583,5.810574889183044
82,50,200,True,456140.0,3939993.0,0.5023,1979,19,-1.5514265596866608,0.4907671376822011,5.352883577346802
83,50,200,True,456140.0,3940494.0,0.4584,2673,7,-1.347556859254837,0.20829807961974486,5.9466530084609985
84,50,200,True,456140.0,3940995.0,0.4065,3361,26,-1.2486327290534973,-0.006643186139074798,5.065666198730469
85,50,200,True,455951.0,3941496.0,0.1877,5461,11,-1.2440975308418274,-0.1781313378152552,6.799009203910828
86,50,200,True,455830.0,3941998.0,0.0552,7384,7,-1.1326531767845154,-0.22481131255921788,6.532926678657532
87,50,200,True,455800.0,3942500.0,0.074,7253,6,-0.8276403844356537,-0.21174316779118332,7.316641211509705
88,50,200,True,455800.0,3943002.0,0.1082,6453,6,-0.702550396323204,0.10175302332269638,8.163993120193481
89,50,200,True,455714.0,3943505.0,0.0941,5645,3,-0.888666421175003,0.33007257789178984,9.385254621505737
8,50,200,True,451150.0,3902805.0,0.1601,3232,23,-0.5312150418758392,1.6975723738789426,8.401334285736084
90,50,200,True,455600.0,3944007.0,0.0664,5296,11,-0.8690311312675476,0.39740599028299955,12.121098279953003
9,50,200,True,451283.0,3903312.0,0.2149,4275,40,-1.3645804822444916,1.0747904381284736,6.7619946002960205
