domain_id,annual_rate_m_per_yr,std_dev_m_per_yr,n_transects,min_rate_m_per_yr,max_rate_m_per_yr
1,-4.99,0.813879597975032,5.0,-5.88,-3.72
2,-2.834,0.134647688431699,5.0,-3.03,-2.67
3,-3.68,0.451940261539067,5.0,-4.47,-3.34
4,-2.972,0.700692514588247,5.0,-3.73,-2.07
5,-1.428,0.913876359252169,5.0,-2.99,-0.77
6,-0.033333333333333,1.048872410416698,3.0,-1.24,0.66
7,0.56,0.0,1.0,0.56,0.56
8,-0.082,0.607017297941335,5.0,-1.01,0.42
9,-0.922,0.203887223729198,5.0,-1.17,-0.64
10,-1.518,0.390858030491891,5.0,-1.91,-0.94
11,-0.966,0.213025820031282,5.0,-1.32,-0.75
12,-0.802,0.346655448536439,5.0,-1.27,-0.41
13,-0.526,0.241516045015647,5.0,-0.73,-0.17
14,0.15,0.275317997958724,4.0,-0.14,0.49
15,-0.092,0.142372750201715,5.0,-0.3,0.1
16,-0.24,0.168077363139716,5.0,-0.46,-0.09
17,0.142,0.170352575560219,5.0,0.02,0.44
18,0.778,0.287088836425243,5.0,0.33,1.06
19,1.212,0.368062494693496,5.0,0.86,1.78
20,2.518,0.256261585103972,5.0,2.13,2.77
21,2.522,0.277073997336452,5.0,2.25,2.87
22,2.396,0.220295256417382,5.0,2.13,2.62
23,2.604,0.110136279218067,5.0,2.44,2.72
24,1.63,0.207243817760627,5.0,1.33,1.85
25,1.59,0.218288799529431,5.0,1.25,1.81
26,-0.276,0.307131893492031,5.0,-0.55,0.22
27,-0.378,0.136821051011897,5.0,-0.61,-0.27
28,0.332,0.191494125236259,5.0,0.12,0.64
29,1.128,0.68918067297335,5.0,0.36,1.88
30,2.322,0.348668897379735,5.0,1.78,2.63
31,3.452,0.292181450472134,5.0,3.2,3.92
32,4.394,0.291941775016869,5.0,4.03,4.75
33,3.516,0.536591091987185,5.0,2.97,4.08
34,1.822,0.490683197185312,5.0,1.29,2.36
35,1.368,0.402206414667892,5.0,0.79,1.86
36,1.08,0.288183969019791,5.0,0.74,1.54
37,0.6025,0.506120868304532,4.0,0.18,1.26
38,1.098,0.551606743976177,5.0,0.31,1.62
39,-0.132,0.227749862788104,5.0,-0.5,0.07
40,0.912,0.599266217969944,5.0,0.17,1.65
41,1.982,0.405672281527836,5.0,1.42,2.48
42,1.4,0.116619037896906,5.0,1.23,1.54
43,0.754,0.438953300477397,5.0,0.28,1.34
44,-0.288,0.042071367935925,5.0,-0.33,-0.22
45,-0.04,0.239687296284138,5.0,-0.28,0.35
46,0.78,0.120208152801713,5.0,0.67,0.92
47,0.836,0.149264865256362,5.0,0.68,1.01
48,0.292,0.236791047128053,5.0,0.06,0.66
49,-0.172,0.25083859352181,5.0,-0.55,0.07
50,-0.93,0.242074368738204,5.0,-1.25,-0.69
51,-0.266,0.462633764440081,5.0,-0.82,0.37
52,0.912,0.257914714586043,5.0,0.6,1.22
53,0.04,0.761675784044629,5.0,-0.82,0.84
54,-0.686,0.193339080374352,5.0,-0.94,-0.4
55,-0.784,0.261400076511083,5.0,-1.16,-0.5
56,-0.704,0.376470450367622,5.0,-1.12,-0.11
57,0.618,0.826450240486383,5.0,-0.2,1.74
58,2.242,0.164225454787009,5.0,2.01,2.4
59,1.558,0.308820336117944,5.0,1.29,2.05
60,2.492,0.389255700022492,5.0,1.88,2.88
61,2.906,0.435924305355872,5.0,2.56,3.63
62,4.12,0.297657521322744,5.0,3.83,4.55
63,4.852,0.224098192763797,5.0,4.51,5.13
64,5.034000000000001,0.104067285925982,5.0,4.89,5.13
65,5.017999999999999,0.425816862042827,5.0,4.43,5.49
66,3.524,0.761597006296637,5.0,2.4,4.3
67,1.034,0.61353891482122,5.0,0.47,1.91
68,1.522,0.576732173543318,5.0,0.84,2.12
69,2.486,0.574743421014978,5.0,2.0,3.41
70,2.482,0.3595413745315,5.0,2.13,2.98
71,0.81,0.725672102261069,5.0,0.02,1.82
72,-1.872,0.997256235879225,5.0,-2.78,-0.36
73,-1.326,0.636930137456221,5.0,-2.24,-0.64
74,-0.3625,0.148632656797444,4.0,-0.47,-0.15
75,-0.722,0.261476576388785,5.0,-1.04,-0.37
76,0.742,0.690992040475142,5.0,-0.43,1.19
77,-0.078,0.787794389418965,5.0,-0.82,0.94
78,-1.192,0.437629980691451,5.0,-1.69,-0.62
79,-2.424,0.737177047933534,5.0,-3.39,-1.4
80,-1.106,0.868780754851303,5.0,-2.28,-0.14
81,-0.658,0.197914122790669,5.0,-0.92,-0.42
82,-1.874,0.677148432767883,5.0,-2.69,-1.09
83,-2.106,0.841445185380486,5.0,-2.87,-0.83
84,-0.936,0.212673458616725,5.0,-1.24,-0.72
85,-1.624,0.355429317867843,5.0,-2.02,-1.05
86,-0.486,0.538961965262856,5.0,-1.25,0.01
87,-0.284,0.240062491864098,5.0,-0.58,0.05
88,0.63,0.394144643500327,5.0,0.17,1.2
89,-0.26,0.206760731281353,5.0,-0.41,0.1
90,-0.264,0.130307329034095,5.0,-0.47,-0.11
