domain_number,window_domains,window_km,projected_change_m,observed_m,observed_minus_projected_m
54,3,1.5,-10.815,-8.788,2.027
55,3,1.5,-6.557,-5.333,1.224
56,3,1.5,-3.126,-4.441,-1.315
57,3,1.5,0.316,-2.357,-2.673
58,3,1.5,3.172,8.155,4.983
59,3,1.5,1.483,14.754,13.27
60,3,1.5,-7.059,5.848,12.907
61,3,1.5,-16.132,-5.855,10.276
62,3,1.5,-17.55,-16.972,0.578
63,3,1.5,-10.998,-30.432,-19.434
64,3,1.5,-2.179,-38.942,-36.762
65,3,1.5,10.338,-38.929,-49.267
66,3,1.5,26.854,-25.455,-52.309
67,3,1.5,35.301,3.792,-31.509
68,3,1.5,30.63,32.572,1.942
69,3,1.5,21.214,30.701,9.487
70,3,1.5,13.468,13.27,-0.198
71,3,1.5,11.247,6.955,-4.292
72,3,1.5,13.353,4.69,-8.662
73,3,1.5,12.518,7.89,-4.627
74,3,1.5,1.942,2.18,0.238
75,3,1.5,-12.181,-32.479,-20.299
76,3,1.5,-22.127,-63.38,-41.253
77,3,1.5,-25.418,-66.477,-41.059
78,3,1.5,-25.145,-55.197,-30.053
79,3,1.5,-25.063,-47.707,-22.644
80,3,1.5,-27.837,-59.085,-31.248
81,3,1.5,-25.723,-52.868,-27.145
82,3,1.5,-23.967,-37.913,-13.946
83,3,1.5,-27.009,-40.547,-13.538
84,3,1.5,-22.414,-46.692,-24.278
85,3,1.5,-14.625,-38.854,-24.229
86,3,1.5,-7.539,-35.816,-28.277
87,3,1.5,0.752,-27.775,-28.527
88,3,1.5,10.242,-11.7,-21.941
89,3,1.5,15.417,0.397,-15.02
90,3,1.5,16.946,4.876,-12.07
1,5,2.5,39.807,11.527,-28.28
2,5,2.5,35.379,-4.125,-39.504
3,5,2.5,34.492,1.305,-33.187
4,5,2.5,26.871,12.836,-14.035
5,5,2.5,11.488,10.18,-1.308
6,5,2.5,-19.434,-13.241,6.193
7,5,2.5,-18.394,-27.056,-8.662
8,5,2.5,-4.53,-18.935,-14.405
9,5,2.5,1.92,-25.403,-27.323
10,5,2.5,10.0,-35.035,-45.035
11,5,2.5,9.289,-34.156,-43.444
12,5,2.5,9.448,-29.785,-39.233
13,5,2.5,10.626,-22.834,-33.461
14,5,2.5,13.333,-15.457,-28.79
15,5,2.5,15.469,-4.573,-20.042
16,5,2.5,16.846,7.464,-9.382
17,5,2.5,19.029,15.905,-3.124
18,5,2.5,21.593,16.199,-5.394
19,5,2.5,20.045,9.985,-10.06
20,5,2.5,12.097,1.668,-10.429
21,5,2.5,0.761,-6.193,-6.954
22,5,2.5,-11.435,-12.397,-0.962
23,5,2.5,-22.185,-22.871,-0.687
24,5,2.5,-28.648,-35.274,-6.625
25,5,2.5,-25.47,-31.07,-5.599
26,5,2.5,-14.939,-5.229,9.709
27,5,2.5,0.794,26.099,25.306
28,5,2.5,18.536,44.447,25.911
29,5,2.5,33.136,39.028,5.892
30,5,2.5,38.807,24.156,-14.651
31,5,2.5,34.236,12.717,-21.52
32,5,2.5,26.263,4.383,-21.88
33,5,2.5,20.215,-9.393,-29.608
34,5,2.5,15.163,-28.637,-43.8
35,5,2.5,9.322,-42.23,-51.553
36,5,2.5,3.394,-38.75,-42.143
37,5,2.5,1.024,-21.765,-22.789
38,5,2.5,1.502,-4.965,-6.467
39,5,2.5,3.243,3.695,0.453
40,5,2.5,5.032,4.885,-0.147
41,5,2.5,5.861,6.585,0.724
42,5,2.5,5.076,9.174,4.098
43,5,2.5,2.586,10.895,8.309
44,5,2.5,-1.568,7.536,9.104
45,5,2.5,-6.99,-1.165,5.825
46,5,2.5,-11.134,-11.063,0.072
47,5,2.5,-11.151,-13.529,-2.378
48,5,2.5,-8.387,-9.157,-0.77
49,5,2.5,-6.681,-4.497,2.185
50,5,2.5,-7.609,-4.854,2.755
51,5,2.5,-9.862,-6.942,2.92
52,5,2.5,-11.7,-8.197,3.504
53,5,2.5,-12.127,-8.358,3.77
54,5,2.5,-10.296,-8.376,1.92
55,5,2.5,-6.878,-5.965,0.913
56,5,2.5,-3.13,-4.063,-0.933
57,5,2.5,0.193,0.285,0.093
58,5,2.5,1.863,6.865,5.002
59,5,2.5,-0.876,9.403,10.279
60,5,2.5,-7.493,4.709,12.202
61,5,2.5,-13.911,-4.434,9.477
62,5,2.5,-14.887,-15.718,-0.83
63,5,2.5,-10.297,-26.755,-16.457
64,5,2.5,-1.461,-36.079,-34.617
65,5,2.5,11.182,-35.022,-46.204
66,5,2.5,23.672,-20.735,-44.407
67,5,2.5,30.801,4.202,-26.599
68,5,2.5,29.393,23.451,-5.942
69,5,2.5,21.818,25.774,3.956
70,5,2.5,15.226,16.835,1.609
71,5,2.5,12.551,7.795,-4.756
72,5,2.5,12.485,5.642,-6.844
73,5,2.5,9.659,2.647,-7.012
74,5,2.5,1.034,-12.05,-13.084
75,5,2.5,-10.373,-32.784,-22.412
76,5,2.5,-19.559,-54.426,-34.868
77,5,2.5,-24.345,-62.117,-37.772
78,5,2.5,-25.282,-56.618,-31.336
79,5,2.5,-26.198,-53.448,-27.25
80,5,2.5,-26.114,-52.161,-26.047
81,5,2.5,-25.665,-48.488,-22.823
82,5,2.5,-25.013,-42.488,-17.474
83,5,2.5,-24.138,-41.073,-16.935
84,5,2.5,-21.305,-42.756,-21.452
85,5,2.5,-14.624,-40.271,-25.647
86,5,2.5,-7.186,-34.388,-27.202
87,5,2.5,1.367,-25.247,-26.614
88,5,2.5,8.891,-12.484,-21.375
89,5,2.5,13.943,-1.923,-15.866
90,5,2.5,18.212,7.431,-10.781
1,10,5.0,39.807,11.527,-28.28
