year,domain,section,setback_2009_m,setback_2009_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
2004,1,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,5.01,4,0,"[9,12]",NO_ROAD,nan,nan
2004,2,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,7.68,7,0,"[7,11]",NO_ROAD,nan,nan
2004,3,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,18.43,16,0,"[6,16]",NO_ROAD,nan,nan
2004,4,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,12.62,11,0,"[6,10]",NO_ROAD,nan,nan
2004,5,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,20.56,18,0,"[2,10]",NO_ROAD,nan,nan
2004,6,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,16.76,15,0,"[0,8]",NO_ROAD,nan,nan
2004,7,Buxton,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,6.79,6,0,"[2,4]",NO_ROAD,nan,nan
2004,8,Buxton,100.0,100.0,nan,,0.0,25,50.0,216.0,40.0,290.0,115.0,40.0,1.075,1.241,0.578,1.435,255,0.012,7.22,6,0,"[2,5]","SCATTER_SETBACK(166m),SCATTER_ELEV(0.58),EXCLUDED_FROM_SPAN",nan,nan
2004,9,Buxton-Avon,40.0,40.0,40.0,no,0.0,50,30.0,41.0,20.0,50.0,45.0,20.0,1.293,1.288,0.223,1.653,116,0.0,7.42,6,0,"[2,6]",,89.0,49.0
2004,10,Buxton-Avon,10.0,10.0,10.0,no,0.0,50,10.0,20.0,0.0,40.0,15.0,20.0,1.292,1.267,0.169,1.652,118,0.0,7.85,7,0,"[4,10]",,83.0,73.0
2004,11,Buxton-Avon,10.0,10.0,10.0,no,0.0,50,10.0,20.0,10.0,20.0,20.0,20.0,1.499,1.463,0.2,1.859,121,0.0,8.54,7,0,"[4,8]",,81.0,71.0
2004,12,Buxton-Avon,20.0,20.0,20.0,no,0.0,50,10.0,30.0,10.0,30.0,25.0,20.0,1.24,1.198,0.207,1.6,118,0.0,10.37,9,0,"[5,8]",,89.0,69.0
2004,13,Buxton-Avon,40.0,40.0,40.0,no,0.0,50,19.0,50.0,10.0,60.0,47.5,20.0,1.198,1.122,0.189,1.558,121,0.0,11.49,10,0,"[5,9]",,87.0,47.0
2004,14,Buxton-Avon,50.0,50.0,50.0,no,0.0,50,40.0,60.0,40.0,60.0,60.0,20.0,1.166,1.14,0.184,1.526,121,0.0,13.0,11,0,"[5,10]",,93.0,43.0
2004,15,Buxton-Avon,50.0,50.0,50.0,no,0.0,50,40.0,60.0,40.0,70.0,55.0,20.0,1.521,1.52,0.242,1.881,122,0.0,11.82,10,0,"[7,11]",,71.0,21.0
2004,16,Buxton-Avon,70.0,70.0,70.0,no,0.0,50,60.0,81.0,50.0,90.0,80.0,20.0,0.889,0.955,0.232,1.249,118,0.0,11.36,10,0,"[8,10]",,63.0,-7.0
2004,17,Buxton-Avon,90.0,90.0,90.0,no,0.0,50,80.0,100.0,70.0,100.0,95.0,20.0,0.774,0.781,0.153,1.134,118,0.0,10.71,9,0,"[8,12]",,128.0,38.0
2004,18,Buxton-Avon,120.0,120.0,120.0,no,0.0,50,110.0,130.0,100.0,130.0,125.0,20.0,0.82,0.793,0.153,1.18,116,0.0,8.66,7,0,"[8,12]",,148.0,28.0
2004,19,Buxton-Avon,130.0,130.0,130.0,no,0.0,50,110.0,140.0,90.0,140.0,135.0,20.0,0.82,0.791,0.177,1.18,122,0.0,7.08,6,0,"[7,11]",,139.0,9.0
2004,20,Buxton-Avon,80.0,80.0,80.0,no,0.0,50,70.0,90.0,60.0,90.0,85.0,20.0,0.955,0.887,0.214,1.315,120,0.0,12.39,11,0,"[6,10]",,100.0,20.0
2004,21,Avon,125.0,125.0,125.0,no,0.0,50,100.0,150.0,90.0,160.0,132.5,20.0,0.788,0.784,0.173,1.148,116,0.0,14.19,12,0,"[6,9]",SCATTER_SETBACK(50m),168.0,43.0
2004,22,Avon,185.0,185.0,185.0,no,0.0,50,170.0,210.0,160.0,220.0,192.5,20.0,0.58,0.572,0.148,0.94,115,0.0,10.68,9,0,"[6,11]",,230.0,45.0
2004,23,Avon,220.0,220.0,220.0,no,0.0,50,210.0,220.0,180.0,220.0,225.0,20.0,0.651,0.633,0.128,1.011,123,0.0,9.82,8,0,"[3,7]",,236.0,16.0
2004,24,Avon,170.0,170.0,170.0,no,0.0,50,160.0,180.0,160.0,180.0,180.0,20.0,0.618,0.596,0.122,0.978,124,0.0,11.99,10,0,"[2,10]",,224.0,54.0
2004,25,Avon,160.0,160.0,160.0,no,0.0,50,150.0,161.0,150.0,180.0,165.0,20.0,0.64,0.614,0.13,1.0,121,0.0,9.82,8,0,"[1,9]",,221.0,61.0
