year,domain,section,setback_2009_m,setback_2009_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags
2004,22,Avon,180.0,180.0,nan,,0.0,50,169.0,210.0,120.0,220.0,187.5,20.0,0.58,0.572,0.148,0.94,115,0.0,0.0,0,0,"[3,23]",SCATTER_SETBACK(41m)
2004,23,Avon,180.0,180.0,nan,,0.0,50,180.0,220.0,180.0,220.0,190.0,20.0,0.651,0.633,0.128,1.011,123,0.0,0.0,0,0,"[2,19]",
2004,24,Avon,170.0,170.0,nan,,0.0,50,160.0,180.0,160.0,180.0,180.0,20.0,0.618,0.596,0.122,0.978,124,0.0,0.0,0,0,"[5,17]",
2004,25,Avon,160.0,160.0,nan,,0.0,50,150.0,161.0,150.0,180.0,165.0,20.0,0.64,0.614,0.13,1.0,121,0.0,0.0,0,0,"[3,18]",
2004,26,Avon,190.0,190.0,nan,,0.0,50,170.0,220.0,170.0,230.0,200.0,20.0,0.563,0.543,0.119,0.923,114,0.0,0.0,0,0,"[6,20]",SCATTER_SETBACK(50m)
2004,27,Avon,230.0,230.0,nan,,0.0,50,210.0,280.0,200.0,290.0,240.0,20.0,0.654,0.622,0.12,1.014,114,0.0,0.0,0,0,"[7,24]",SCATTER_SETBACK(70m)
2004,28,Avon,270.0,270.0,nan,,0.0,50,250.0,280.0,230.0,290.0,280.0,25.0,0.51,0.507,0.135,0.87,125,0.0,0.0,0,0,"[9,28]",
2004,29,Avon,260.0,260.0,nan,,0.0,50,259.0,270.0,190.0,270.0,270.0,20.0,0.361,0.378,0.144,0.721,124,0.0,0.0,0,0,"[7,30]",
2004,30,Avon,250.0,250.0,nan,,0.0,50,240.0,260.0,230.0,280.0,255.0,20.0,0.368,0.359,0.121,0.728,122,0.0,0.0,0,0,"[6,27]",
2004,31,Avon,230.0,230.0,nan,,0.0,50,220.0,250.0,130.0,270.0,240.0,30.0,0.41,0.385,0.16,0.77,126,0.0,0.0,0,0,"[8,28]",
2004,32,Avon-Tri-Village / Wimble Shoals,210.0,210.0,nan,,0.0,50,130.0,230.0,120.0,240.0,217.5,20.0,0.396,0.357,0.124,0.756,124,0.0,0.0,0,0,"[13,29]",SCATTER_SETBACK(100m)
2004,33,Avon-Tri-Village / Wimble Shoals,190.0,190.0,nan,,0.0,50,169.0,272.0,140.0,320.0,195.0,20.0,0.383,0.378,0.124,0.743,119,0.0,0.0,0,0,"[5,36]",SCATTER_SETBACK(103m)
2004,34,Avon-Tri-Village / Wimble Shoals,310.0,310.0,nan,,0.0,50,230.0,320.0,220.0,330.0,320.0,20.0,0.333,0.308,0.125,0.693,121,0.0,0.0,0,0,"[6,21]",SCATTER_SETBACK(90m)
2004,35,Avon-Tri-Village / Wimble Shoals,320.0,320.0,nan,,0.0,50,309.0,340.0,290.0,350.0,330.0,20.0,0.331,0.304,0.133,0.691,123,0.0,0.0,0,0,"[4,21]",
2004,36,Avon-Tri-Village / Wimble Shoals,330.0,330.0,nan,,0.0,50,320.0,340.0,270.0,340.0,340.0,20.0,0.339,0.332,0.117,0.699,123,0.0,0.0,0,0,"[3,18]",
2004,37,Avon-Tri-Village / Wimble Shoals,320.0,320.0,nan,,0.0,50,300.0,331.0,240.0,340.0,330.0,20.0,0.481,0.526,0.167,0.841,124,0.0,0.0,0,0,"[4,17]",
2004,38,Avon-Tri-Village / Wimble Shoals,280.0,280.0,nan,,0.0,50,260.0,300.0,250.0,310.0,287.5,20.0,0.589,0.619,0.167,0.949,124,0.0,0.0,0,0,"[7,17]",
2004,39,Avon-Tri-Village / Wimble Shoals,230.0,230.0,nan,,0.0,50,220.0,250.0,220.0,260.0,235.0,20.0,0.716,0.74,0.144,1.076,118,0.0,0.0,0,0,"[4,15]",
2004,40,Avon-Tri-Village / Wimble Shoals,210.0,210.0,nan,,0.0,50,200.0,220.0,200.0,230.0,215.0,20.0,0.849,0.862,0.141,1.209,114,0.0,0.0,0,0,"[4,11]",
2004,41,Avon-Tri-Village / Wimble Shoals,190.0,190.0,nan,,0.0,50,190.0,200.0,190.0,200.0,200.0,20.0,0.785,0.809,0.173,1.145,115,0.0,0.0,0,0,"[6,12]",
2004,42,Avon-Tri-Village / Wimble Shoals,180.0,180.0,nan,,0.0,50,169.0,190.0,160.0,190.0,187.5,20.0,0.708,0.721,0.221,1.068,115,0.0,0.0,0,0,"[6,10]",
2004,43,Avon-Tri-Village / Wimble Shoals,170.0,170.0,nan,,0.0,50,160.0,170.0,160.0,170.0,175.0,20.0,0.55,0.608,0.247,0.91,112,0.0,0.0,0,0,"[4,9]",
2004,44,Avon-Tri-Village / Wimble Shoals,160.0,160.0,nan,,0.0,50,150.0,160.0,150.0,170.0,165.0,20.0,0.535,0.564,0.189,0.895,114,0.0,0.0,0,0,"[4,9]",
2004,45,Avon-Tri-Village / Wimble Shoals,150.0,150.0,nan,,0.0,50,140.0,160.0,130.0,160.0,155.0,20.0,0.706,0.72,0.155,1.066,112,0.0,0.0,0,0,"[4,10]",
2004,46,Avon-Tri-Village / Wimble Shoals,140.0,140.0,nan,,0.0,50,110.0,150.0,100.0,150.0,145.0,20.0,0.862,0.889,0.137,1.222,112,0.0,0.0,0,0,"[7,12]",
2004,47,Avon-Tri-Village / Wimble Shoals,140.0,140.0,nan,,0.0,50,140.0,150.0,140.0,150.0,150.0,20.0,0.85,0.886,0.174,1.21,116,0.0,0.0,0,0,"[4,9]",
2004,48,Avon-Tri-Village / Wimble Shoals,130.0,130.0,nan,,0.0,50,100.0,150.0,100.0,150.0,135.0,20.0,0.885,0.892,0.122,1.245,112,0.0,0.0,0,0,"[7,12]",SCATTER_SETBACK(50m)
2004,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,nan,,0.0,50,100.0,130.0,100.0,140.0,135.0,20.0,0.877,0.886,0.115,1.237,116,0.0,0.0,0,0,"[9,16]",
2004,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,nan,,0.0,50,110.0,130.0,90.0,130.0,120.0,20.0,0.806,0.85,0.221,1.166,112,0.0,0.0,0,0,"[7,14]",
2004,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,nan,,0.0,50,90.0,140.0,80.0,140.0,125.0,20.0,0.802,0.818,0.165,1.162,113,0.0,0.0,0,0,"[4,12]",SCATTER_SETBACK(50m)
2004,52,Avon-Tri-Village / Wimble Shoals,90.0,90.0,nan,,0.0,50,80.0,110.0,70.0,150.0,100.0,20.0,0.557,0.587,0.199,0.917,116,0.0,0.0,0,0,"[8,18]",
2004,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,nan,,0.0,50,130.0,140.0,90.0,150.0,145.0,20.0,0.622,0.677,0.271,0.982,117,0.0,0.0,0,0,"[4,12]",
2004,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,nan,,0.0,50,139.0,160.0,90.0,160.0,155.0,20.0,0.789,0.789,0.141,1.149,115,0.0,0.0,0,0,"[4,14]",
2004,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,nan,,0.0,50,139.0,170.0,110.0,170.0,165.0,20.0,0.773,0.778,0.148,1.133,118,0.0,0.0,0,0,"[4,16]",
2004,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,nan,,0.0,50,170.0,180.0,170.0,190.0,185.0,20.0,0.569,0.566,0.14,0.929,114,0.0,0.0,0,0,"[8,16]",
2004,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,nan,,0.0,50,180.0,210.0,170.0,220.0,210.0,20.0,0.551,0.577,0.14,0.911,116,0.0,0.0,0,0,"[7,19]",
2004,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,nan,,0.0,50,220.0,250.0,210.0,250.0,245.0,20.0,0.54,0.54,0.115,0.9,115,0.0,0.0,0,0,"[5,17]",
2004,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,nan,,0.0,50,259.0,280.0,250.0,290.0,277.5,20.0,0.532,0.556,0.147,0.892,117,0.0,0.0,0,0,"[7,18]",
2004,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,nan,,0.0,50,299.0,330.0,290.0,330.0,320.0,20.0,0.435,0.453,0.144,0.795,118,0.0,0.0,0,0,"[5,18]",
2004,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,nan,,0.0,50,320.0,340.0,300.0,340.0,335.0,20.0,0.6,0.631,0.208,0.96,122,0.0,0.0,0,0,"[7,22]",
2004,62,Avon-Tri-Village / Wimble Shoals,325.0,325.0,nan,,0.0,50,290.0,350.0,290.0,360.0,332.5,20.0,0.544,0.565,0.168,0.904,118,0.0,0.0,0,0,"[6,24]",SCATTER_SETBACK(60m)
2004,63,Avon-Tri-Village / Wimble Shoals,330.0,330.0,nan,,0.0,50,290.0,370.0,290.0,370.0,335.0,20.0,0.597,0.637,0.196,0.957,119,0.0,0.0,0,0,"[5,17]",SCATTER_SETBACK(80m)
2004,64,Avon-Tri-Village / Wimble Shoals,300.0,300.0,nan,,0.0,50,290.0,370.0,290.0,370.0,305.0,20.0,0.653,0.682,0.197,1.013,119,0.0,0.0,0,0,"[3,23]",SCATTER_SETBACK(80m)
2004,65,Avon-Tri-Village / Wimble Shoals,360.0,360.0,nan,,0.0,50,320.0,371.0,300.0,380.0,367.5,20.0,0.582,0.596,0.184,0.942,122,0.0,0.0,0,0,"[6,14]",SCATTER_SETBACK(51m)
2004,66,Avon-Tri-Village / Wimble Shoals,290.0,290.0,nan,,0.0,50,290.0,380.0,280.0,390.0,300.0,20.0,0.47,0.459,0.153,0.83,121,0.0,0.0,0,0,"[13,25]",SCATTER_SETBACK(90m)
2004,67,Avon-Tri-Village / Wimble Shoals,345.0,345.0,nan,,0.0,50,290.0,431.0,290.0,460.0,352.5,20.0,0.519,0.518,0.181,0.879,116,0.0,0.0,0,0,"[10,34]",SCATTER_SETBACK(141m)
2004,68,Tri-Village,545.0,545.0,nan,,0.0,50,489.0,590.0,460.0,590.0,552.5,20.0,0.586,0.581,0.224,0.946,114,0.0,0.0,0,0,"[11,25]",SCATTER_SETBACK(101m)
2004,69,Tri-Village,560.0,560.0,nan,,0.0,50,540.0,580.0,520.0,580.0,570.0,30.0,0.854,0.852,0.128,1.214,131,0.0,0.0,0,0,"[6,20]",
2004,70,Tri-Village,470.0,470.0,nan,,0.0,50,429.0,521.0,390.0,530.0,480.0,30.0,0.549,0.561,0.207,0.909,136,0.0,0.0,0,0,"[5,16]",SCATTER_SETBACK(92m)
2004,71,Tri-Village,400.0,400.0,nan,,0.0,50,390.0,430.0,370.0,460.0,410.0,20.0,0.258,0.252,0.126,0.618,123,0.0,0.0,0,0,"[6,16]",
2004,72,Tri-Village,480.0,480.0,nan,,0.0,50,460.0,500.0,460.0,520.0,485.0,20.0,0.377,0.402,0.135,0.737,106,0.0,0.0,0,0,"[6,14]",
2004,73,Tri-Village,550.0,550.0,nan,,0.0,50,528.0,570.0,500.0,580.0,555.0,20.0,0.514,0.503,0.137,0.874,114,0.0,0.0,0,0,"[7,17]",SCATTER_SETBACK(42m)
2004,74,Tri-Village,595.0,595.0,nan,,0.0,50,580.0,610.0,580.0,610.0,602.5,20.0,0.476,0.477,0.199,0.836,111,0.0,0.0,0,0,"[7,15]",
2004,75,Tri-Village,540.0,540.0,nan,,0.0,50,519.0,570.0,510.0,580.0,545.0,20.0,0.625,0.623,0.148,0.985,122,0.0,0.0,0,0,"[5,13]",SCATTER_SETBACK(51m)
2004,76,Tri-Village,505.0,505.0,nan,,0.0,50,499.0,510.0,490.0,520.0,512.5,20.0,0.542,0.562,0.206,0.902,110,0.0,0.0,0,0,"[4,10]",
2004,77,Tri-Village,500.0,500.0,nan,,0.0,50,500.0,501.0,500.0,510.0,505.0,20.0,0.393,0.372,0.131,0.753,100,0.0,0.0,0,0,"[4,8]",
2004,78,Tri-Village,490.0,490.0,nan,,0.0,50,479.0,500.0,460.0,500.0,495.0,30.0,0.497,0.487,0.177,0.857,130,0.115,0.0,0,0,"[1,9]",
2004,79,Tri-Village,500.0,500.0,nan,,0.0,50,490.0,530.0,480.0,540.0,510.0,20.0,0.584,0.602,0.274,0.944,121,0.364,0.0,0,0,"[4,12]",IN_WATER(36%)
2004,80,Tri-Village,490.0,490.0,nan,,0.0,50,440.0,520.0,430.0,540.0,495.0,20.0,0.59,0.602,0.092,0.95,115,0.0,0.0,0,0,"[4,12]",SCATTER_SETBACK(80m)
2004,81,Tri-Village,350.0,350.0,nan,,0.0,50,239.0,431.0,200.0,440.0,357.5,30.0,0.652,0.651,0.152,1.012,126,0.0,0.0,0,0,"[2,15]",SCATTER_SETBACK(192m)
2004,82,Tri-Village,115.0,115.0,nan,,0.0,50,90.0,201.0,80.0,230.0,120.0,20.0,0.747,0.697,0.176,1.107,114,0.0,0.0,0,0,"[5,18]",SCATTER_SETBACK(111m)
2004,83,Tri-Village,60.0,60.0,nan,,0.0,50,0.0,90.0,0.0,90.0,65.0,20.0,0.594,0.513,0.208,0.954,100,0.0,0.0,0,0,"[3,16]",SCATTER_SETBACK(90m)
2004,84,Pea Island / N. Rodanthe,0.0,0.0,nan,,0.0,50,-1.0,10.0,-10.0,20.0,7.5,20.0,0.841,0.944,0.542,1.201,121,0.0,0.0,0,0,"[2,16]",SCATTER_ELEV(0.54)
2004,85,Pea Island / N. Rodanthe,30.0,30.0,nan,,0.0,50,20.0,40.0,10.0,80.0,35.0,30.0,0.679,0.656,0.201,1.039,126,0.0,0.0,0,0,"[4,18]",
2004,86,Pea Island / N. Rodanthe,20.0,20.0,nan,,0.0,50,10.0,31.0,10.0,60.0,25.0,20.0,0.62,0.596,0.148,0.98,111,0.0,0.0,0,0,"[6,16]",
2004,87,Pea Island / N. Rodanthe,30.0,30.0,nan,,0.0,50,10.0,70.0,10.0,80.0,37.5,25.0,0.749,0.748,0.154,1.109,125,0.0,0.0,0,0,"[6,15]",SCATTER_SETBACK(60m)
2004,88,Pea Island / N. Rodanthe,110.0,110.0,nan,,0.0,50,90.0,120.0,80.0,160.0,115.0,30.0,0.962,1.028,0.308,1.322,126,0.0,0.0,0,0,"[5,21]",
2004,89,Pea Island / N. Rodanthe,160.0,160.0,nan,,0.0,50,150.0,160.0,110.0,170.0,165.0,20.0,0.735,0.743,0.126,1.095,117,0.0,0.0,0,0,"[1,12]",
2004,90,Pea Island / N. Rodanthe,150.0,150.0,nan,,0.0,50,149.0,160.0,140.0,160.0,155.0,20.0,0.498,0.506,0.149,0.858,117,0.0,0.0,0,0,"[2,15]",
