year,domain,section,setback_2009_m,setback_2009_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags
2004,1,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[7,22]",NO_ROAD
2004,2,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[6,26]",NO_ROAD
2004,3,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[5,24]",NO_ROAD
2004,4,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[3,22]",NO_ROAD
2004,5,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[5,26]",NO_ROAD
2004,6,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[1,29]",NO_ROAD
2004,7,Buxton,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[3,11]",NO_ROAD
2004,8,Buxton,100.0,100.0,nan,,0.0,25,50.0,216.0,40.0,290.0,115.0,40.0,1.075,1.241,0.578,1.435,264,0.045,0.0,0,0,"[3,11]","SCATTER_SETBACK(166m),SCATTER_ELEV(0.58)"
2004,9,Buxton-Avon,20.0,20.0,nan,,0.0,50,10.0,40.0,0.0,50.0,27.5,20.0,1.293,1.288,0.223,1.653,116,0.0,0.0,0,0,"[4,12]",
2004,10,Buxton-Avon,10.0,10.0,nan,,0.0,50,10.0,20.0,0.0,40.0,15.0,20.0,1.292,1.267,0.169,1.652,118,0.0,0.0,0,0,"[2,14]",
2004,11,Buxton-Avon,10.0,10.0,nan,,0.0,50,10.0,10.0,0.0,20.0,15.0,20.0,1.499,1.463,0.2,1.859,121,0.0,0.0,0,0,"[3,15]",
2004,12,Buxton-Avon,10.0,10.0,nan,,0.0,50,10.0,20.0,10.0,20.0,20.0,20.0,1.24,1.198,0.207,1.6,118,0.0,0.0,0,0,"[5,16]",
2004,13,Buxton-Avon,20.0,20.0,nan,,0.0,50,10.0,50.0,10.0,60.0,25.0,20.0,1.198,1.122,0.189,1.558,121,0.0,0.0,0,0,"[4,18]",
2004,14,Buxton-Avon,50.0,50.0,nan,,0.0,50,40.0,60.0,40.0,60.0,60.0,20.0,1.166,1.14,0.184,1.526,121,0.0,0.0,0,0,"[7,18]",
2004,15,Buxton-Avon,50.0,50.0,nan,,0.0,50,39.0,60.0,30.0,70.0,55.0,20.0,1.521,1.52,0.242,1.881,122,0.0,0.0,0,0,"[6,23]",
2004,16,Buxton-Avon,60.0,60.0,nan,,0.0,50,40.0,80.0,30.0,90.0,65.0,20.0,0.889,0.955,0.232,1.249,118,0.0,0.0,0,0,"[8,21]",
2004,17,Buxton-Avon,90.0,90.0,nan,,0.0,50,80.0,100.0,70.0,100.0,95.0,20.0,0.774,0.781,0.153,1.134,118,0.0,0.0,0,0,"[7,23]",
2004,18,Buxton-Avon,120.0,120.0,nan,,0.0,50,100.0,130.0,100.0,130.0,125.0,20.0,0.82,0.793,0.153,1.18,116,0.0,0.0,0,0,"[6,19]",
2004,19,Buxton-Avon,130.0,130.0,nan,,0.0,50,110.0,140.0,90.0,140.0,135.0,20.0,0.82,0.791,0.177,1.18,122,0.0,0.0,0,0,"[5,17]",
2004,20,Buxton-Avon,80.0,80.0,nan,,0.0,50,50.0,80.0,50.0,90.0,85.0,20.0,0.955,0.887,0.214,1.315,120,0.0,0.0,0,0,"[6,19]",
2004,21,Avon,120.0,120.0,nan,,0.0,50,100.0,150.0,60.0,160.0,130.0,20.0,0.788,0.784,0.173,1.148,116,0.0,0.0,0,0,"[6,26]",SCATTER_SETBACK(50m)
