ws_peak_dam_yr,rod_amplitude,rod_width_domains,avon_north_dam_yr,rmse_p1,rmse_p2,combined_score,pareto_optimal
0.2,-0.1,3,0.4,0.1707,0.189,0.1799,False
0.2,-0.1,3,0.45,0.1721,0.1876,0.1799,False
0.2,-0.1,3,0.5,0.1741,0.1867,0.1804,False
0.2,-0.1,3,0.35,0.1698,0.1909,0.1804,False
0.15,-0.1,3,0.4,0.161,0.2012,0.1811,False
0.25,-0.1,3,0.45,0.1845,0.1779,0.1812,False
0.15,-0.1,3,0.45,0.1625,0.1999,0.1812,False
0.25,-0.1,3,0.4,0.1832,0.1794,0.1813,False
0.2,-0.1,3,0.3,0.1695,0.1933,0.1814,False
0.2,-0.1,3,0.55,0.1766,0.1863,0.1815,False
0.15,-0.1,3,0.35,0.1601,0.203,0.1815,False
0.25,-0.1,3,0.5,0.1864,0.177,0.1817,False
0.2,-0.1,4,0.4,0.17,0.1933,0.1817,False
0.2,-0.1,4,0.45,0.1714,0.192,0.1817,False
0.15,-0.1,3,0.5,0.1646,0.199,0.1818,False
0.25,-0.1,3,0.35,0.1824,0.1814,0.1819,False
0.2,-0.1,4,0.35,0.1691,0.1952,0.1821,False
0.2,-0.1,4,0.5,0.1734,0.1911,0.1822,False
0.2,-0.15,3,0.4,0.168,0.1967,0.1823,False
0.2,-0.15,3,0.45,0.1694,0.1953,0.1824,False
0.15,-0.1,3,0.3,0.1597,0.2052,0.1825,False
0.25,-0.1,3,0.55,0.1887,0.1766,0.1826,False
0.2,-0.15,3,0.35,0.1671,0.1985,0.1828,False
0.15,-0.1,3,0.55,0.1672,0.1987,0.1829,False
0.25,-0.1,4,0.4,0.1822,0.1836,0.1829,False
0.25,-0.1,4,0.45,0.1836,0.1822,0.1829,False
0.2,-0.1,3,0.25,0.1697,0.1961,0.1829,False
0.2,-0.15,3,0.5,0.1714,0.1945,0.1829,False
0.25,-0.1,3,0.3,0.1821,0.1839,0.183,False
0.15,-0.1,4,0.4,0.1606,0.2055,0.1831,False
0.2,-0.1,4,0.3,0.1688,0.1975,0.1831,False
0.15,-0.1,4,0.45,0.1621,0.2043,0.1832,False
0.2,-0.1,4,0.55,0.1759,0.1907,0.1833,False
0.25,-0.1,4,0.5,0.1854,0.1813,0.1833,False
0.15,-0.1,4,0.35,0.1597,0.2073,0.1835,False
0.15,-0.15,3,0.4,0.1584,0.2086,0.1835,False
0.25,-0.1,4,0.35,0.1814,0.1856,0.1835,False
0.2,-0.1,5,0.4,0.1692,0.1977,0.1835,False
0.2,-0.1,5,0.45,0.1706,0.1964,0.1835,False
0.15,-0.15,3,0.45,0.1599,0.2073,0.1836,False
0.2,-0.15,3,0.3,0.1667,0.2007,0.1837,False
0.15,-0.1,4,0.5,0.1642,0.2034,0.1838,False
0.25,-0.15,3,0.4,0.1804,0.1872,0.1838,False
0.25,-0.15,3,0.45,0.1817,0.1858,0.1838,False
0.15,-0.15,3,0.35,0.1574,0.2103,0.1839,False
0.2,-0.1,5,0.35,0.1683,0.1995,0.1839,False
0.15,-0.1,3,0.25,0.16,0.2078,0.1839,False
0.2,-0.15,3,0.55,0.1739,0.1941,0.184,False
0.2,-0.1,5,0.5,0.1726,0.1955,0.1841,False
0.25,-0.15,3,0.5,0.1836,0.1849,0.1842,False
0.25,-0.1,4,0.55,0.1877,0.1809,0.1843,False
0.15,-0.15,3,0.5,0.162,0.2065,0.1843,False
0.25,-0.15,3,0.35,0.1796,0.1891,0.1843,False
0.15,-0.1,4,0.3,0.1593,0.2094,0.1844,False
0.25,-0.1,5,0.4,0.1811,0.1879,0.1845,False
0.25,-0.1,5,0.45,0.1824,0.1865,0.1845,False
0.2,-0.1,4,0.25,0.169,0.2002,0.1846,False
0.25,-0.1,4,0.3,0.1811,0.188,0.1846,False
0.25,-0.1,3,0.25,0.1823,0.1868,0.1846,False
0.15,-0.15,3,0.3,0.1571,0.2124,0.1848,False
0.2,-0.1,3,0.2,0.1705,0.1993,0.1849,False
0.25,-0.1,5,0.5,0.1843,0.1856,0.1849,False
0.2,-0.1,5,0.3,0.168,0.2018,0.1849,False
0.2,-0.1,6,0.4,0.1683,0.2018,0.185,False
0.15,-0.1,4,0.55,0.1668,0.2031,0.185,False
0.25,-0.1,5,0.35,0.1803,0.1898,0.185,False
0.1,-0.1,3,0.4,0.1546,0.2155,0.1851,False
0.15,-0.1,5,0.4,0.1602,0.21,0.1851,False
0.2,-0.1,6,0.45,0.1697,0.2005,0.1851,False
0.2,-0.1,5,0.55,0.1751,0.1952,0.1851,False
0.25,-0.15,3,0.55,0.1859,0.1845,0.1852,False
0.1,-0.1,3,0.45,0.1562,0.2143,0.1852,False
0.2,-0.15,3,0.25,0.167,0.2034,0.1852,False
0.3,-0.1,3,0.45,0.1992,0.1713,0.1852,False
0.15,-0.1,5,0.45,0.1617,0.2088,0.1853,False
0.25,-0.15,3,0.3,0.1793,0.1915,0.1854,False
0.1,-0.1,3,0.35,0.1537,0.2171,0.1854,False
0.3,-0.1,3,0.4,0.198,0.1728,0.1854,False
