domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
1,9,-41.207,10.926,-57.288,-25.867,-2.094,0.555,100.0,7.0,19.0,0
2,11,-67.006,6.434,-78.441,-60.253,-3.405,0.327,100.0,7.0,16.0,0
3,10,-88.712,4.254,-94.483,-81.986,-4.508,0.216,100.0,7.0,18.0,0
4,13,-86.849,5.336,-94.271,-80.654,-4.413,0.271,100.0,7.0,19.0,0
5,13,-56.598,18.173,-82.628,-25.517,-2.876,0.923,100.0,7.0,18.0,0
6,6,-27.9,13.111,-46.166,-12.31,-1.418,0.666,100.0,7.0,20.0,0
7,4,-46.16,4.572,-50.871,-39.897,-2.346,0.232,100.0,7.0,17.0,0
8,8,-31.095,4.689,-37.947,-25.416,-1.58,0.238,100.0,7.0,20.5,0
9,9,-44.872,7.855,-59.347,-35.029,-2.28,0.399,100.0,7.0,19.0,0
10,10,-58.715,2.571,-63.367,-54.475,-2.984,0.131,100.0,6.0,18.5,0
11,10,-66.019,3.619,-70.026,-59.203,-3.355,0.184,100.0,5.0,18.0,0
12,10,-40.884,7.798,-52.267,-25.197,-2.077,0.396,100.0,7.0,21.0,0
13,11,-24.481,5.103,-29.414,-11.986,-1.244,0.259,100.0,7.0,19.0,0
14,10,8.025,7.052,-7.214,16.337,0.408,0.358,10.0,6.0,20.5,0
15,10,11.06,2.833,7.267,15.297,0.562,0.144,0.0,6.0,18.0,0
16,10,16.661,5.14,10.003,24.621,0.847,0.261,0.0,6.0,20.0,0
17,10,0.034,4.736,-8.277,9.8,0.002,0.241,40.0,6.0,19.0,0
18,10,-4.309,4.139,-10.871,1.413,-0.219,0.21,90.0,7.0,19.5,0
19,10,-11.78,3.636,-17.592,-4.911,-0.599,0.185,100.0,7.0,17.0,0
20,10,1.133,8.987,-12.271,12.139,0.058,0.457,40.0,7.0,20.0,0
21,11,7.219,1.864,4.911,9.567,0.367,0.095,0.0,7.0,19.0,0
22,10,2.182,5.017,-4.995,9.732,0.111,0.255,30.0,7.0,19.0,0
23,10,-11.708,4.465,-19.612,-5.79,-0.595,0.227,100.0,7.0,18.0,0
24,10,-17.519,3.982,-23.814,-11.349,-0.89,0.202,100.0,7.0,20.0,0
25,10,-3.073,7.873,-15.547,6.112,-0.156,0.4,40.0,7.0,20.0,0
26,10,-7.811,2.367,-12.323,-4.713,-0.397,0.12,100.0,7.0,20.0,0
27,10,1.018,2.838,-3.946,5.357,0.052,0.144,50.0,7.0,20.0,0
28,10,19.77,6.599,8.233,28.652,1.005,0.335,0.0,7.0,21.0,0
29,10,33.874,16.132,13.73,60.372,1.721,0.82,0.0,7.0,20.0,0
30,10,61.682,3.519,56.748,66.376,3.134,0.179,0.0,7.0,21.0,0
31,11,49.896,2.537,46.094,55.562,2.535,0.129,0.0,7.0,21.0,0
32,10,42.402,6.975,28.667,48.618,2.155,0.354,0.0,7.0,21.5,0
33,11,13.238,7.505,6.175,27.218,0.673,0.381,0.0,7.0,20.0,0
34,10,-7.136,6.095,-15.133,2.153,-0.363,0.31,90.0,7.0,21.0,0
35,11,-6.968,3.312,-13.862,-2.933,-0.354,0.168,100.0,7.0,21.0,0
